,2010/Q1,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,66000,144000,959000,917000,1035000,969000,567000,1058000,2202000,1004000,756000,1453000,2496000,620000,976000,-2000,14205000,5893000,6341000,3683000,7252000,7149000,5134000,5226000,9506000,2907000,5797000,2733000,7750000,2245000,43481000
IncomeRevenues_yy,,118.18,,,,572.92,-40.88,15.38,112.76,3.59,33.38,37.33,13.36,-38.27,29.07,-100.14,469.19,851.19,549.60,184078.22,-48.94,21.30,-19.03,41.90,31.07,-59.34,12.92,-47.71,-18.48,-22.78,650.01
IncomeRevenues_sy,,15.38,,,,12.14,1.88,4.36,6.83,8.34,16.27,13.21,10.10,9.54,9.18,6.23,15.50,10.84,11.06,14.46,3.86,2.60,3.77,1.73,2.72,11.63,7.72,5.74,7.43,6.40,10.37
IncomeRevenues_qq,,,565.97,-4.38,12.84,-6.35,-41.49,86.60,108.09,-54.41,-24.66,92.13,71.75,-75.17,57.54,-100.21,709621.58,-58.51,7.59,-41.91,96.90,-1.43,-28.18,1.80,81.89,-69.42,99.46,-52.86,183.58,-71.04,1837.14
IncomeRevenues_sq,,,7.69,3.15,34.82,-22.04,6.95,0.93,30.83,-19.51,5.10,1.22,27.00,-17.79,10.82,-3.36,27.56,-15.10,6.98,1.80,12.94,-15.04,9.31,0.12,24.36,-15.70,3.81,-7.71,25.36,-21.32,8.38
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
