,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,11638000,20707000,14267000,18597000,7934000,9148000,18841000,26129000,12552000,17129000,26086000,31428000,13372000,22828000,23617000,28562000,10862000,13248000,18113000,41248000,18605000,27855000,16485000,32820000,29545000,24329000
IncomeCostOfSales,7660000,11685000,7981000,12094000,5781000,7075000,10400000,15459000,9420000,12210000,17125000,20661000,10602000,16967000,18079000,20086000,9292000,9784000,13810000,27995000,15892000,22984000,14438000,24208000,20650000,18762000
IncomeDistributionExpenses,1731000,1598000,1471000,1826000,1370000,1339000,1487000,1720000,1337000,1525000,1584000,1250000,1306000,1682000,1548000,1786000,1837000,1895000,1302000,2142000,2017000,1949000,1639000,1908000,1604000,2319000
IncomeAdministrativExpenses,2512000,2128000,2114000,2406000,2346000,2276000,2757000,2472000,2456000,2045000,2690000,3034000,2756000,2543000,2592000,3123000,2445000,3068000,2637000,3231000,3286000,2764000,2725000,3659000,3290000,2725000
IncomeGrossProfit,-265000,5296000,2701000,2271000,-1563000,-1543000,4198000,6478000,-661000,1349000,4687000,6483000,-1292000,1636000,1398000,3567000,-2712000,-1499000,364000,7880000,-2590000,158000,-2317000,3045000,4001000,523000
IncomeOtherOperatingIncome,240000,-102000,54000,207000,298000,-101000,116000,245000,87000,137000,190000,506000,138000,150000,208000,690000,173000,399000,253000,741000,654000,518000,374000,863000,514000,196000
IncomeOtherOperatingCosts,161000,25000,27000,380000,94000,19000,52000,367000,165000,631000,244000,379000,142000,208000,398000,890000,128000,152000,86000,989000,405000,662000,47000,316000,96000,39000
IncomeEBIT,-186000,5169000,2728000,2098000,-1359000,-1663000,4262000,6356000,-739000,855000,4633000,6610000,-1296000,1578000,1208000,3367000,-2667000,-1252000,531000,7632000,-2341000,14000,-1990000,3592000,4419000,680000
IncomeFinanceIncome,38000,19000,27000,106000,9000,43000,3000,29000,90000,22000,23000,40000,315000,58000,-226000,60000,45000,149000,-93000,23000,171000,-64000,12000,1000,12000,36000
IncomeFinanceCosts,664000,139000,353000,229000,55000,97000,107000,269000,529000,131000,288000,-46000,154000,154000,253000,205000,260000,119000,242000,272000,261000,459000,133000,390000,302000,362000
IncomeOtherIncome,,,,,16000,-65000,,,,,,,,,,,,,,,,,-812000,5049000,2402000,1974000
IncomeNetGrossProfit,-1389000,-1733000,4093000,6181000,-1178000,746000,4368000,6696000,-1135000,1482000,729000,3222000,-2882000,-1222000,196000,7383000,-2431000,-509000,-2111000,3203000,4129000,354000,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,-812000,5049000,2402000,1974000
IncomeBeforeTaxProfit,-1389000,-1733000,4093000,6181000,-1178000,746000,4368000,6696000,-1135000,1482000,729000,3222000,-2882000,-1222000,196000,7383000,-2431000,-509000,-2111000,3203000,4129000,354000,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,-761000,4196000,1964000,1195000
IncomeNetProfit,-1350000,-1598000,3637000,4794000,-1149000,633000,3493000,5311000,-1108000,1050000,514000,2584000,-2840000,-1225000,222000,6355000,-2359000,-704000,-2545000,2715000,3255000,-1325000,-761000,4196000,1964000,1195000
