,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,141647000,134408000,147757000,184765000,186952000,185911000,201467000,237641000,236016000,240314000,253930000,303420000
IncomeCostOfSales,103877000,101711000,109209000,136961000,139251000,138653000,145532000,175842000,171781000,180017000,186574000,224659000
IncomeDistributionExpenses,25314000,28849000,26777000,30891000,32617000,35712000,37558000,42307000,45449000,45954000,45411000,51037000
IncomeAdministrativExpenses,3161000,-1994000,1732000,2165000,3324000,2698000,2972000,3321000,3412000,4483000,4324000,4230000
IncomeGrossProfit,9295000,5842000,10039000,14748000,11760000,8848000,15405000,16171000,15374000,9860000,17621000,23494000
IncomeOtherOperatingIncome,-284000,175000,300000,-58000,118000,70000,94000,149000,141000,-57000,82000,70000
IncomeOtherOperatingCosts,3000,672000,-418000,1967000,-799000,971000,-911000,1515000,771000,493000,-1285000,1824000
IncomeEBIT,9008000,5345000,10757000,12723000,12677000,7947000,16410000,14805000,14744000,9310000,18988000,21740000
IncomeFinanceIncome,45000,98000,689000,1578000,325000,2519000,276000,284000,342000,65000,858000,234000
IncomeFinanceCosts,1574000,1600000,2405000,909000,1592000,1244000,3162000,2922000,2897000,3139000,3474000,1267000
IncomeOtherIncome,,,,,,,,,,,,
IncomeNetGrossProfit,7479000,3843000,9041000,13392000,11410000,9222000,13524000,12167000,12189000,6236000,16372000,20707000
IncomeExtraordinarProfit,,,,,,,,,,,,
IncomeBeforeTaxProfit,7479000,3843000,9041000,13392000,11410000,9222000,13524000,12167000,12189000,6236000,16372000,20707000
IncomeDiscontinuedProfit,,,,,,,,,,,,
IncomeNetProfit,5298000,3455000,6886000,10868000,8970000,7765000,10791000,9608000,9788000,4697000,12895000,16674000
IncomeShareholderNetProfit,5298000,3455000,6886000,10868000,8970000,7765000,10791000,9608000,9788000,4697000,12895000,16674000
BalanceNoncurrentAssets,,33960000,35568000,37852000,41648000,50509000,53281000,54562000,59045000,61497000,61002000,
BalanceIntangibleAssets,5667000,5062000,4828000,5105000,4753000,4398000,5080000,5388000,5180000,4844000,,27040000
BalanceProperty,29106000,31608000,34697000,42009000,46112000,47551000,51633000,52636000,52384000,,,
BalanceNoncurrentReceivables,,,,,,,,,,,61000,59000
BalanceNoncurrInvestments,58000,171000,479000,264000,241000,160000,160000,157000,,1192000,1341000,1358000
BalanceOtherNoncurrentAssets,1675000,3268000,2507000,1690000,1864000,3521000,3617000,,198405000,271029000,293231000,300501000
BalanceCurrentAssets,361127000,389309000,432797000,446377000,472693000,499826000,,160302000,214597000,243090000,248931000,292356000
BalanceInventory,306541000,342514000,366912000,378553000,385205000,,26975000,39325000,43053000,40548000,59819000,60386000
BalanceCurrentReceivables,68893000,62832000,77589000,77675000,,121000,43000,198000,46000,23000,358000,376000
BalanceCurrentInvestments,24000,4431000,6103000,,11007000,17064000,6890000,10976000,8929000,22024000,21014000,16609000
BalanceCash,12120000,30843000,,,,,,,,,,
BalanceOtherCurrentAssets,,,,,,,,,,,,
BalanceAssetsForSale,,,,232365000,306597000,331083000,342149000,411636000,442590000,487359000,505422000,534190000
BalanceTotalAssets,560828000,,76067000,143500000,152699000,160708000,170935000,239359000,249770000,254620000,267647000,285785000
BalanceCapital,,9400000,11700000,11700000,11700000,11700000,12945000,12945000,12945000,12945000,13012000,
BalanceShareCapital,,,,,,,,,,,,
BalanceOwnShares,50329000,47399000,47628000,114519000,149189000,206465000,206638000,206791000,206923000,243204000,,
BalanceReserve,,,,,,,,,,,,77312000
BalanceNonshareCapital,77565000,78732000,79727000,105153000,108093000,105218000,44411000,42746000,41393000,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,68700000,68456000
BalanceNoncurrentTradeLiabilities,68456000,68059000,93700000,93700000,90557000,26747000,26746000,26742000,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,8440000,8763000,9374000
BalanceNoncurrentObligations,10534000,11309000,14221000,14066000,16039000,15779000,14413000,,172000,346000,902000,1134000
BalanceNoncurrentLeasing,144000,172000,595000,1625000,221000,238000,,78986000,85532000,99652000,101714000,135548000
BalanceNoncurrentOtherLiabilities,95138000,132371000,206391000,223797000,233650000,,42563000,78535000,60633000,59104000,83134000,74748000
BalanceCurrentLiabilities,67665000,67141000,79116000,103470000,,31357000,1141000,33149000,37254000,44344000,11644000,56581000
BalanceCurrentTradePayablesv,130963000,132601000,110566000,,,,,,,,,
BalanceCurrentBorrowings,,,,,2790000,2963000,3501000,3505000,4682000,5482000,5821000,6611000
BalanceCurrentObligations,7004000,7166000,,2276000,2893000,2369000,1851000,3388000,3264000,2304000,1676000,4201000
BalanceCurrentLeasing,3430000,,,,,,,,,,,875000
BalanceCurrentOtherLiabilities,9018000,0,232365000,0,306597000,331083000,342149000,411636000,442590000,487359000,505422000,534190000
BalanceReckoning,560828000,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,
CashflowOperatingCashflow,2960000,-6760000,-4053000,-4539000,-39018000,3039000,-25895000,-7477000,-36838000,-9002000,-1377000,43518000
CashflowAmortization,978000,1080000,1139000,1172000,1232000,1358000,1402000,1607000,1796000,1901000,2070000,2128000
CashflowInvestingCashflow,-1017000,-995000,-489000,257000,-747000,248000,-5270000,-6081000,-2244000,-2378000,-1953000,-97000
CashflowCapex,1120000,1011000,771000,1176000,1042000,2288000,4632000,4453000,2253000,1222000,479000,1011000
CashflowFinancingCashflow,3332000,4820000,197000,14721000,29590000,794000,29175000,26537000,37980000,7175000,-1192000,-24727000
CashflowShareCapitalCash,0,0,,49363000,-14000,0,,58340000,-11000,-18000,1298000,
CashflowDividend,,,,,,,,,,,,5275000
CashflowNetCashflow,-2935000,-4345000,10439000,-10175000,-1990000,12979000,-1102000,-4205000,-4522000,18694000,,
