,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,39023000,11999000,35844000,69718000,9820000,47190000,66109000,159148000,50854000,67936000,57187000,154308000,75304000,77166000
IncomeRevenues_yy,,,,,-74.84,293.28,84.44,128.27,417.86,43.96,-13.50,-3.04,48.08,13.59
IncomeRevenues_sy,,,,,4.60,6.28,1.90,12.72,0.25,-2.12,-1.18,5.95,18.84,11.87
IncomeRevenues_qq,,-69.25,198.72,94.50,-85.91,380.55,40.09,140.74,-68.05,33.59,-15.82,169.83,-51.20,2.47
IncomeRevenues_sq,,0.74,8.32,6.73,-19.38,2.34,-1.57,29.39,-31.70,1.50,0.20,14.10,-3.86,6.83
IncomeCostOfSales,26264000,3623000,28944000,46863000,5540000,33146000,48476000,116634000,39721000,46123000,34631000,119358000,53293000,57963000
IncomeCostOfSales_yy,,,,,-78.91,814.88,67.48,148.88,616.99,39.15,-28.56,2.34,34.17,25.67
IncomeCostOfSales_sy,,,,,12.88,20.66,2.30,16.37,-4.22,-6.61,-2.11,22.79,29.61,25.67
IncomeCostOfSales_qq,,-86.21,698.90,61.91,-88.18,498.30,46.25,140.60,-65.94,16.12,-24.92,244.66,-55.35,8.76
IncomeCostOfSales_sq,,3.06,12.56,27.23,-33.71,2.90,-3.06,50.30,-34.28,-9.47,2.82,33.69,-21.70,1.04
IncomeDistributionExpenses,1505000,948000,821000,1655000,1424000,1760000,2242000,3241000,2061000,3016000,2880000,3400000,2434000,3177000
IncomeDistributionExpenses_yy,,,,,-5.38,85.65,173.08,95.83,44.73,71.36,28.46,4.91,18.10,5.34
IncomeDistributionExpenses_sy,,,,,12.98,28.32,6.22,0.65,18.53,-3.42,19.50,11.68,9.45,-5.26
IncomeDistributionExpenses_qq,,-37.01,-13.40,101.58,-13.96,23.60,27.39,44.56,-36.41,46.34,-4.51,18.06,-28.41,30.53
IncomeDistributionExpenses_sq,,7.80,-10.70,12.06,-18.56,23.49,-4.66,26.06,-13.48,23.16,-3.36,22.15,-18.91,12.12
IncomeAdministrativExpenses,2576000,3997000,3545000,4525000,3380000,4073000,4232000,6131000,5034000,5904000,7010000,9487000,8037000,7705000
IncomeAdministrativExpenses_yy,,,,,31.21,1.90,19.38,35.49,48.93,44.95,65.64,54.74,59.65,30.50
IncomeAdministrativExpenses_sy,,,,,2.95,-4.05,2.17,2.84,5.68,8.12,11.50,12.50,14.73,2.54
IncomeAdministrativExpenses_qq,,55.16,-11.31,27.64,-25.30,20.50,3.90,44.87,-17.89,17.28,18.73,35.34,-15.28,-4.13
IncomeAdministrativExpenses_sq,,6.66,-4.74,22.84,-19.49,1.01,-1.25,18.38,-17.89,6.70,-0.85,16.79,-15.28,4.55
IncomeGrossProfit,8678000,3431000,2534000,16675000,-524000,8211000,11159000,33142000,4038000,12893000,12666000,22063000,11540000,8321000
IncomeGrossProfit_yy,,,,,-106.04,139.32,340.37,98.75,870.61,57.02,13.50,-33.43,185.79,-35.46
IncomeGrossProfit_sy,,,,,10.04,25.95,16.95,59.25,21.26,12.22,2.61,-2.83,23.07,25.24
IncomeGrossProfit_qq,,-60.46,-26.14,558.05,-103.14,1666.98,35.90,197.00,-87.82,219.29,-1.76,74.19,-47.70,-27.89
IncomeGrossProfit_sq,,-3.03,13.61,0.30,-3.51,3.36,3.18,106.69,-25.26,5.62,-8.98,47.44,2.46,6.72
IncomeOtherOperatingIncome,14521000,179000,1697000,1285000,1060000,2831000,579000,-1116000,3523000,239000,20885000,-3995000,332000,502000
IncomeOtherOperatingIncome_yy,,,,,-92.70,1481.56,-65.88,-186.85,232.36,-91.56,3507.08,-257.97,-90.58,110.04
IncomeOtherOperatingIncome_sy,,,,,61.05,7.69,-9.43,19.46,-6.69,-30.16,-11.11,-29.98,55.50,30.58
IncomeOtherOperatingIncome_qq,,-98.77,848.04,-24.28,-17.51,167.08,-79.55,-292.75,415.68,-93.22,8638.49,-119.13,108.31,51.20
IncomeOtherOperatingIncome_sq,,61.65,-35.58,140.00,-45.48,90.17,-52.68,172.85,-65.83,37.92,-7.04,173.77,-25.88,45.39
IncomeOtherOperatingCosts,2281000,1509000,2013000,109000,482000,3447000,3147000,3538000,2904000,366000,4009000,-647000,363000,793000
IncomeOtherOperatingCosts_yy,,,,,-78.87,128.43,56.33,3145.87,502.49,-89.38,27.39,-118.29,-87.50,116.67
IncomeOtherOperatingCosts_sy,,,,,1.82,10.55,13.95,20.50,-0.45,4.98,-11.60,-42.26,8.40,-27.00
IncomeOtherOperatingCosts_qq,,-33.84,33.40,-94.59,342.20,615.15,-8.70,12.42,-17.92,-87.40,995.36,-116.14,156.11,118.46
IncomeOtherOperatingCosts_sq,,35.71,0.41,89.33,-67.01,26.08,-8.70,271.95,-81.63,29.84,-45.16,122.47,-66.26,12.72
IncomeEBIT,20918000,2101000,2218000,17851000,54000,7595000,8591000,28488000,4657000,12766000,29542000,18715000,11509000,8030000
