,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,3486000,4628000,5144000,5462000,5884000,6206000,5793000,4975000,4232000,5521000,4781000,7456000
IncomeRevenues_yy,,,,,68.79,34.10,12.61,-8.91,-28.08,-11.04,-17.46,49.86
IncomeRevenues_sy,,,,,1.73,2.72,11.63,7.72,5.74,7.43,6.40,10.37
IncomeRevenues_qq,,32.76,11.15,6.18,7.73,5.48,-6.67,-14.11,-14.95,30.47,-13.40,55.95
IncomeRevenues_sq,,12.94,-15.04,9.31,0.12,24.36,-15.70,3.81,-7.71,25.36,-21.32,8.38
IncomeCostOfSales,644000,2423000,2710000,1606000,2557000,4280000,2763000,3430000,3190000,2951000,2162000,5261000
IncomeCostOfSales_yy,,,,,296.72,76.62,1.97,113.57,24.78,-31.05,-21.75,53.39
IncomeCostOfSales_sy,,,,,-8.10,3.48,8.48,8.60,5.53,3.52,8.19,14.52
IncomeCostOfSales_qq,,276.03,11.81,-40.73,59.21,67.41,-35.44,24.12,-6.98,-7.50,-26.73,143.31
IncomeCostOfSales_sq,,21.38,-26.23,13.10,-3.26,30.97,-27.25,5.23,-0.23,23.45,-26.02,7.03
IncomeDistributionExpenses,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,
IncomeAdministrativExpenses,688000,646000,614000,808000,655000,1042000,918000,686000,621000,615000,664000,742000
IncomeAdministrativExpenses_yy,,,,,-4.92,61.16,49.51,-15.09,-5.16,-40.94,-27.60,8.17
IncomeAdministrativExpenses_sy,,,,,-1.84,4.29,3.99,4.66,5.10,0.81,7.38,7.83
IncomeAdministrativExpenses_qq,,-6.10,-5.06,31.63,-18.97,59.16,-11.93,-25.25,-9.49,-0.88,7.96,11.68
IncomeAdministrativExpenses_sq,,15.59,-5.06,0.66,-1.20,12.78,1.38,2.96,-0.94,8.67,-1.87,6.94
IncomeGrossProfit,2153000,1558000,1821000,3048000,2673000,884000,2112000,860000,421000,1955000,1955000,1454000
IncomeGrossProfit_yy,,,,,24.14,-43.24,16.00,-71.79,-84.26,121.03,-7.43,69.06
IncomeGrossProfit_sy,,,,,-14.32,2.82,28.16,8.05,2.93,3.81,-2.81,15.05
IncomeGrossProfit_qq,,-27.62,16.84,67.43,-12.32,-66.91,138.78,-59.28,-51.08,364.69,,-25.63
IncomeGrossProfit_sq,,5.30,-22.62,9.32,-4.74,32.41,-32.68,13.17,-13.58,38.96,,39.56
IncomeOtherOperatingIncome,-4000,-11000,18000,2000,67000,-80000,14000,29000,198000,-57000,45000,54000
IncomeOtherOperatingIncome_yy,,,,,1717.05,-617.24,-25.72,1126.98,195.49,28.29,227.54,82.94
IncomeOtherOperatingIncome_sy,,,,,2.33,-12.80,-2.31,-18.17,7.99,-34.97,,-11.52
IncomeOtherOperatingIncome_qq,,-169.95,263.86,-86.93,2697.20,-219.74,116.97,115.89,573.65,-129.06,177.51,20.58
IncomeOtherOperatingIncome_sq,,34.45,-28.28,62.35,-23.30,12.26,-7.44,30.69,-19.69,-22.45,16.16,-9.20
IncomeOtherOperatingCosts,250000,-118000,19000,535000,211000,196000,32000,3000,-11000,10307000,215000,-72000
IncomeOtherOperatingCosts_yy,,,,,-15.83,267.02,69.64,-99.45,-105.22,5149.89,560.93,-2531.53
IncomeOtherOperatingCosts_sy,,,,,49.90,22.18,4.72,35.71,19.35,-27.62,-2.04,-21.89
IncomeOtherOperatingCosts_qq,,-146.96,116.29,2696.75,-60.65,-6.82,-83.46,-90.91,-472.16,93881.97,-97.92,-133.45
IncomeOtherOperatingCosts_sq,,245.71,-63.25,41.26,-31.58,206.08,-74.35,40.00,-23.03,94.26,-57.84,78.46
IncomeEBIT,1899000,1665000,1820000,2515000,2529000,608000,2093000,886000,629000,-8409000,1785000,1579000
IncomeEBIT_yy,,,,,33.20,-63.47,15.01,-64.76,-75.12,-1482.99,-14.73,78.19
IncomeEBIT_sy,,,,,-4.38,-3.12,26.09,27.58,1.98,2.50,1.27,41.53
IncomeEBIT_qq,,-12.32,9.32,38.22,0.54,-75.96,244.22,-57.65,-29.00,-1436.27,121.22,-11.50
IncomeEBIT_sq,,4.92,-4.16,7.55,0.48,25.15,-15.40,21.03,-13.40,3.75,-37.32,21.82
IncomeFinanceIncome,0,21000,261000,-194000,189000,-220000,323000,232000,-45000,12000,58000,267000
IncomeFinanceIncome_yy,,,,,573251.51,-1160.01,23.94,219.59,-123.86,105.47,-82.04,14.98
IncomeFinanceIncome_sy,,,,,-54.55,20.88,16.13,-35.29,94.58,-4.93,-4.17,177.48
IncomeFinanceIncome_qq,,62981.82,1156.88,-174.33,197.56,-216.30,246.96,-28.28,-119.46,126.67,382.32,359.17
IncomeFinanceIncome_sq,,42.86,31.56,-0.21,-48.05,129.76,-26.76,-30.21,6.71,32.90,-7.14,148.57
IncomeFinanceCosts,100000,161000,123000,-4000,98000,-4000,167000,49000,-89000,-98000,89000,406000
IncomeFinanceCosts_yy,,,,,-1.11,-102.72,35.58,1245.83,-190.68,-2137.55,-46.61,725.40
IncomeFinanceCosts_sy,,,,,-8.54,56.26,35.22,112.44,57.18,37.18,-47.16,-46.09
IncomeFinanceCosts_qq,,61.73,-23.38,-103.48,2396.67,-104.44,3922.97,-70.63,-281.75,-9.65,191.21,354.09
IncomeFinanceCosts_sq,,12.48,33.96,-13.30,-15.25,36.33,5.10,5.12,-46.47,72.44,-43.62,-22.92
IncomeOtherIncome,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,,,,,
IncomeNetGrossProfit,1799000,1524000,1957000,2326000,2620000,392000,2249000,1069000,673000,-8299000,1753000,1440000
