,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,103548000,57406000,89477000,36277000,55277000,36909000,60577000,28745000,64270000,51778000,78212000,38031000,36415000,47313000,85538000,44292000,47560000,92804000,75045000,31330000,65378000,49376000,65017000,42712000,50599000,54096000,143210000,57120000,57540000
IncomeCostOfSales,92098000,46457000,78982000,29370000,44526000,28177000,45359000,21395000,52719000,36600000,58722000,27905000,26808000,34162000,63068000,33511000,34744000,76086000,52849000,20037000,45963000,33149000,42593000,28348000,38489000,38632000,105955000,42100000,41346000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,5962000,6237000,7283000,6623000,8102000,8338000,9755000,9022000,8882000,8997000,11029000,10149000,11388000,10990000,11386000,11939000,13262000,12256000,12648000,13709000,13073000,12964000,16410000,14464000,13689000,13957000,15739000,15598000,15588000
IncomeGrossProfit,5488000,4712000,3212000,284000,2649000,394000,5463000,-1672000,2669000,6181000,8461000,-23000,-1781000,2161000,11084000,-1158000,-446000,4462000,9548000,-2416000,6342000,3263000,6014000,-100000,-1579000,1507000,21516000,-578000,606000
IncomeOtherOperatingIncome,163000,108000,298000,422000,543000,1314000,2757000,1954000,602000,986000,2316000,1773000,1969000,578000,1061000,230000,1696000,533000,1729000,810000,1451000,461000,-245000,391000,1084000,254000,145000,1075000,-248000
IncomeOtherOperatingCosts,528000,162000,410000,150000,420000,1103000,2672000,1222000,290000,1073000,3343000,1292000,417000,218000,1194000,260000,612000,711000,1385000,509000,719000,453000,-587000,533000,909000,211000,1828000,532000,406000
IncomeEBIT,5123000,4658000,3100000,556000,2772000,605000,5548000,-940000,2981000,6094000,7434000,458000,-229000,2521000,10951000,-1188000,638000,4284000,9892000,-2115000,7074000,3271000,6356000,-242000,-1404000,1550000,19833000,-35000,-48000
IncomeFinanceIncome,-6891000,823000,-319000,1066000,-892000,78000,110000,347000,677000,-208000,199000,323000,86000,452000,10000,276000,-18000,416000,-462000,731000,-305000,-45000,276000,717000,152000,-302000,-253000,1262000,174000
IncomeFinanceCosts,-6330000,2638000,1108000,1239000,619000,-64000,311000,696000,531000,-194000,200000,566000,498000,1012000,798000,985000,421000,207000,-5000,1346000,-35000,-7000,733000,852000,205000,-178000,1529000,1200000,925000
