,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,18894000,28855000,28173000,37199000,27318000,35481000,34553000,39452000,33127000,46977000,62094000,58623000,34541000,32821000,26701000,60874000,41154000,27619000,27452000,33124000,20077000,23510000,26518000,36842000,20117000,34975000,23272000,42146000,20189000,27137000,40525000,56569000,30819000,36430000,22906000,25483000,11569000,15994000,24589000,25725000,29945000,27400000
IncomeCostOfSales,14311000,21685000,19848000,28934000,20103000,27676000,26890000,31395000,25935000,37699000,51677000,47437000,27240000,27582000,23653000,53574000,36488000,26933000,26716000,29734000,16647000,18872000,23023000,31643000,16286000,31779000,20311000,38119000,19673000,22732000,35005000,48339000,27398000,33203000,20984000,21568000,10075000,14691000,21932000,21988000,27464000,24603000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354000,782000,664000,344000,647000,436000,634000,387000,637000,637000,838000,315000,650000
IncomeAdministrativExpenses,2575000,3502000,3618000,5498000,3417000,4572000,3668000,5993000,3918000,4876000,4162000,5532000,4033000,3965000,4020000,4534000,3740000,4300000,3791000,4290000,3316000,3655000,3334000,3810000,3490000,3751000,3561000,4326000,3044000,3955000,3679000,4142000,3317000,3161000,3269000,3698000,2889000,3128000,3042000,3430000,3040000,3169000
IncomeGrossProfit,2008000,3668000,4707000,2767000,3798000,3233000,3995000,2064000,3274000,4402000,6255000,5654000,3268000,1274000,-972000,2766000,926000,-3614000,-3055000,-900000,114000,983000,161000,1389000,341000,-555000,-600000,-299000,-2528000,96000,1059000,3424000,-240000,-581000,-1783000,-417000,-1782000,-2462000,-1022000,-531000,-874000,-1022000
IncomeOtherOperatingIncome,333000,78000,134000,376000,65000,139000,172000,138000,131000,118000,148000,292000,223000,707000,306000,468000,282000,248000,257000,153000,521000,375000,434000,839000,624000,2080000,1636000,158000,186000,176000,89000,287000,121000,238000,200000,805000,171000,133000,284000,702000,259000,246000
IncomeOtherOperatingCosts,16000,35000,158000,174000,72000,144000,85000,279000,69000,79000,18000,569000,207000,62000,171000,513000,70000,1778000,661000,5114000,417000,1334000,57000,381000,207000,420000,193000,609000,113000,179000,141000,213000,37000,243000,2133000,322000,99000,251000,162000,293000,100000,174000
IncomeEBIT,2325000,3711000,4683000,2969000,3791000,3228000,4082000,1923000,3336000,4441000,6385000,5377000,3284000,1919000,-837000,2721000,1138000,-5144000,-3459000,-5861000,218000,24000,538000,1847000,758000,1105000,843000,-750000,-2455000,93000,1007000,3498000,-156000,-586000,-3716000,66000,-1710000,-2580000,-900000,-122000,-715000,-950000
IncomeFinanceIncome,12000,329000,109000,66000,530000,190000,103000,731000,612000,123000,182000,251000,300000,74000,2000,25000,21000,14000,41000,19000,99000,233000,54000,58000,70000,65000,30000,49000,159000,120000,36000,60000,93000,-2000,1000,93000,39000,28000,44000,-16000,4000,26000
IncomeFinanceCosts,109000,623000,169000,2451000,918000,-121000,28000,338000,584000,111000,316000,299000,378000,253000,459000,498000,432000,473000,381000,188000,135000,96000,80000,89000,86000,117000,124000,138000,86000,95000,119000,238000,451000,127000,156000,237000,149000,171000,161000,198000,175000,143000
