,2005/Q3,2005/Q4,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q3,2008/Q4,2009/Q3,2009/Q4,2010/Q3,2010/Q4,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeRevenues,32195000,27688000,31184000,18320000,38720000,32377000,0,89598000,27625000,-73978000,30251000,13864000,43791000,16297000,31056000,16513000,13877000,14337000,20153000,29804000,14225000,47125000,30368000,16202000,18341000,27324000,27928000,20218000,21846000,23286000,42324000,17675000,32064000,38927000,39183000,13383000,34880000,44144000,45297000,33489000,27648000
IncomeRevenues_yy,,,-3.14,-33.83,,,-100.00,389.07,,-182.57,9.51,118.74,44.76,17.55,-29.08,1.33,,,-35.11,80.49,2.51,228.69,50.69,-45.64,28.93,-42.02,-8.03,24.79,19.11,-14.78,51.55,-12.58,46.77,67.17,-7.42,-24.28,8.78,13.40,15.60,150.24,-20.73
IncomeRevenues_sy,,,6.63,-8.25,,,20.68,76.41,,12.00,-8.78,-12.53,24.80,17.55,14.60,4.28,,,4.36,6.83,8.34,16.27,13.21,10.10,9.54,9.18,6.23,15.50,10.84,11.06,14.46,3.86,2.60,3.77,1.73,2.72,11.63,7.72,5.74,7.43,6.40
IncomeRevenues_qq,,-14.00,,-41.25,111.35,-16.38,-100.00,,,-367.79,,-54.17,,-62.78,,-46.83,-15.96,3.31,40.57,47.89,-52.27,231.28,-35.56,-46.65,13.20,48.98,2.21,-27.61,8.05,6.59,81.76,-58.24,81.41,21.40,0.66,-65.84,160.63,26.56,2.61,-26.07,-17.44
IncomeRevenues_sq,,45.82,,48.49,-28.59,24.70,-2.87,,,37.14,,33.22,,38.81,,34.82,-22.04,6.95,0.93,30.83,-19.51,5.10,1.22,27.00,-17.79,10.82,-3.36,27.56,-15.10,6.98,1.80,12.94,-15.04,9.31,0.12,24.36,-15.70,3.81,-7.71,25.36,-21.32
IncomeCostOfSales,26832000,27082000,26320000,15283000,35523000,29865000,1000,80563000,24372000,-73034000,25626000,12551000,40142000,14515000,26597000,14593000,10655000,12342000,16815000,25633000,11748000,43127000,26398000,13084000,15956000,24241000,23982000,18547000,19044000,20456000,38322000,15320000,29037000,34864000,35166000,11110000,30377000,40106000,40132000,29481000,23628000
IncomeCostOfSales_yy,,,-1.91,-43.57,,,-100.00,427.14,2437100.00,-190.65,5.15,117.19,56.65,15.65,-33.74,0.54,,,-36.78,75.65,10.26,249.43,56.99,-48.96,35.82,-43.79,-9.15,41.75,19.35,-15.61,59.79,-17.40,52.47,70.43,-8.24,-27.48,4.61,15.04,14.12,165.36,-22.22
IncomeCostOfSales_sy,,,-1.91,-12.44,,,17.75,92.79,13.03,13.38,-11.87,-12.92,18.01,17.01,5.36,0.54,,,7.29,-3.33,8.19,12.83,4.51,6.52,7.93,5.13,3.38,5.31,4.88,6.19,4.92,0.75,-6.31,1.94,-8.10,3.48,8.48,8.60,5.53,3.52,8.19
IncomeCostOfSales_qq,,0.93,,-41.93,132.43,-15.93,-100.00,8056200.00,,-399.66,,-51.02,,-63.84,,-45.13,-26.99,15.83,36.24,52.44,-54.17,267.10,-38.79,-50.44,21.95,51.92,-1.07,-22.66,2.68,7.41,87.34,-60.02,89.54,20.07,0.87,-68.41,173.42,32.03,0.06,-26.54,-19.85
IncomeCostOfSales_sq,,33.91,,22.23,-26.93,29.42,-2.54,43.90,,32.78,,36.62,,33.71,,24.82,-34.66,4.80,-0.51,28.34,-13.88,5.68,-2.85,31.92,-20.38,9.08,-4.66,25.87,-20.02,7.68,-0.54,21.38,-26.23,13.10,-3.26,30.97,-27.25,5.23,-0.23,23.45,-26.02
IncomeDistributionExpenses,2105000,1809000,1493000,2072000,1936000,2155000,-29000,5029000,2166000,1494000,2226000,1529000,2100000,1920000,1556000,1737000,1737000,1458000,1413000,1310000,1528000,1895000,1370000,1607000,1305000,1520000,1399000,1611000,1541000,1426000,1526000,1370000,2049000,2095000,2153000,2764000,2603000,2328000,1946000,2365000,2164000
IncomeDistributionExpenses_yy,,,-29.07,14.54,,,-101.94,142.71,7568.97,-70.29,2.77,2.34,-5.66,25.57,-25.90,-9.53,,,-9.19,-24.58,-12.03,29.97,-3.04,22.67,-14.59,-19.79,2.12,0.25,18.08,-6.18,9.08,-14.96,32.97,46.91,41.09,101.75,27.04,11.12,-9.61,-14.44,-16.87
IncomeDistributionExpenses_sy,,,31.45,14.54,,,21.53,71.37,31.86,15.37,0.34,-16.50,17.82,25.57,-2.97,-6.27,,,1.63,9.14,8.98,23.78,10.38,2.11,1.27,8.10,2.60,6.19,8.45,12.89,8.34,4.19,6.10,1.53,6.80,-2.40,5.31,-3.16,-7.62,-5.88,8.23
IncomeDistributionExpenses_qq,,-14.06,,38.78,-6.56,11.31,-101.35,17441.38,,-31.02,,-31.31,,-8.57,,11.63,,-16.06,-3.09,-7.29,16.64,24.02,-27.70,17.30,-18.79,16.48,-7.96,15.15,-4.35,-7.46,7.01,-10.22,49.56,2.24,2.77,28.38,-5.82,-10.56,-16.41,21.53,-8.50
IncomeDistributionExpenses_sq,,47.24,,29.88,-8.15,11.55,3.40,54.92,,46.15,,16.14,,27.24,,19.56,,5.33,-1.88,29.42,-20.68,3.64,0.64,15.29,-15.59,12.78,-3.69,22.90,-17.59,5.58,-1.42,22.52,-18.29,4.84,0.78,21.77,-14.18,3.55,-8.98,24.26,-18.52
IncomeAdministrativExpenses,775000,895000,759000,787000,879000,864000,-1000,2700000,1054000,802000,987000,1105000,1108000,1107000,964000,905000,1054000,928000,1120000,1488000,803000,1016000,1188000,1601000,929000,765000,,3714000,924000,847000,1061000,1107000,890000,1072000,896000,932000,1399000,1170000,1796000,877000,1897000
IncomeAdministrativExpenses_yy,,,-2.06,-12.07,,,-100.13,243.07,105500.00,-70.30,-6.36,37.78,12.26,0.18,-13.00,-18.25,,,16.18,64.42,-23.81,9.48,6.07,7.59,15.69,-24.70,-100.00,131.98,-0.54,10.72,,-70.19,-3.68,26.56,-15.55,-15.81,57.19,9.14,100.45,-5.90,35.60
IncomeAdministrativExpenses_sy,,,7.58,42.16,,,39.72,25.08,44.04,22.70,-2.94,-15.02,5.88,11.22,5.88,-3.42,,,-0.61,1.31,2.68,-0.50,4.22,7.63,0.81,3.47,1.59,2.67,6.10,4.48,,3.20,3.18,6.89,-1.84,4.29,3.99,4.66,5.10,0.81,7.38
IncomeAdministrativExpenses_qq,,15.48,,3.69,11.69,-1.71,-100.12,270100.00,,-23.91,,11.96,,-0.09,,-6.12,16.46,-11.95,20.69,32.86,-46.03,26.53,16.93,34.76,-41.97,-17.65,-100.00,,-75.12,-8.33,25.27,4.34,-19.60,20.45,-16.42,4.02,50.11,-16.37,53.50,-51.17,116.31
IncomeAdministrativExpenses_sq,,15.48,,35.41,-9.22,25.27,1.22,28.32,,19.98,,8.80,,21.12,,10.19,-19.19,7.27,-5.92,14.86,-5.56,3.99,-1.40,16.87,-10.45,4.86,-5.50,,-6.90,3.22,-5.40,15.59,-5.06,0.66,-1.20,12.78,1.38,2.96,-0.94,8.67,-1.87
IncomeGrossProfit,2483000,-2098000,2612000,178000,382000,-507000,29000,1306000,33000,-3240000,1412000,-1321000,441000,-1245000,1939000,-722000,431000,-391000,805000,1373000,146000,1087000,1412000,-90000,151000,798000,4241000,-3654000,337000,557000,1415000,-122000,88000,896000,968000,-1423000,501000,540000,1423000,766000,-41000
IncomeGrossProfit_yy,,,5.20,108.48,,,-98.89,633.71,13.79,-348.09,4178.79,59.23,-68.77,5.75,339.68,42.01,,,-58.48,290.17,-66.13,378.01,75.40,-106.55,3.42,-26.59,200.35,-3960.00,123.18,-30.20,-66.64,96.66,-73.89,60.86,-31.59,-1066.39,469.32,-39.73,47.00,153.83,-108.18
