,2012/Q4,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeRevenues,180800000,246874000,326290000,325236000,319981000,319215000,328667000,334825000,343542000,358383000,340075000,335054000,374036000,339958000,333408000,331092000,340142000,352541000,36184000
IncomeCostOfSales,138105000,180955000,178534000,188008000,164939000,171395000,164531000,182254000,190326000,166911000,180797000,193713000,176315000,155010000,168708000,180941000,188335000,117306000,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,27310000,108769000,145335000
IncomeGrossProfit,146702000,131973000,154276000,157272000,170294000,161288000,168057000,173164000,154257000,180323000,163643000,178398000,162384000,159201000,164206000,444923000,-461114000,131426000,138172000
IncomeOtherOperatingIncome,249114000,196702000,128468000,450236000,125173000,301362000,681289000,204237000,531736000,360004000,144334000,740518000,87251000,492897000,96887000,139197000,-251510000,27948000,30883000
IncomeOtherOperatingCosts,37628000,37005000,33413000,32118000,39839000,37016000,40537000,35507000,45130000,53718000,45735000,60598000,58533000,159894000,61056000,333035000,-403792000,212247000,252624000
IncomeEBIT,358188000,291671000,249331000,575390000,255628000,425634000,808809000,341895000,640864000,486609000,262242000,858319000,191102000,492203000,200037000,-33636000,-127763000,-105658000,-396568000
IncomeFinanceIncome,-46993000,308895000,-80823000,-288666000,86341000,-313169000,53851000,218783000,-34943000,-31596000,-47406000,26000,-70082000,-9464000,40853000,-116072000,50345000,60765000,54014000
IncomeFinanceCosts,63903000,47631000,59649000,46389000,66738000,49318000,62273000,58360000,55304000,66250000,37298000,44937000,53358000,56752000,,,,,
IncomeOtherIncome,,,,,,,,,,,,,,,258546000,-354104000,34139000,86201000,-92394000
IncomeNetGrossProfit,180775000,510594000,434917000,-79427000,445237000,446322000,333473000,801287000,396363000,164396000,773614000,146191000,368763000,133822000,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,258546000,-354104000,34139000,86201000,-92394000
IncomeBeforeTaxProfit,180775000,510594000,434917000,-79427000,445237000,446322000,333473000,801287000,396363000,164396000,773614000,146191000,368763000,133822000,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,206101000,-254058000,25784000,60518000,-72641000
IncomeNetProfit,150654000,400578000,344916000,-61744000,336852000,366363000,269725000,632728000,313684000,126602000,640288000,127156000,287761000,97202000,207572000,-252160000,26159000,58985000,-71316000
