,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,146838000,194993000,197817000,210016000,209809000,262172000,264562000,276562000,283334000,325655000,345929000,371976000,394030000,453168000,445765000,444993000,437363000,545147000,539904000,543220000,493501000,611598000,657426000,650483000,590871000,716298000,728236000,729109000,669949000,751909000,795489000,785759000,684016000,943821000,944733000,940077000,873955000,980534000,997127000,1107614000,982555000,1197491000,1260225000,1355517000,1303498000,1558135000,1492061000,1619765000,1546092000,1688153000,1768015000,1906105000,1650014000,2136652000
IncomeCostOfSales,105847000,150891000,149688000,161541000,157941000,196396000,198616000,199124000,204263000,233945000,253398000,270032000,273063000,317850000,308685000,303347000,251514000,369431000,365202000,372965000,331697000,407603000,450053000,438360000,403895000,481520000,483385000,501079000,459892000,517164000,555921000,542015000,466845000,648299000,641316000,646064000,606864000,663722000,700944000,777904000,694210000,824104000,868908000,954047000,912399000,1080546000,1033529000,1104898000,1087121000,1180559000,1228094000,1391031000,1141697000,1501000000
IncomeDistributionExpenses,36576000,41352000,41377000,46691000,44604000,56688000,54939000,64737000,59037000,68826000,71693000,82345000,88191000,120071000,120440000,140446000,133794000,149709000,144721000,150338000,142455000,169521000,166839000,179779000,151232000,186394000,189140000,178020000,169185000,195131000,193038000,200286000,181201000,230671000,235930000,245390000,223413000,245229000,227018000,279625000,243640000,296083000,314975000,377334000,323470000,384104000,368339000,417939000,389932000,427779000,457897000,451523000,443381000,532571000
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,4415000,2750000,6752000,1784000,7264000,9088000,11007000,12701000,20034000,22884000,20838000,19599000,32776000,15247000,16640000,1200000,52055000,26007000,29981000,19917000,19349000,34474000,40534000,32344000,35744000,48384000,55711000,50010000,40872000,39614000,46530000,43458000,35970000,64851000,67487000,48623000,43678000,71583000,69165000,50085000,44705000,77304000,76342000,24136000,67629000,93485000,90193000,96928000,69039000,79815000,82024000,63551000,64936000,103081000
IncomeOtherOperatingIncome,1752000,1479000,1070000,167000,362000,2488000,1653000,903000,2029000,5587000,3728000,8307000,10127000,2949000,5750000,6357000,1889000,2160000,4317000,0,5733000,-4702000,5948000,1076000,2159000,-3235000,7119000,394000,3595000,-3989000,10713000,0,6290000,2344000,-1831000,8345000,2206000,-782000,294000,8472000,5379000,4262000,654000,4604000,4132000,13271000,6691000,7527000,5422000,2935000,882000,1092000,1414000,2194000
IncomeOtherOperatingCosts,952000,3390000,1524000,4450000,3383000,4402000,4209000,6684000,7969000,5814000,6519000,-4625000,6385000,3070000,648000,6351000,1606000,6468000,2267000,8084000,0,13524000,3311000,19135000,3525000,5931000,5874000,15926000,3174000,11147000,2686000,12932000,1964000,2872000,695000,10224000,2443000,6312000,2393000,22772000,5289000,17076000,5194000,19907000,6408000,13930000,5688000,5560000,6794000,1445000,5285000,3137000,6408000,-243000
IncomeEBIT,6674000,8186000,11136000,9154000,18680000,24069000,20357000,21222000,34934000,12382000,15871000,12182000,45670000,24826000,31493000,17883000,17743000,33739000,33565000,30208000,36820000,37019000,49165000,37994000,37741000,37278000,36667000,38245000,32796000,53704000,64801000,41981000,44058000,66880000,67957000,48206000,44468000,70210000,74243000,9836000,67719000,80671000,85653000,81625000,66763000,79156000,83027000,65518000,63564000,104571000,108000,189000,142000,412000
IncomeFinanceIncome,370000,213000,220000,-43000,118000,279000,22000,520000,1332000,692000,-49000,-317000,567000,654000,318000,9000,662000,177000,751000,380000,339000,953000,1001000,276000,868000,733000,2261000,-1476000,587000,548000,257000,490000,519000,741000,942000,389000,705000,462000,506000,1390000,1812000,282000,769000,875000,673000,4744000,-3767000,732000,587000,-14000,5789000,406000,3841000,2709000
IncomeFinanceCosts,5057000,1224000,2268000,2129000,2362000,2849000,984000,5412000,8379000,4064000,11684000,18499000,23858000,-4569000,9496000,8327000,9123000,9708000,9655000,11245000,7632000,8358000,8338000,8974000,8826000,9027000,13436000,1384000,8222000,7250000,6318000,2448000,5637000,6248000,3956000,5493000,6005000,6121000,5217000,8135000,7414000,6892000,6142000,11320000,9789000,9447000,10485000,10752000,10099000,11034000,,,,
