,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,5597918000,4796586000,4793790000,5663242000,6093524000,4991370000,5657963000,6883832000,6765816000,5854240000,5704920000,8164654000,9215002000,7444924000,7333338000,8630294000,8174506000,7207837000,7408781000,8604680000,9281937000,7671511000,8419133000,10128949000,10201065000,8691238000,8080130000,8577223000,9706548000,8856382000,8002008000,8364015000,8079864000,7355174000,6877906000,7883427000,7985021000,7512361000,7383324000,8951841000,8108869000,7653535000,7291645000,9519646000,8164483000,7469724000,7516845000,8871389000,7455712000,6820526000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,2294633000,1385049000,1138404000,1844193000,2424207000,1698532000,1814976000,2518334000,3244056000,2654400000,2569970000,2819740000,4563093000,3117926000,2818864000,2919344000,3726511000,2731599000,2661682000,2946542000,3786632000,2405214000,2614323000,3909806000,3691600000,2975232000,2105736000,2789093000,3836259000,2709622000,941770000,1857813000,2540072000,1790427000,995049000,1366854000,2238808000,1621206000,851448000,1134967000,2144344000,1368350000,1037081000,1869290000,1810155000,1131244000,879467000,1814131000,1997436000,1375348000
IncomeOtherOperatingIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,969232000,-73854000,235006000,106704000,195233000,311339000,-90962000,21386000,-30121000,309462000,122436000,-47168000,302083000,218656000,-79943000
IncomeOtherOperatingCosts,253643000,168957000,215271000,434059000,170692000,255776000,223584000,595546000,242904000,356020000,318594000,887452000,327765000,346609000,534812000,786169000,435986000,472724000,372020000,587128000,432356000,577140000,491809000,826071000,363958000,378061000,604743000,758439000,384015000,399058000,389409000,771025000,355224000,317241000,277794000,1087581000,377741000,430025000,439764000,646097000,409491000,454317000,483907000,1099900000,302602000,353776000,470020000,1106006000,490898000,912018000
IncomeEBIT,2040989000,1216092000,923133000,1410134000,2253516000,1442756000,1591392000,1922787000,3001152000,2298380000,2251376000,1932287000,4235328000,2771317000,2284053000,2133176000,3290525000,2258875000,2289663000,2359414000,3354275000,1828074000,2122514000,3083735000,3327642000,2597171000,1500992000,2030654000,3452244000,2310564000,552361000,1086788000,2184848000,1473186000,717255000,1248505000,1787212000,1426187000,518388000,684103000,2046193000,823072000,574560000,739269000,1817015000,899905000,362280000,1010208000,1725194000,383387000
IncomeFinanceIncome,,,-211894000,-118405000,-12291000,-10750000,-30688000,-223364000,-239006000,70980000,-76066000,-653962000,-139544000,540378000,199947000,-1050193000,-34588000,-124215000,-41660000,85295000,-441101000,-1293639000,-34391000,-306235000,-39936000,-239218000,-423311000,40849000,-144869000,136695000,-227101000,-299288000,-95748000,-277490000,-593436000,-364219000,49985000,-250848000,263044000,-122453000,-20450000,-388786000,-564601000,-154965000,513104000,-355329000,-475075000,-248186000,-312701000,153536000
IncomeFinanceCosts,79576000,,,,,,,,,,,,,,,965064000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
