,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,541548000,537052000,590480000,419609000,471232000,511040000,567121000,610740000,919518000,872640000,841050000,781116000,1030985000,1026338000,923835000,805914000,991759000,901719000,893824000,614621000,887013000,884922000,810723000,1116498000,1060802000,961425000,1016393000,-85868000,922480000,838703000,825011000,800711000,851359000,815660000,786305000,776376000,844955000,814075000,798709000,786161000,817359000,840765000,800719000,814171000,826469000,867127000,853937000,907802000,898378000,882982000,836290000,961743000,885670000,933505000
IncomeRevenues_yy,,,,,-12.98,-4.84,-3.96,45.55,95.13,70.76,48.30,27.90,12.12,17.61,9.84,3.17,-3.80,-12.14,-3.25,-23.74,-10.56,-1.86,-9.30,81.66,19.59,8.65,25.37,-107.69,-13.04,-12.76,-18.83,1032.49,-7.71,-2.75,-4.69,-3.04,-0.75,-0.19,1.58,1.26,-3.27,3.28,0.25,3.56,1.11,3.14,6.65,11.50,8.70,1.83,-2.07,5.94,-1.41,5.72
IncomeRevenues_sy,,,,,-7.63,-0.94,-2.80,11.90,55.03,32.30,23.58,9.60,32.68,50.60,11.86,-8.90,-18.24,-11.62,-16.40,3.76,0.96,30.17,51.87,69.68,63.96,44.42,24.80,34.31,12.54,17.22,28.34,-8.45,-0.12,-2.75,-4.69,-3.04,0.10,-3.97,5.64,8.88,7.75,-3.97,2.94,4.32,0.74,5.68,-1.17,,8.20,4.64,9.64,9.62,-7.10,8.40
IncomeRevenues_qq,,-0.83,9.95,-28.94,12.30,8.45,10.97,7.69,50.56,-5.10,-3.62,-7.13,31.99,-0.45,-9.99,-12.76,23.06,-9.08,-0.88,-31.24,44.32,-0.24,-8.38,37.72,-4.99,-9.37,5.72,-108.45,1174.30,-9.08,-1.63,-2.95,6.33,-4.19,-3.60,-1.26,8.83,-3.65,-1.89,-1.57,3.97,2.86,-4.76,1.68,1.51,4.92,-1.52,6.31,-1.04,-1.71,-5.29,15.00,-7.91,5.40
IncomeRevenues_sq,,3.04,-1.64,6.09,-5.74,8.45,10.97,7.69,26.32,-6.56,2.13,-4.92,21.98,-6.32,4.54,-15.57,14.40,-11.29,-3.26,10.29,6.10,11.68,6.40,23.30,1.08,1.88,8.82,41.03,-7.39,8.50,-9.84,-8.39,26.85,0.41,-3.60,0.38,6.76,1.69,6.86,2.62,3.97,-7.44,11.14,2.17,-0.98,-2.54,-1.62,5.74,12.04,-8.59,0.26,11.64,-0.59,-0.78
IncomeCostOfSales,412658000,411275000,468933000,308032000,353852000,388418000,434298000,487623000,671918000,664000000,655806000,611368000,768710000,800267000,732489000,701532000,782064000,759954000,767361000,485159000,759664000,755940000,698833000,1010090000,915424000,841530000,876412000,-153081000,760243000,721957000,704186000,687787000,699633000,672218000,642142000,644060000,670941000,631228000,611000000,649881000,603787000,617833000,567741000,618108000,587980000,604388000,596315000,626987000,678124000,663716000,640340000,680549000,679044000,725876000
IncomeCostOfSales_yy,,,,,-14.25,-5.56,-7.39,58.30,89.89,70.95,51.00,25.38,14.41,20.52,11.69,14.75,1.74,-5.04,4.76,-30.84,-2.86,-0.53,-8.93,108.20,20.50,11.32,25.41,-115.16,-16.95,-14.21,-19.65,549.30,-7.97,-6.89,-8.81,-6.36,-4.10,-6.10,-4.85,0.90,-10.01,-2.12,-7.08,-4.89,-2.62,-2.18,5.03,1.44,15.33,9.82,7.38,8.54,0.14,9.37
IncomeCostOfSales_sy,,,,,-5.52,1.81,-0.37,12.08,48.72,28.53,7.80,-2.11,22.22,43.98,10.54,-1.02,-2.38,-6.92,-8.94,-0.30,5.21,18.20,30.33,78.06,34.67,25.18,27.16,39.22,20.48,26.86,36.62,-10.63,2.15,-2.36,-4.04,-1.93,-4.10,-11.49,-0.95,0.96,0.78,-7.18,-4.90,-2.32,-2.62,-2.66,-6.42,-0.17,10.60,2.57,7.38,7.21,-4.46,9.62
IncomeCostOfSales_qq,,-0.34,14.02,-34.31,14.88,9.77,11.81,12.28,37.79,-1.18,-1.23,-6.78,25.74,4.11,-8.47,-4.23,11.48,-2.83,0.97,-36.78,56.58,-0.49,-7.55,44.54,-9.37,-8.07,4.15,-117.47,596.63,-5.04,-2.46,-2.33,1.72,-3.92,-4.47,0.30,4.17,-5.92,-3.20,6.36,-7.09,2.33,-8.11,8.87,-4.87,2.79,-1.34,5.14,8.16,-2.12,-3.52,6.28,-0.22,6.90
IncomeCostOfSales_sq,,2.98,4.61,9.32,-6.73,12.47,4.57,12.28,14.40,-5.56,2.72,-1.12,14.79,-1.41,2.34,-9.71,8.08,-6.02,-0.07,6.14,0.98,12.90,3.27,29.72,-0.58,2.84,4.45,31.69,-4.46,8.44,-8.20,-6.14,14.76,1.62,-7.72,3.15,4.68,-2.07,3.52,7.40,0.54,-7.73,10.73,-3.54,-6.27,-1.73,-1.34,5.14,8.16,-12.01,2.65,6.28,-0.40,6.44
