,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,74021000,102911000,72068000,194990000,96454000,90370000,122057000,182669000,98376000,172033000,140435000,170204000,110332000,163897000,115162000,311574000,159691000,163774000,174055000,231883000,145714000,174351000,177310000,263986000,147466000,151922000,203206000,283059000,165268000,189613000,166440000,362555000,188145000,203556000,233482000,313793000,208714000,220963000,244758000,363916000,246333000,259108000,223415000,402724000,243156000,273269000,223965000,372423000,255621000,251536000,244412000,350951000,271989000,332019000
IncomeCostOfSales,59148000,83339000,51050000,160415000,66918000,66904000,96562000,140460000,71543000,142861000,110172000,126114000,85738000,127743000,96439000,241101000,138665000,145095000,138579000,168379000,121932000,135612000,138586000,189067000,124347000,135554000,145702000,187973000,135809000,141451000,138011000,273108000,150568000,159124000,197345000,222066000,165712000,167288000,164122000,233853000,182860000,177396000,166219000,264967000,182103000,184286000,176424000,221787000,200368000,200142000,202636000,229604000,215447000,245884000
IncomeDistributionExpenses,7292000,8232000,8091000,9945000,9640000,8286000,8709000,12554000,9892000,9010000,9790000,15678000,10381000,12467000,8303000,18087000,18415000,19744000,15067000,17568000,17006000,19854000,19212000,28205000,18786000,24617000,12345000,26935000,18743000,20799000,16980000,28874000,22726000,23627000,21585000,30994000,22313000,25450000,23437000,40186000,24627000,32185000,30567000,42141000,26658000,36339000,28338000,39995000,31877000,31361000,27159000,44132000,27393000,34289000
IncomeAdministrativExpenses,5700000,6649000,5717000,8397000,7186000,7356000,7826000,10597000,7273000,7643000,8308000,13255000,8410000,17062000,8548000,12773000,9166000,10867000,11780000,20036000,8372000,13534000,9212000,21856000,12429000,14867000,22544000,24841000,13977000,17288000,16041000,25989000,12773000,18169000,17084000,24057000,14458000,14739000,18127000,28195000,18122000,22022000,23653000,29449000,20328000,20463000,21551000,39724000,20225000,24107000,22340000,31404000,22014000,21095000
IncomeGrossProfit,1881000,4691000,7210000,16233000,12710000,7824000,8960000,19058000,9668000,12519000,12165000,15157000,5803000,6625000,1872000,39613000,-6555000,-11932000,8629000,25900000,-1596000,5351000,10300000,24858000,-8096000,-23116000,22615000,43310000,-3261000,10075000,-4592000,34584000,2078000,2636000,-2532000,36676000,6231000,13486000,39072000,61682000,20724000,27505000,2976000,66167000,14067000,32181000,-2348000,70917000,3151000,-4074000,-7723000,45811000,7135000,30751000
IncomeOtherOperatingIncome,67000,506000,661000,-389000,286000,18000,140000,566000,281000,469000,494000,777000,431000,53000,250000,1553000,1526000,2076000,2345000,2289000,755000,-4411000,699000,2072000,1054000,8836000,709000,12371000,3565000,3948000,4149000,4637000,2609000,5061000,952000,3088000,3130000,652000,1081000,3911000,1822000,-277000,4698000,14606000,5079000,3330000,27129000,3525000,1428000,14636000,1434000,175000,1409000,13924000
IncomeOtherOperatingCosts,417000,1506000,672000,909000,3470000,-1865000,237000,2169000,1094000,2810000,2815000,805000,671000,2093000,1372000,6145000,884000,2907000,2592000,3522000,2301000,3247000,1311000,6350000,387000,3213000,-1471000,16771000,4533000,5408000,4934000,7463000,3242000,6214000,1265000,5401000,1599000,1077000,7122000,20918000,3617000,1817000,3209000,16550000,6880000,12568000,14295000,3244000,2479000,872000,2648000,13065000,7976000,10244000
IncomeEBIT,1531000,3691000,7199000,14935000,9526000,9707000,8863000,17455000,8855000,10178000,9844000,15129000,5563000,4585000,750000,35021000,-5913000,-12763000,8382000,24667000,-3142000,-2307000,9688000,20580000,-7429000,-17493000,24795000,38910000,-4229000,8615000,-5377000,31758000,1445000,1483000,-2845000,34363000,7762000,13061000,33031000,44675000,18929000,25411000,4465000,64223000,12266000,22943000,10486000,71198000,2100000,9690000,-8937000,32921000,568000,34431000
IncomeFinanceIncome,,,,,,,,,,,,-1749000,192189000,198644000,-984000,2121000,2245000,1180000,1171000,414000,200000,2728000,-2704000,995000,6503000,2743000,-253000,-809000,-2232000,4138000,,,,,,,,,,,,,,,,576000,1422000,1332000,851000,-6918000,504000,-246000,229000,-482000
IncomeFinanceCosts,603000,414000,-189944000,-195461000,,,,,-2775000,-1594000,,-8110000,,,,,-2316000,43000,-176000,3584000,1508000,-3897000,3987000,963000,597000,-1600000,5637000,-9305000,9077000,-20889000,-4052000,4671000,-11597000,2663000,18252000,129000,500000,422000,68000,518000,973000,656000,443000,854000,992000,295000,1121000,0,0,0,-42000,-24000,-12000,-208000
