,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,154744000,178379000,172397000,197486000,239020000,242446000,262084000,279654000,314290000,308286000,306767000,313799000,337285000,373996000,368265000,363569000,376633000,402779000,628405000,615512000,719229000,669213000,713845000,644541000,750616000,697076000,735924000,677300000,800500000,723300000,1745900000,2419600000,2521100000,2329000000,2469200000,2414900000,2609900000,2364000000,2442900000,2387800000,2535100000,2388600000,2469900000,2390900000,2579200000,2345900000,2603200000
IncomeRevenues_yy,,,,,54.46,35.92,52.02,41.61,31.49,27.16,17.05,12.21,7.32,21.31,20.05,15.86,11.67,7.70,70.64,69.30,90.96,66.15,13.60,4.72,4.36,4.16,3.09,5.08,6.65,3.76,137.24,257.24,214.94,222.00,41.43,-0.19,3.52,1.50,-1.07,-1.12,-2.87,1.04,1.11,0.13,1.74,-1.79,5.40
IncomeRevenues_sy,,,,,37.11,53.34,36.54,41.36,45.98,-0.60,-0.51,-13.29,-1.11,-7.62,24.26,15.86,12.88,16.48,8.99,20.57,31.73,10.78,11.50,7.07,4.42,15.79,-0.16,9.91,4.61,10.10,26.62,9.01,6.98,18.23,8.12,13.91,6.07,16.81,-1.21,4.49,17.49,4.33,8.28,4.27,1.74,-2.76,8.68
IncomeRevenues_qq,,15.27,-3.35,14.55,21.03,1.43,8.10,6.70,12.39,-1.91,-0.49,2.29,7.48,10.88,-1.53,-1.28,3.59,6.94,56.02,-2.05,16.85,-6.95,6.67,-9.71,16.46,-7.13,5.57,-7.97,18.19,-9.64,141.38,38.59,4.19,-7.62,6.02,-2.20,8.07,-9.42,3.34,-2.26,6.17,-5.78,3.40,-3.20,7.88,-9.05,10.97
IncomeRevenues_sq,,1.12,16.76,2.73,31.57,-10.26,11.45,7.74,30.07,-36.92,7.72,-8.36,35.38,-15.36,12.63,-5.42,25.96,-13.19,6.44,4.12,28.34,-25.43,12.43,-7.30,17.28,-13.86,4.88,-11.84,24.07,-15.56,23.68,-4.91,21.64,-10.12,21.68,-9.91,30.44,-17.50,9.12,-5.69,19.41,-15.79,3.40,-3.20,23.12,-17.45,11.61
IncomeCostOfSales,,,,,,,,,531776000,168774000,167330000,173665000,181215000,189123000,195981000,194920000,208472000,208154000,368617000,371801000,447665000,368744000,402713000,338826000,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,-65.92,12.06,17.12,12.24,15.04,10.06,88.09,90.75,114.74,77.15,9.25,-8.87,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,-7.53,12.06,19.25,6.58,6.03,9.00,2.34,22.62,30.44,3.22,3.80,3.41,-3.00,10.85,1.17,-1.46,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,-68.26,-0.86,3.79,4.35,4.36,3.63,-0.54,6.95,-0.15,77.09,0.86,20.40,-17.63,9.21,-15.86,-100.00,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,-48.22,6.19,-13.41,22.16,-12.54,21.03,-1.01,35.08,-15.54,16.16,-2.12,20.40,-17.63,7.47,-3.52,6.05,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,169216000,39359000,44952000,48904000,72048000,48516000,54528000,52046000,77883000,54322000,61921000,55182000,72068000,54655000,55531000,59703000,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,-57.42,23.27,21.30,6.42,8.10,11.97,13.56,6.03,-7.47,0.61,-10.32,8.19,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,,,,,
