,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,12388000,25348000,12724000,25375000,18033000,33818000,49428000,57117000,33811000,23929000,54225000,-51593000,48200000,-9722000,19912000,7206000,7619000,28604000,1967000,8811000,1785000,21462000,480000,1100000,458000,669000
IncomeCostOfSales,5054000,16658000,4171000,6321000,10153000,22740000,31283000,40844000,24069000,13405000,41922000,-42967000,37378000,-6497000,7026000,9369000,5311000,26450000,1215000,8251000,1014000,18900000,434000,2656000,275000,650000
IncomeDistributionExpenses,6458000,4306000,6795000,8175000,7032000,9287000,18239000,9712000,16814000,3487000,12154000,-14718000,20767000,-14821000,1974000,1855000,783000,1342000,839000,1144000,566000,993000,199000,149000,129000,204000
IncomeAdministrativExpenses,6598000,7322000,5824000,8929000,6497000,11290000,10709000,18702000,13643000,12557000,10339000,-14372000,4294000,2071000,8923000,2859000,3099000,1864000,1418000,2167000,1419000,1309000,1445000,1474000,937000,1114000
IncomeGrossProfit,-5722000,-2938000,-4066000,1950000,-5649000,-9499000,-10803000,-12141000,-20715000,-5520000,-10190000,20464000,-14239000,9525000,1989000,-6877000,-1574000,-1052000,-1505000,-2751000,-1214000,260000,-1598000,-3179000,-883000,-1299000
IncomeOtherOperatingIncome,5279000,21484000,13099000,11715000,10141000,-3777000,1352000,6757000,840000,2057000,2562000,25014000,208000,7839000,-8536000,-10700000,4170000,-13383000,71000,11756000,451000,3711000,-1728000,42876000,5570000,-4808000
IncomeOtherOperatingCosts,209000,513000,461000,-322000,146000,353000,707000,779000,591000,1601000,472000,-1011000,1286000,-935000,3004000,19486000,1484000,4488000,131000,100447000,472000,39156000,632000,246575000,6049000,1350000
IncomeEBIT,-652000,18033000,8572000,13987000,4346000,-13629000,-10158000,-6163000,-20466000,-5064000,-8100000,46489000,-15317000,18299000,-9551000,-37063000,1112000,-18923000,-1565000,-91442000,-1235000,-35185000,-3958000,-206878000,-1362000,-7457000
IncomeFinanceIncome,505000,554000,636000,-87000,165000,443000,120000,200000,69000,136000,55000,-12000,55000,695000,612000,843000,282000,8356000,2114000,9709000,1930000,3036000,4337000,1326000,34000,1942000
IncomeFinanceCosts,2233000,2528000,2491000,2508000,4178000,1559000,2488000,2837000,2555000,2589000,2549000,670000,1738000,1667000,2184000,15932000,1351000,1333000,1014000,4587000,848000,5369000,10915000,14568000,6499000,4156000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,-2380000,16059000,6717000,11392000,333000,-14745000,-12526000,-8800000,-22952000,-7517000,-10594000,45807000,-17000000,17327000,-11123000,-52152000,43000,-11900000,-465000,-86320000,-153000,-37518000,-10536000,-220120000,-7827000,-9671000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-2380000,16059000,6717000,11392000,333000,-14745000,-12526000,-8800000,-22952000,-7517000,-10594000,45807000,-17000000,17327000,-11123000,-52152000,43000,-11900000,-465000,-86320000,-153000,-37518000,-10536000,-220120000,-7827000,-9671000
IncomeDiscontinuedProfit,,,,,,,,-18756000,-15750000,-11909000,-25494000,-72076000,-34462000,71725000,-7034000,-29428000,-1074000,-8122000,-189000,-7434000,-82000,-2238000,32718000,5376000,-2546000,15775000
IncomeNetProfit,6531000,10404000,254000,-15064000,-12779000,-20193000,-38398000,-29366000,-36123000,-25975000,-51575000,88885000,-18358000,-90120000,-1176000,-20061000,-718000,-94561000,-274000,-41322000,22086000,-213201000,-7827000,-14192000,-2546000,15775000
IncomeShareholderNetProfit,6531000,10404000,254000,-15064000,-12779000,-20193000,-38398000,-29366000,-36123000,-25975000,-51575000,88885000,-18358000,-90120000,-1176000,-20061000,-718000,-94561000,-274000,-41322000,22086000,-213201000,-7827000,-14192000,,
BalanceNoncurrentAssets,426278000,454395000,525021000,549220000,570320000,862019000,875745000,878748000,866858000,868858000,511096000,508767000,363718000,330965000,297041000,283103000,265479000,264379000,537381000,538876000,451276000,484210000,276432000,268411000,253071000,899000
BalanceIntangibleAssets,819000,733000,946000,27818000,294029000,302591000,303596000,305511000,308063000,46160000,47213000,36541000,36404000,34262000,34248000,32699000,32686000,32671000,32657000,110000,96000,82000,67000,53000,424017000,452088000
BalanceProperty,522517000,545858000,540079000,563908000,551445000,553925000,551046000,555600000,462810000,457078000,304159000,269387000,246487000,238698000,219654000,218819000,223658000,223171000,198593000,232402000,255710000,250346000,240350000,1257000,1485000,304000
BalanceNoncurrentReceivables,614000,897000,2563000,2983000,3282000,3371000,3410000,1256000,1462000,643000,654000,102000,37000,2367000,2377000,270054000,271943000,246268000,246518000,11142000,8577000,8494000,0,3000,1402000,1402000
BalanceNoncurrInvestments,1418000,1408000,1403000,590000,6350000,1115000,554000,2708000,22164000,24309000,7151000,9809000,9897000,9714000,4563000,4746000,2203000,1168000,166000,166000,166000,105000,,65000,400000,108000
BalanceOtherNoncurrentAssets,111000,17323000,17355000,580000,670000,316000,306000,211000,211000,9039000,311000,862000,783000,6435000,6359000,4102000,4026000,9332000,9255000,4008000,217500000,205189000,200264000,197301000,180215000,196657000
BalanceCurrentAssets,233440000,203028000,208326000,194040000,167206000,122371000,431288000,437119000,416137000,417167000,400644000,398564000,38910000,37585000,34550000,81006000,64628000,65284000,65770000,140251000,143299000,141443000,134338000,124791000,133060000,133203000
BalanceInventory,140608000,156010000,147572000,121145000,95010000,60495000,57489000,51247000,50156000,16367000,16099000,27942000,27757000,30455000,49047000,39970000,39969000,39963000,42656000,16622000,40153000,38447000,13635000,36244000,49713000,43668000
BalanceCurrentReceivables,31183000,32181000,33522000,19399000,359514000,376528000,362988000,365041000,380041000,381088000,9936000,7958000,3274000,21389000,15821000,16108000,15056000,,,,,,,,,
BalanceCurrentInvestments,,,,,4958000,56000,66000,10000,10000,10000,10000,10000,10000,10099000,8377000,8518000,10180000,30909000,42004000,14636000,21233000,39371000,25560000,49158000,13680000,16880000
