,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,1065000,805000,1606000,1868000,639000,1148000,864000,1697000,1993000,1173000,911000,2978000,806000,1495000,2355000,1749000,1103000,980000,-636000,4844000,1873000,76000,436000,1497000,705000,2058000,2341000,-1372000,1853000,1211000,1878000,1807000,1076000,1024000,1334000,1689000,1399000,1009000,1075000,1077000,1113000,1083000,1029000,1169000,1087000,1075000,1066000,1113000,1110000,1069000,1096000,1146000,1146000,1113000,1101000
IncomeRevenues_yy,,,,,-40.00,42.61,-46.20,-9.15,211.89,2.18,5.44,75.49,-59.56,27.45,158.51,-41.27,36.85,-34.45,-127.01,176.96,69.81,-92.24,168.55,-69.10,-62.36,2607.89,436.93,-191.65,162.84,-41.16,-19.78,231.71,-41.93,-15.44,-28.97,-6.53,30.02,-1.46,-19.42,-36.23,-20.44,7.33,-4.28,8.54,-2.34,-0.74,3.60,-4.79,2.12,-0.56,2.81,2.96,3.24,4.12,0.46
IncomeRevenues_sy,,,,,-12.56,12.49,26.27,39.29,99.18,59.27,24.08,21.85,31.14,28.64,38.89,24.09,-2.54,-2.44,-10.22,-2.49,-4.94,9.33,8.06,22.88,27.45,27.06,26.64,15.12,16.99,-10.02,-14.81,-21.21,-21.66,-21.97,-13.92,-3.16,10.76,7.65,1.74,8.59,17.20,-0.54,-1.86,-2.84,-5.98,-3.72,-3.44,-1.66,-0.16,2.50,4.28,9.21,3.50,8.48,10.60
IncomeRevenues_qq,,-24.41,99.50,16.31,-65.79,79.66,-24.74,96.41,17.44,-41.14,-22.34,226.89,-72.93,85.48,57.53,-25.73,-36.94,-11.15,-164.90,861.64,-61.33,-95.94,473.68,243.35,-52.91,191.91,13.75,-158.61,235.06,-34.65,55.08,-3.78,-40.45,-4.83,30.27,26.61,-17.17,-27.88,6.54,0.19,3.34,-2.70,-4.99,13.61,-7.01,-1.10,-0.84,4.41,-0.27,-3.69,2.53,4.56,,-2.88,-1.08
IncomeRevenues_sq,,29.37,5.73,9.88,-38.46,43.69,26.67,21.56,-11.49,15.13,5.80,6.66,-10.26,24.40,6.16,2.08,-36.94,25.84,2.04,8.11,-38.04,46.49,15.96,17.46,-32.04,42.04,8.80,5.34,-43.67,23.02,-3.32,-5.52,-40.86,14.18,15.76,7.45,-26.57,33.37,3.46,12.08,-28.29,24.90,5.36,5.67,-32.50,15.91,10.40,8.95,-27.56,21.49,9.09,8.03,,18.03,38.47
IncomeCostOfSales,1050000,750000,1362000,1576000,613000,877000,640000,-5525000,-1496000,4108000,-5786000,8384000,639000,1241000,1819000,972000,1031000,1055000,-1088000,4297000,1819000,-150000,98000,3666000,732000,1260000,1828000,-435000,1119000,1255000,1717000,1230000,575000,532000,966000,1467000,928000,439000,669000,1267000,594000,850000,727000,514000,565000,680000,566000,666000,655000,710000,803000,823000,671000,1319000,1018000
IncomeCostOfSales_yy,,,,,-41.62,16.93,-53.01,-450.57,-344.05,368.42,-1004.06,251.75,142.71,-69.79,131.44,-88.41,61.35,-14.99,-159.81,342.08,76.43,-114.22,109.01,-14.68,-59.76,940.00,1765.31,-111.87,52.87,-0.40,-6.07,382.76,-48.61,-57.61,-43.74,19.27,61.39,-17.48,-30.75,-13.63,-35.99,93.62,8.67,-59.43,-4.88,-20.00,-22.15,29.57,15.93,4.41,41.87,23.57,2.44,85.77,26.77
IncomeCostOfSales_sy,,,,,-11.02,14.98,26.77,38.28,94.54,63.64,27.52,31.43,38.17,29.56,34.69,11.58,-8.50,-12.49,-15.87,-5.51,2.24,17.01,10.37,22.08,43.05,35.68,28.16,23.33,24.38,-0.85,-9.95,-14.47,-21.23,-31.38,-13.25,-11.25,3.78,2.41,3.31,12.99,13.00,2.09,-5.86,-9.81,-7.94,-5.02,-5.54,2.68,2.38,4.93,4.75,2.61,6.89,15.93,17.70
IncomeCostOfSales_qq,,-28.57,81.60,15.71,-61.10,43.07,-27.02,-963.28,72.92,374.60,-240.85,244.90,-92.38,94.21,46.58,-46.56,6.07,2.33,-203.13,494.94,-57.67,-108.25,165.33,3640.82,-80.03,72.13,45.08,-123.80,357.24,12.15,36.81,-28.36,-53.25,-7.48,81.58,51.86,-36.74,-52.69,52.39,89.39,-53.12,43.10,-14.47,-29.30,9.92,20.35,-16.76,17.67,-1.65,8.40,13.10,2.49,-18.47,96.57,-22.82
IncomeCostOfSales_sq,,23.45,11.71,12.22,-41.23,38.82,19.76,26.14,-12.59,16.35,4.74,10.29,-16.96,23.95,6.49,-2.84,-35.78,29.55,7.54,7.17,-40.09,44.61,14.00,13.82,-34.84,37.45,7.92,9.77,-39.07,25.49,-3.56,0.69,-49.55,22.30,12.95,6.81,-27.36,25.34,6.15,11.20,-31.32,29.40,9.58,6.04,-37.65,21.10,11.14,22.70,-30.51,14.81,8.23,15.22,-33.23,25.66,7.64
