,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,98903000,211564000,338040000,108476000,68475000,217378000,365526000,158977000,102675000,262328000,409302000,180623000,126493000,363499000
IncomeRevenues_yy,,,,,-30.77,2.75,8.13,46.55,49.95,20.68,11.98,13.62,23.20,38.57
IncomeRevenues_sy,,,,,12.46,10.94,9.72,7.20,12.39,11.06,12.57,13.14,7.74,14.42
IncomeRevenues_qq,,113.91,59.78,-67.91,-36.88,217.46,68.15,-56.51,-35.42,155.49,56.03,-55.87,-29.97,187.37
IncomeRevenues_sq,,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23,6.21,-1.39,4.50
IncomeCostOfSales,83022000,205235000,292677000,101952000,52195000,206280000,318226000,153183000,84377000,242325000,363529000,175694000,122163000,307074000
IncomeCostOfSales_yy,,,,,-37.13,0.51,8.73,50.25,61.66,17.47,14.24,14.70,44.78,26.72
IncomeCostOfSales_sy,,,,,10.16,2.30,9.02,-5.88,24.50,6.83,22.45,24.04,7.06,23.18
IncomeCostOfSales_qq,,147.21,42.61,-65.17,-48.80,295.21,54.27,-51.86,-44.92,187.19,50.02,-51.67,-30.47,151.36
IncomeCostOfSales_sq,,12.36,-0.44,2.34,-8.21,9.19,-5.61,,6.31,4.96,4.18,1.47,-2.64,2.09
IncomeDistributionExpenses,55000,148000,62000,56000,,124000,35000,94000,583000,353000,450000,304000,117000,311000
IncomeDistributionExpenses_yy,,,,,-100.00,-16.22,-43.55,67.86,,184.68,1185.71,223.40,-79.93,-11.90
IncomeDistributionExpenses_sy,,,,,5.04,-16.92,3.84,9.33,,19.68,22.84,10.30,-5.88,
IncomeDistributionExpenses_qq,,169.09,-58.11,-9.68,-100.00,,-71.77,168.57,520.21,-39.45,27.48,-32.44,-61.51,165.81
IncomeDistributionExpenses_sq,,41.84,-5.45,6.11,-7.23,,-7.29,2.06,1.11,14.04,-8.39,1.46,-2.07,18.18
IncomeAdministrativExpenses,4223000,3148000,3395000,7148000,4269000,4449000,4550000,5509000,5338000,6737000,6658000,4458000,6066000,8063000
IncomeAdministrativExpenses_yy,,,,,1.09,41.33,34.02,-22.93,25.04,51.43,46.33,-19.08,13.64,19.68
IncomeAdministrativExpenses_sy,,,,,11.39,18.61,9.22,13.75,2.52,8.10,2.78,-5.63,10.40,6.14
IncomeAdministrativExpenses_qq,,-25.46,7.85,110.54,-40.28,4.22,2.27,21.08,-3.10,26.21,-1.17,-33.04,36.07,32.92
IncomeAdministrativExpenses_sq,,2.15,6.45,15.81,-7.08,3.60,0.98,14.29,-13.90,10.30,-3.22,12.75,-17.22,9.46
IncomeGrossProfit,11603000,3033000,41906000,-680000,12011000,6525000,42715000,191000,12377000,12913000,38665000,167000,-1853000,48051000
IncomeGrossProfit_yy,,,,,3.52,115.13,1.93,128.09,3.05,97.90,-9.48,-12.57,-114.97,272.11
IncomeGrossProfit_sy,,,,,-29.56,-13.08,-9.79,5.09,3.05,-5.43,5.66,-11.86,-8.32,19.41
IncomeGrossProfit_qq,,-73.86,1281.67,-101.62,1866.32,-45.67,554.64,-99.55,6380.10,4.33,199.43,-99.57,-1209.58,2693.15
IncomeGrossProfit_sq,,0.72,1.82,-22.23,-5.48,-8.16,-6.93,5.79,13.53,-25.14,31.12,-28.36,12.68,3.02
IncomeOtherOperatingIncome,20000,1210000,-794000,127000,2000,10000,84000,13000,56000,190000,480000,230000,,140000
IncomeOtherOperatingIncome_yy,,,,,-90.00,-99.17,110.58,-89.76,2700.00,1800.00,471.43,1669.23,-100.00,-26.32
IncomeOtherOperatingIncome_sy,,,,,9.17,23.76,-4.70,23.89,-7.29,5.68,34.69,16.38,17.06,17.71
IncomeOtherOperatingIncome_qq,,5950.00,-165.62,115.99,-98.43,400.00,740.00,-84.52,330.77,239.29,152.63,-52.08,-100.00,
IncomeOtherOperatingIncome_sq,,-1.84,-27.50,52.14,-5.62,-1.74,4.00,38.33,-35.95,14.42,10.94,44.64,-26.84,
IncomeOtherOperatingCosts,4000,,22000,12000,60000,7000,6000,15000,,550000,0,916000,,1876000
IncomeOtherOperatingCosts_yy,,,,,1400.00,,-72.73,25.00,-100.00,7757.14,-100.00,6006.67,,241.09
IncomeOtherOperatingCosts_sy,,,,,13.86,,-20.51,-10.23,-8.68,-25.34,-8.69,36.41,,73.20
IncomeOtherOperatingCosts_qq,,-100.00,,-45.45,400.00,-88.33,-14.29,150.00,-100.00,,-100.00,,-100.00,
IncomeOtherOperatingCosts_sq,,20.27,,216.38,-63.22,8.33,-28.86,97.78,-41.67,,-13.80,,-55.93,
IncomeEBIT,11619000,4247000,41090000,-565000,11953000,6528000,42793000,189000,12433000,12553000,39145000,-519000,-1853000,46315000
IncomeEBIT_yy,,,,,2.87,53.71,4.14,133.45,4.02,92.29,-8.52,-374.60,-114.90,268.96
IncomeEBIT_sy,,,,,-22.11,-7.34,-5.67,14.00,9.49,-26.94,4.92,-19.90,-3.94,23.19
IncomeEBIT_qq,,-63.45,867.51,-101.38,2215.58,-45.39,555.53,-99.56,6478.31,0.97,211.84,-101.33,-257.03,2599.46
IncomeEBIT_sq,,8.34,-0.72,-10.97,-1.58,2.32,-4.89,12.88,0.74,-19.68,20.68,-27.08,24.58,-2.22
IncomeFinanceIncome,,,,,,,,,,,,,,
IncomeFinanceIncome_yy,,,,,,,,,,,,,,
IncomeFinanceIncome_sy,,,,,,,,,,,,,,
IncomeFinanceIncome_qq,,,,,,,,,,,,,,
IncomeFinanceIncome_sq,,,,,,,,,,,,,,
IncomeFinanceCosts,7465000,-5718000,5525000,6464000,-1776000,5491000,2175000,-2634000,-7126000,483000,11632000,-14369000,3278000,23410000
IncomeFinanceCosts_yy,,,,,-123.79,196.03,-60.63,-140.75,-301.24,-91.20,434.80,-445.52,146.00,4746.79
IncomeFinanceCosts_sy,,,,,8.22,23.81,7.96,-1.64,14.00,1.30,3.21,25.70,-1.28,21.34
