,2008/Q3,2008/Q4,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,-40187000,79519000,30541000,41156000,35714000,35807000,36085000,44307000,39506000,36080000,38106000,42417000,48105000,56026000,54698000,51887000,51877000,51698000,58571000,47062000,70003000,62965000,58965000,58457000,53807000,-53457000,191000,-534000,17024000,-16323000,1112000,-11000,14000,1000,234000,851000,123000,0
IncomeCostOfSales,,80293000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430000
IncomeGrossProfit,-595000,445000,229000,1159000,223000,678000,2108000,3106000,,8142000,-1396000,2782000,5652000,1860000,-2537000,3525000,2487000,339000,-3493000,-436000,-686000,-526000,-990000,-2665000,1984000,562000,-366000,-141000,-128000,-11000,-174000,48000,-287000,,112000,,-382000,
IncomeOtherOperatingIncome,,238000,,,98000,,92000,23000,897000,100000,171000,268000,2037000,950000,1078000,7632000,2550000,-2520000,17000,16000,7830000,-7789000,17000,301000,11000,39000,11000,459000,12000,9000,,17000,,0,,,,305000
IncomeOtherOperatingCosts,,,236000,,192000,242000,1000,12000,2000,370000,1000,2784000,29000,,28519000,2000,,1689000,36000,0,61000,509000,,-503000,,3073000,,,4101000,,,2968000,,8042000,-1615000,3678000,5740000,2029000
IncomeEBIT,-2639000,5562000,3436000,1418000,1355000,2085000,-3177000,-509000,-29493000,5163000,-5803000,579000,-1754000,-130000,-125000,0,224000,60000,-787000,,70000,,521000,,,693000,,,832000,,160000,366000,282000,210000,147000,1513000,344000,350000
IncomeFinanceIncome,457000,1633000,1453000,-1135000,177000,-72000,845000,-689000,394000,-392000,445000,106000,52000,77000,413000,,110000,,2654000,,,598000,,,308000,,839000,469000,199000,355000,419000,973000,495000,323000,796000,733000,466000,-353000
IncomeFinanceCosts,9000,-96000,419000,699000,5670000,182000,155000,0,2000,134000,,,,,,,,,,,,,,,,,,,,,,,,,,,,2960000
IncomeOtherIncome,-21031000,-987000,454000,16453000,,,431000,-539000,525000,-2276000,1190000,945000,34000,2027000,1933000,-619000,854000,1324000,2968000,1203000,3192000,-1718000,3761000,5595000,1757000,-2099000,5411000,3463000,1079000,2255000,3072000,-3959000,-341000,-26509000,-15442000,-8178000,-4243000,14125000
IncomeNetGrossProfit,315000,-174000,52000,299000,60000,-508000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,431000,-539000,525000,-2276000,1190000,945000,34000,2027000,1933000,-619000,854000,1324000,2968000,1203000,3192000,-1718000,3761000,5595000,1757000,-2099000,5411000,3463000,1079000,2255000,3072000,-3959000,-341000,-26509000,-15442000,-8178000,-4243000,14125000
IncomeBeforeTaxProfit,315000,-174000,52000,299000,60000,-508000,,,,,,,,,,,,,,,,,,,,,,,,,,3792000,1205000,-1365000,-3183000,0,168000,
IncomeDiscontinuedProfit,,,431000,-543000,544000,-2240000,1190000,945000,34000,1339000,1933000,-619000,853000,638000,2611000,844000,3162000,-1433000,3254000,4071000,1289000,-975000,4216000,2262000,550000,3070000,2440000,465000,864000,-27888000,-15563000,-9062000,-4243000,11878000,315000,-156000,52000,316000
IncomeNetProfit,60000,-403000,430000,-542000,545000,-2296000,1190000,945000,34000,1339000,1933000,-619000,853000,638000,2611000,844000,3196000,-1413000,3259000,4073000,1289000,-974000,4216000,2262000,550000,3070000,2440000,465000,864000,-27888000,-15563000,-9062000,-4243000,11878000,315000,-156000,52000,316000
IncomeShareholderNetProfit,60000,-403000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,,9716000,,22867000,,,25924000,,,24074000,,26539000,30686000,32179000,33560000,33139000,41258000,39994000,46911000,51000000,50167000,50044000,49478000,48492000,12337000,8256000,3418000,3371000,334000,307000,4689000,4709000,254000,16729000,17117000,,,
BalanceIntangibleAssets,14260000,,,14858000,,,14806000,,15413000,14849000,14833000,18835000,18565000,24271000,22284000,20269000,21100000,20221000,19797000,23110000,23242000,5802000,5052000,285000,263000,242000,219000,198000,176000,154000,132000,110000,,9716000,,8590000,,
BalanceProperty,11066000,,,9246000,,11104000,15560000,17070000,14448000,14297000,16315000,17073000,26009000,29267000,29414000,29709000,25823000,24738000,5627000,2739000,150000,125000,37000,33000,30000,27000,25000,16522000,16849000,,,,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,563000,524000,524000,499000,505000,512000,479000,472000,465000,4435000,4480000,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,0,,,,528000,,,,,,,,,,,,,,,,,,,17000,,,0,,,,22000,,22000,277000,276000,277000,277000,109000
BalanceOtherNoncurrentAssets,109000,109000,109000,33000,33000,33000,33000,436000,2983000,2983000,55000,55000,26000,26000,75000,75000,158000,,30067000,,55904000,,,38218000,,,49386000,,71241000,71318000,72979000,83981000,89074000,93544000,119254000,107024000,87906000,104602000
BalanceCurrentAssets,88591000,88940000,98816000,74094000,90849000,42425000,37283000,31520000,31842000,14913000,14653000,24298000,28418000,19077000,,857000,,860000,,,313000,,,,,,,,,,,,,59000,522000,523000,522000,531000
BalanceInventory,1339000,1384000,,,,,,,25859000,,41021000,,,31610000,,,37982000,,59838000,61226000,60836000,71568000,76385000,75936000,99457000,90909000,76911000,80345000,71968000,77815000,87038000,51704000,70533000,21174000,26464000,19386000,19810000,1351000
BalanceCurrentReceivables,1125000,10541000,14084000,14278000,,2394000,,3100000,,,,,,0,,,0,237000,237000,457000,830000,1401000,1400000,1823000,2208000,2340000,2587000,2587000,2592000,8079000,8966000,20873000,10444000,11714000,11622000,13307000,13296000,13291000
BalanceCurrentInvestments,13284000,3742000,,913000,,10887000,,,6222000,,,7532000,,6542000,5097000,7392000,7290000,6902000,9747000,13014000,8966000,4936000,12156000,9425000,4213000,5476000,9948000,9879000,90000,89000,113000,108000,113000,92000,72000,76000,76000,
BalanceCash,44000,,36000,,,73000,,,3872000,,4861000,4758000,4514000,4666000,4957000,6460000,5383000,5326000,3792000,9239000,4088000,3803000,3179000,3024000,87000,288000,286000,307000,302000,142000,140000,394000,974000,981000,,,,
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,14600000,,,,,,,,,13581000,39784000,59478000,78771000,78679000,65318000
BalanceAssetsForSale,59500000,64142000,61500000,64589000,67284000,73460000,78130000,94135000,97780000,102004000,105158000,117541000,122213000,134802000,159248000,153935000,138906000,154769000,138635000,138418000,147308000,101031000,99105000,45843000,40654000,31854000,32149000,19602000,19362000,24552000,45147000,36194000,13525000,14236000,32677000,30739000,32626000,32881000
BalanceTotalAssets,32915000,34250000,36181000,35562000,36415000,37055000,39725000,40568000,43658000,41892000,45151000,49225000,50514000,50066000,54281000,61310000,61255000,64325000,66765000,67230000,68094000,40275000,43733000,37099000,31193000,23216000,23531000,12862000,12914000,13230000,13290000,12887000,,14000000,,29400000,,
BalanceCapital,29400000,,,29400000,,29400000,29400000,29400000,29400000,29400000,29400000,29400000,29400000,31616000,31616000,31616000,31616000,31616000,31616000,31616000,31616000,31616000,31616000,31616000,31616000,31616000,31616000,31616000,31616000,,,,,,,,,
BalanceShareCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2323000,,2929000,,,3923000,,
