,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,215716000,180370000,233946000,239987000,231294000,264927000,260917000,284069000,288542000,327474000,340805000,368511000,318290000,343483000,382077000,419241000,386234000,446091000,369049000,375134000,333681000,338038000,389791000,393785000,342859000,405951000,444398000,476761000,509099000,499529000,557922000,537595000,461176000,451688000,500703000,490025000,432108000,442924000,419230000,394162000,352611000,355658000,379389000,383198000,337801000,354051000,372167000,390277000,397714000,450076000,434026000,486979000,551126000,505789000
IncomeRevenues_yy,,,,,7.22,46.88,11.53,18.37,24.75,23.61,30.62,29.73,10.31,4.89,12.11,13.77,21.35,29.87,-3.41,-10.52,-13.61,-24.22,5.62,4.97,2.75,20.09,14.01,21.07,48.49,23.05,25.55,12.76,-9.41,-9.58,-10.26,-8.85,-6.30,-1.94,-16.27,-19.56,-18.40,-19.70,-9.50,-2.78,-4.20,-0.45,-1.90,1.85,17.74,27.12,16.62,24.78,38.57,12.38
IncomeRevenues_sy,,,,,7.51,10.32,11.53,17.58,23.22,15.63,30.44,6.85,10.22,12.74,4.06,7.27,1.75,6.26,-1.24,-0.18,3.90,2.05,12.91,15.60,17.52,15.57,18.34,27.05,31.46,11.40,8.60,12.64,1.52,0.01,3.74,-8.14,-3.44,-1.94,-11.16,4.57,0.03,2.17,13.89,2.99,3.80,2.48,6.10,6.96,17.14,6.59,11.92,2.73,0.21,2.61
IncomeRevenues_qq,,-16.39,29.70,2.58,-3.62,14.54,-1.51,8.87,1.57,13.49,4.07,8.13,-13.63,7.92,11.24,9.73,-7.87,15.50,-17.27,1.65,-11.05,1.31,15.31,1.02,-12.93,18.40,9.47,7.28,6.78,-1.88,11.69,-3.64,-14.21,-2.06,10.85,-2.13,-11.82,2.50,-5.35,-5.98,-10.54,0.86,6.67,1.00,-11.85,4.81,5.12,4.87,1.91,13.17,-3.57,12.20,13.17,-8.23
IncomeRevenues_sq,,-0.16,11.90,9.52,-9.48,5.14,7.96,18.23,-9.75,3.00,20.15,8.13,-10.70,3.59,5.73,9.80,-2.76,8.88,-0.12,1.04,-2.92,6.30,11.12,1.02,-2.95,3.01,-2.36,21.28,-7.41,-1.88,5.28,13.40,-14.21,3.87,10.47,5.94,-13.95,2.50,1.39,22.43,-13.78,5.45,6.29,0.83,-12.54,6.41,3.54,5.11,-2.66,1.88,0.31,14.77,-9.14,-1.27
IncomeCostOfSales,190769000,151154000,207255000,216230000,209343000,232822000,220816000,244261000,253172000,292520000,303977000,322489000,279878000,291636000,335509000,367895000,343537000,401651000,327743000,331412000,283854000,289742000,343774000,342878000,295724000,358868000,397818000,425619000,465196000,454708000,516089000,494082000,411288000,406523000,454774000,439515000,385733000,395407000,375542000,346236000,307703000,317572000,342713000,337060000,298601000,310381000,333169000,343139000,351754000,394234000,389921000,434283000,479021000,459179000
IncomeCostOfSales_yy,,,,,9.74,54.03,6.54,12.96,20.94,25.64,37.66,32.03,10.55,-0.30,10.37,14.08,22.75,37.72,-2.31,-9.92,-17.37,-27.86,4.89,3.46,4.18,23.86,15.72,24.13,57.31,26.71,29.73,16.09,-11.59,-10.60,-11.88,-11.04,-6.21,-2.73,-17.42,-21.22,-20.23,-19.68,-8.74,-2.65,-2.96,-2.26,-2.78,1.80,17.80,27.02,17.03,26.56,36.18,16.47
IncomeCostOfSales_sy,,,,,12.07,8.78,4.92,12.82,17.72,15.58,26.32,7.52,17.44,4.08,4.13,4.20,5.76,23.30,-1.17,0.72,2.92,-0.03,15.76,17.36,8.88,22.81,10.50,37.12,48.64,26.71,22.51,8.70,-4.06,-2.91,-2.02,-10.42,-4.24,-2.73,-13.66,-0.25,-1.55,-2.96,10.39,-3.71,5.16,5.38,9.39,7.22,19.10,14.30,8.14,7.78,0.46,4.22
IncomeCostOfSales_qq,,-20.77,37.12,4.33,-3.19,11.22,-5.16,10.62,3.65,15.54,3.92,6.09,-13.21,4.20,15.04,9.65,-6.62,16.92,-18.40,1.12,-14.35,2.07,18.65,-0.26,-13.75,21.35,10.85,6.99,9.30,-2.25,13.50,-4.26,-16.76,-1.16,11.87,-3.36,-12.24,2.51,-5.02,-7.80,-11.13,3.21,7.92,-1.65,-11.41,3.95,7.34,2.99,2.51,12.08,-1.09,11.38,10.30,-4.14
IncomeCostOfSales_sq,,-13.80,28.18,4.32,-6.64,2.28,10.52,18.62,-9.92,7.91,13.34,6.09,-8.12,3.63,11.91,4.50,-0.04,3.15,-0.72,0.33,-1.87,-1.38,11.98,3.96,-10.74,7.97,10.85,35.96,-12.92,-2.25,8.51,16.74,-15.92,-4.89,8.50,3.99,-17.80,-4.51,4.31,9.94,-15.70,3.86,8.79,0.71,-12.06,4.60,10.56,6.64,-3.05,-8.14,1.00,18.93,-5.24,-0.26
