,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,30119000,19678000,33861000,33693000,44365000,33603000,50652000,45689000,53743000,39525000,52999000,46362000,43108000,45062000,42891000,46366000,43489000,43135000,49934000,45052000,43184000,42594000,48228000,52133000,48693000,49798000,56202000,54497000,51199000,49386000,58279000,59637000,60085000,64766000,67747000,71720000,66233000,70225000,65479000,70989000,61478000,71557000,63710000,-25620000,42292000,53787000,121737000,-33312000,35483000,51587000
IncomeRevenues_yy,,,,,47.30,70.76,49.59,35.60,21.14,17.62,4.63,1.47,-19.79,14.01,-19.07,0.01,0.88,-4.28,16.42,-2.83,-0.70,-1.25,-3.42,15.72,12.76,16.91,16.53,4.53,5.15,-0.83,3.70,9.43,17.36,31.14,16.25,20.26,10.23,8.43,-3.35,-1.02,-7.18,1.90,-2.70,-136.09,-31.21,-24.83,91.08,-30.02,-16.10,-4.09
IncomeRevenues_sy,,,,,72.74,40.22,49.59,35.60,22.38,20.50,24.13,9.96,4.73,10.39,2.92,0.90,3.89,-1.89,13.13,9.07,13.69,12.16,3.42,13.32,12.09,12.84,18.92,16.33,1.74,7.05,6.00,8.05,13.82,11.45,11.00,10.13,17.47,16.22,7.92,13.50,15.27,11.03,12.22,10.94,3.71,2.71,13.28,3.30,0.28,5.47
IncomeRevenues_qq,,-34.67,72.08,-0.50,31.67,-24.26,50.74,-9.80,17.63,-26.46,34.09,-12.52,-7.02,4.53,-4.82,8.10,-6.20,-0.81,15.76,-9.78,-4.15,-1.37,13.23,8.10,-6.60,2.27,12.86,-3.03,-6.05,-3.54,18.01,2.33,0.75,7.79,4.60,5.86,-7.65,6.03,-6.76,8.41,-13.40,16.39,-10.97,-140.21,265.07,27.18,126.33,-127.36,206.52,45.39
IncomeRevenues_sq,,12.75,16.65,41.24,-2.34,12.24,8.54,24.60,-19.51,5.44,10.45,16.36,-19.17,5.72,-6.50,20.86,-18.63,12.26,8.48,9.67,-18.97,22.45,2.72,23.39,-14.84,11.77,3.64,8.09,-20.17,18.91,-1.46,15.10,-16.70,18.19,4.60,10.24,-12.68,18.01,-2.16,16.32,-13.90,16.79,-2.37,7.05,-14.88,17.54,-0.20,14.40,-22.04,19.66
IncomeCostOfSales,18668000,11120000,22449000,18899000,25144000,1573000,49960000,-21373000,30667000,20706000,29681000,25300000,27747000,24188000,25335000,23798000,26128000,20435000,28602000,20547000,26193000,23199000,29015000,28279000,27906000,28484000,34483000,29812000,31008000,24672000,33551000,30370000,33915000,31072000,39764000,43785000,39011000,37275000,38069000,32125000,33130000,35483000,36230000,-11076000,25106000,31268000,69393000,-16193000,24100000,39043000
IncomeCostOfSales_yy,,,,,34.69,-85.85,122.55,-213.09,21.97,1216.34,-40.59,218.37,-9.52,16.82,-14.64,-5.94,-5.83,-15.52,12.90,-13.66,0.25,13.53,1.44,37.63,6.54,22.78,18.85,5.42,11.12,-13.38,-2.70,1.87,9.38,25.94,18.52,44.17,15.03,19.96,-4.26,-26.63,-15.08,-4.81,-4.83,-134.48,-24.22,-11.88,91.53,-46.20,-4.01,24.87
IncomeCostOfSales_sy,,,,,56.58,31.87,55.53,24.74,21.93,39.58,22.12,23.29,16.84,12.88,7.38,-4.50,5.12,-4.76,11.60,0.45,9.09,7.75,-6.46,16.39,8.54,17.02,26.60,19.62,-1.86,9.30,-2.98,1.74,9.33,11.04,16.00,15.20,15.97,31.62,14.76,14.30,16.56,9.72,8.42,11.96,16.41,9.28,18.67,6.86,5.61,6.16
IncomeCostOfSales_qq,,-40.43,101.88,-15.81,33.04,-93.74,3076.10,-142.78,243.48,-32.48,43.34,-14.76,9.67,-12.83,4.74,-6.07,9.79,-21.79,39.97,-28.16,27.48,-11.43,25.07,-2.54,-1.32,2.07,21.06,-13.55,4.01,-20.43,35.99,-9.48,11.67,-8.38,27.97,10.11,-10.90,-4.45,2.13,-15.61,3.13,7.10,2.11,-130.57,326.67,24.54,121.93,-123.34,248.83,62.00
IncomeCostOfSales_sq,,-4.80,22.71,29.06,3.63,-11.64,18.64,11.08,-11.42,-8.06,11.12,3.32,-6.07,-3.22,1.75,21.02,-4.50,5.79,14.58,-7.14,-5.22,-5.69,7.60,14.72,-4.62,2.07,17.66,3.70,-15.50,14.89,1.36,5.63,-11.32,10.44,6.04,8.38,-11.00,11.40,-0.24,12.08,-11.80,11.94,2.11,14.73,-12.21,11.66,5.21,18.86,-15.59,6.69
