,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,13535000,44992000,10692000,36497000,24531000,21765000,10343000,4704000,50167000,56297000,28955000,32285000
IncomeRevenues_yy,,,,,81.24,-51.62,-3.27,-87.11,104.51,158.66,179.95,586.30
IncomeRevenues_sy,,,,,1.90,12.72,0.25,-2.12,-1.18,5.95,18.84,11.87
IncomeRevenues_qq,,232.42,-76.24,241.35,-32.79,-11.27,-52.48,-54.52,966.43,12.22,-48.57,11.50
IncomeRevenues_sq,,6.73,-19.38,2.34,-1.57,29.39,-31.70,1.50,0.20,14.10,-3.86,6.83
IncomeCostOfSales,,,,,,,11142000,3507000,,,25873000,26240000
IncomeCostOfSales_yy,,,,,,,,,,,132.21,648.19
IncomeCostOfSales_sy,,,,,,,,,,,29.61,25.67
IncomeCostOfSales_qq,,,,,,,,-68.52,-100.00,,,1.42
IncomeCostOfSales_sq,,,,,,,,-9.47,2.82,,,1.04
IncomeDistributionExpenses,,,,,,,436000,184000,,,616000,18000
IncomeDistributionExpenses_yy,,,,,,,,,,,41.17,-90.10
IncomeDistributionExpenses_sy,,,,,,,,,,,9.45,-5.26
IncomeDistributionExpenses_qq,,,,,,,,-57.87,-100.00,,,-97.05
IncomeDistributionExpenses_sq,,,,,,,,23.16,-3.36,,,12.12
IncomeAdministrativExpenses,,,,,,,2604000,3623000,,,2988000,2517000
IncomeAdministrativExpenses_yy,,,,,,,,,,,14.73,-30.54
IncomeAdministrativExpenses_sy,,,,,,,,,,,14.73,2.54
IncomeAdministrativExpenses_qq,,,,,,,,39.14,-100.00,,,-15.76
IncomeAdministrativExpenses_sq,,,,,,,,6.70,-0.85,,,4.55
IncomeGrossProfit,-58000,-2414000,398000,-539000,-1252000,3924000,-3840000,-2610000,-889000,22556000,-522000,3510000
IncomeGrossProfit_yy,,,,,-2047.80,262.56,-1064.83,-384.53,28.98,474.90,86.42,234.48
IncomeGrossProfit_sy,,,,,16.95,59.25,21.26,12.22,2.61,-2.83,23.07,25.24
IncomeGrossProfit_qq,,-4039.95,116.49,-235.35,-132.46,413.35,-197.86,32.03,65.93,2636.45,-102.31,773.00
IncomeGrossProfit_sq,,0.30,-3.51,3.36,3.18,106.69,-25.26,5.62,-8.98,47.44,2.46,6.72
IncomeOtherOperatingIncome,225000,24000,135000,240000,187000,8460000,134000,-1329000,80000,-276000,106000,143000
IncomeOtherOperatingIncome_yy,,,,,-17.07,35463.15,-1.11,-653.57,-56.99,-103.26,-20.70,110.75
IncomeOtherOperatingIncome_sy,,,,,-9.43,19.46,-6.69,-30.16,-11.11,-29.98,55.50,30.58
IncomeOtherOperatingIncome_qq,,-89.45,468.19,77.56,-22.10,4425.09,-98.42,-1093.98,106.05,-443.34,138.39,34.75
IncomeOtherOperatingIncome_sq,,140.00,-45.48,90.17,-52.68,172.85,-65.83,37.92,-7.04,173.77,-25.88,45.39
IncomeOtherOperatingCosts,211000,153000,453000,107000,211000,627000,365000,1583000,204000,332000,252000,385000
IncomeOtherOperatingCosts_yy,,,,,0.15,310.70,-19.51,1379.74,-3.34,-47.04,-30.90,-75.67
IncomeOtherOperatingCosts_sy,,,,,13.95,20.50,-0.45,4.98,-11.60,-42.26,8.40,-27.00
IncomeOtherOperatingCosts_qq,,-27.64,196.75,-76.39,97.56,196.73,-41.84,334.03,-87.10,62.59,-24.12,52.79
IncomeOtherOperatingCosts_sq,,89.33,-67.01,26.08,-8.70,271.95,-81.63,29.84,-45.16,122.47,-66.26,12.72
IncomeEBIT,-44000,-2542000,80000,-406000,-1276000,11757000,-4071000,-5521000,-1013000,21948000,-667000,3268000
IncomeEBIT_yy,,,,,-2812.18,562.43,-5183.75,-1261.25,20.63,86.68,83.60,159.18
IncomeEBIT_sy,,,,,-24.46,42.28,-21.30,-5.86,48.66,-34.94,54.08,23.04
IncomeEBIT_qq,,-5700.28,103.15,-606.56,-214.71,1021.04,-134.62,-35.64,81.65,2266.37,-103.04,589.52
IncomeEBIT_sq,,15.92,-41.76,34.91,-25.90,170.71,-69.86,53.59,15.43,51.40,-30.78,23.09
IncomeFinanceIncome,19000,25000,14000,65000,35000,434000,243000,356000,115000,279000,102000,168000
IncomeFinanceIncome_yy,,,,,87.03,1648.27,1635.79,444.57,228.47,-35.62,-57.98,-52.77
IncomeFinanceIncome_sy,,,,,50.00,35.44,90.88,-20.91,-58.15,19.55,-19.18,-0.93
IncomeFinanceIncome_qq,,32.76,-43.55,366.41,-46.49,1141.01,-43.96,46.33,-67.72,143.22,-63.42,64.50
IncomeFinanceIncome_sq,,20.34,1.88,11.33,-32.86,59.57,31.66,-12.08,-32.46,74.12,-50.65,1.27
IncomeFinanceCosts,1423000,-1578000,161000,240000,51000,-63000,158000,1551000,396000,497000,482000,274000
IncomeFinanceCosts_yy,,,,,-96.39,95.98,-2.04,545.35,671.06,882.96,205.90,-82.32
IncomeFinanceCosts_sy,,,,,-34.43,22.52,-0.87,-21.28,80.29,-29.34,5.62,33.33
IncomeFinanceCosts_qq,,-210.88,110.20,49.36,-78.61,-223.40,348.49,883.96,-74.45,25.31,-2.91,-43.13
IncomeFinanceCosts_sq,,18.84,-14.08,19.76,-35.30,80.31,-32.98,1.98,-3.10,8.78,-2.91,24.64
IncomeOtherIncome,,,,,,-4897000,,,,,,
IncomeOtherIncome_yy,,,,,,,,,,100.00,,
IncomeOtherIncome_sy,,,,,,,,,,47.46,,
IncomeOtherIncome_qq,,,,,,,100.00,,,,,
IncomeOtherIncome_sq,,,,,,,-43.55,,,,,
IncomeNetGrossProfit,-1448000,-940000,-67000,-581000,-1293000,7357000,-3985000,-6716000,-1294000,21731000,-1047000,3162000
IncomeNetGrossProfit_yy,,,,,10.72,882.80,-5867.50,-1056.91,-0.12,195.37,73.72,147.08
IncomeNetGrossProfit_sy,,,,,17.91,47.26,-37.63,56.91,53.67,-4.01,65.77,13.12
