,2009/Q1,2009/Q2,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,745645000,735363000,736262000,721233000,764580000,806401000,754960000,810073000,855642000,852598000,875292000,886106000,927060000,203745000,673069000,635174000,626718000,638156000,610644000,515551000,532662000,408540000,445233000,442911000,472709000,455326000,346645000,349818000,340372000,333811000,342406000,352222000,344283000,347778000,362815000
IncomeRevenues_yy,,,-1.26,-1.92,,,2.54,12.32,11.91,5.73,15.94,9.39,8.35,-76.10,-23.10,-28.32,-32.40,213.21,-9.27,-18.83,-15.01,-35.98,-27.09,-14.09,-11.26,11.45,-22.14,-21.02,-28.00,-3.70,-2.12,3.48,,4.18,5.96
IncomeRevenues_sy,,,-1.26,-3.94,,,-6.66,-24.65,11.91,11.54,1.90,7.60,-21.76,-6.12,-5.13,-5.06,2.10,1.05,1.47,-7.94,12.74,-14.98,-14.67,8.34,1.20,6.90,4.60,6.28,1.90,0.25,-2.12,-1.18,,18.84,11.87
IncomeRevenues_qq,,-1.38,,-2.04,6.01,5.47,-6.38,7.30,5.63,-0.36,2.66,1.24,4.62,-78.02,230.35,-5.63,-1.33,1.83,-4.31,-15.57,3.32,-23.30,8.98,-0.52,6.73,-3.68,-23.87,0.92,-2.70,,2.57,2.87,-2.25,1.02,4.32
IncomeRevenues_sq,,14.41,,1.01,-17.30,15.97,-22.90,-2.20,13.84,5.28,-27.15,3.36,-8.77,3.17,-24.18,-0.94,-2.02,12.70,-7.66,-15.57,3.32,1.10,-12.06,0.74,8.32,6.73,-19.38,2.34,-1.57,,1.50,0.20,14.10,-3.86,6.83
IncomeCostOfSales,257181000,260580000,266336000,294000000,334492000,384046000,302121000,304335000,334483000,463495000,291854000,378700000,390492000,64465000,205226000,230720000,257633000,261762000,213392000,215329000,233428000,233150000,227520000,231123000,271564000,274200000,171876000,212964000,175296000,167243000,175091000,164672000,226409000,158223000,146000000
IncomeCostOfSales_yy,,,3.56,12.83,,,13.44,3.52,,20.69,-3.40,24.44,16.75,-86.09,-29.68,-39.08,-34.02,306.05,3.98,-6.67,-9.40,-10.93,6.62,7.33,16.34,17.61,-24.46,-7.86,-35.45,-2.70,-17.78,-6.06,,-5.39,-16.61
IncomeCostOfSales_sy,,,22.24,5.56,,,-4.43,-21.51,,-6.70,-15.57,21.34,-4.75,4.57,-2.12,-17.87,3.38,-13.54,15.63,-2.34,12.97,-22.65,-8.07,7.33,6.59,3.15,12.88,20.66,2.30,-4.22,-6.61,-2.11,,29.61,25.67
IncomeCostOfSales_qq,,1.32,,10.39,13.77,14.81,-21.33,0.73,9.91,38.57,-37.03,29.76,3.11,-83.49,218.35,12.42,11.66,1.60,-18.48,0.91,8.41,-0.12,-2.41,1.58,17.50,0.97,-37.32,23.91,-17.69,,4.69,-5.95,37.49,-30.12,-7.72
IncomeCostOfSales_sq,,0.66,,-1.92,-20.33,32.86,-44.58,-19.76,7.02,30.14,-27.17,2.52,-15.63,48.28,-21.14,4.66,3.00,35.09,-15.42,-6.14,-11.12,21.75,-28.33,3.06,12.56,27.23,-33.71,2.90,-3.06,,-9.47,2.82,33.69,-21.70,1.04
