,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,8062000,6045000,7131000,7143000,6872000,6880000,6902000,6425000,8093000,7202000,7583000,7491000,10447000,7834000,9296000,9563000,10351000,9021000,9339000,9523000,14243000,9432000,11722000,9572000,12711000,9374000,11397000,10832000,16476000,11431000,12416000
IncomeRevenues_yy,,,,,-14.76,13.81,-3.21,-10.05,17.77,4.68,9.87,16.59,29.09,8.78,22.59,27.66,-0.92,15.15,0.46,-0.42,37.60,4.56,25.52,0.51,-10.76,-0.61,-2.77,13.16,29.62,21.94,8.94
IncomeRevenues_sy,,,,,9.16,13.89,10.85,3.12,9.90,4.68,9.87,8.11,14.70,10.97,14.47,16.92,7.31,8.46,7.60,8.43,8.35,12.46,10.94,9.72,7.20,12.39,11.06,12.57,13.14,7.74,14.42
IncomeRevenues_qq,,-25.02,17.97,0.17,-3.79,0.12,0.32,-6.91,25.96,-11.01,5.29,-1.21,39.46,-25.01,18.66,2.87,8.24,-12.85,3.53,1.97,49.56,-33.78,24.28,-18.34,32.79,-26.25,21.58,-4.96,52.10,-30.62,8.62
IncomeRevenues_sq,,-13.58,7.40,4.58,5.29,-7.22,5.74,-0.74,3.95,-14.07,12.16,2.66,10.72,-5.10,9.18,3.00,5.59,-7.96,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23,6.21,-1.39,4.50
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,1244000,289000,11588000,-10412000,1412000,758000,12200000,-12035000,1434000,653000,1148000,1416000,2275000,1634000,1729000,1416000,2138000,1650000,1720000,2067000,3320000,1564000,1177000,1446000,3489000,1290000,2436000,1886000,4384000,2784000,2868000
IncomeGrossProfit_yy,,,,,13.50,162.28,5.28,-15.59,1.56,-13.85,-90.59,111.77,58.65,150.23,50.61,,-6.02,0.98,-0.52,45.97,55.29,-5.21,-31.57,-30.04,5.09,-17.52,106.97,30.43,25.65,115.81,17.73
IncomeGrossProfit_sy,,,,,52.20,21.25,-14.25,-15.59,-35.32,-4.25,13.30,15.00,45.52,56.85,6.06,,42.25,36.97,46.18,9.65,-15.76,-29.56,-13.08,-9.79,5.09,3.05,-5.43,5.66,-11.86,-8.32,19.41
IncomeGrossProfit_qq,,-76.77,3909.69,-189.85,113.56,-46.32,1509.50,-198.65,111.92,-54.46,75.80,23.34,60.66,-28.18,5.81,-18.10,50.99,-22.83,4.24,20.17,60.62,-52.89,-24.74,22.85,141.29,-63.03,88.84,-22.58,132.45,-36.50,3.02
IncomeGrossProfit_sq,,-0.80,8.40,26.21,19.73,-46.32,-37.22,40.19,-16.21,-36.51,33.70,17.53,-9.35,-5.56,12.14,20.96,3.02,3.32,0.72,1.82,-22.23,-5.48,-8.16,-6.93,5.79,13.53,-25.14,31.12,-28.36,12.68,3.02
IncomeOtherOperatingIncome,32000,,,,110000,,,73000,56000,32000,75000,14000,33000,113000,83000,-5000,132000,130000,120000,32000,7000,4000,2000,7000,253000,87000,39000,139000,183000,119000,5000
IncomeOtherOperatingIncome_yy,,,,,243.75,,,,-49.09,,,-80.82,-41.07,253.12,10.67,-135.71,300.00,15.04,44.58,740.00,-94.70,-96.92,-98.33,-78.12,3514.29,2075.00,1850.00,1885.71,-27.67,36.78,-87.18
IncomeOtherOperatingIncome_sy,,,,,-40.06,,,,9.68,,,52.45,86.66,19.87,7.07,-20.08,-14.17,-18.78,-24.76,31.06,1.88,9.17,23.76,-4.70,23.89,-7.29,5.68,34.69,16.38,17.06,17.71
IncomeOtherOperatingIncome_qq,,-100.00,,,,-100.00,,,-23.29,-42.86,134.38,-81.33,135.71,242.42,-26.55,-106.02,2740.00,-1.52,-7.69,-73.33,-78.12,-42.86,-50.00,250.00,3514.29,-65.61,-55.17,256.41,31.65,-34.97,-95.80
