,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,41961000,20554000,22020000,40381000,18349000,14938000,20833000,77016000,26420000,21379000,18164000,94941000,53845000,28669000,27891000,67943000,40920000,26989000,25782000,54041000,32011000,47886000,54077000,77047000,41578000,39271000,38044000,85738000,44538000,37317000,30199000,90837000,48335000,58198000
IncomeCostOfSales,32991000,15266000,15848000,26431000,14793000,11679000,12474000,55244000,19848000,15628000,13645000,72276000,39966000,23914000,21636000,53274000,33353000,21189000,18832000,40117000,24247000,34920000,37579000,56630000,31679000,28775000,25229000,55495000,29863000,22914000,19824000,59984000,32356000,42527000
IncomeDistributionExpenses,586000,1113000,623000,801000,631000,961000,731000,753000,1010000,1125000,1055000,1787000,1201000,1711000,966000,2485000,1012000,1039000,1132000,1578000,1132000,1169000,914000,2170000,1408000,1125000,1173000,1767000,1927000,2611000,2664000,3363000,2508000,2677000
IncomeAdministrativExpenses,1566000,1895000,1811000,2639000,2206000,2420000,2379000,4111000,2627000,3477000,1896000,3887000,2925000,2779000,3896000,4306000,3832000,3810000,4283000,4449000,4112000,4680000,4843000,5646000,4635000,4682000,5456000,5719000,4801000,6530000,4535000,5366000,5087000,5915000
IncomeGrossProfit,6818000,2280000,3738000,10510000,719000,-122000,5249000,16908000,2935000,1149000,1568000,16991000,9753000,265000,1393000,7878000,2723000,951000,1535000,7897000,2520000,7117000,10741000,12601000,3856000,4689000,6186000,22757000,7947000,5262000,3176000,22124000,8384000,7079000
IncomeOtherOperatingIncome,66000,388000,304000,234000,101000,234000,76000,307000,83000,162000,78000,110000,101000,106000,132000,155000,216000,296000,420000,455000,352000,569000,176000,389000,209000,765000,265000,-34000,560000,148000,122000,334000,158000,220000
IncomeOtherOperatingCosts,115000,52000,82000,257000,74000,78000,111000,239000,19000,65000,88000,133000,123000,-10000,93000,102000,192000,488000,150000,966000,90000,488000,70000,123000,106000,113000,77000,265000,45000,216000,52000,577000,190000,118000
IncomeEBIT,6769000,2616000,3960000,10487000,746000,34000,5214000,16976000,2999000,1246000,1558000,16968000,9731000,381000,1432000,7931000,2747000,759000,1805000,7386000,2782000,7198000,10847000,12867000,3959000,5341000,6374000,22458000,8462000,5194000,3246000,21881000,8352000,7181000
IncomeFinanceIncome,11000,36000,130000,123000,243000,860000,596000,656000,471000,357000,278000,156000,88000,120000,63000,125000,23000,81000,-78000,379000,100000,73000,109000,143000,96000,93000,56000,125000,41000,42000,19000,88000,60000,240000
IncomeFinanceCosts,272000,269000,536000,1200000,823000,654000,741000,761000,383000,279000,198000,144000,205000,299000,450000,1001000,945000,361000,469000,1085000,592000,2000,522000,633000,403000,421000,381000,492000,351000,426000,359000,755000,370000,561000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,6508000,2383000,3554000,9410000,166000,240000,5069000,16871000,3087000,1324000,1638000,16980000,9614000,202000,1045000,7055000,1825000,479000,1258000,6680000,2290000,7269000,10434000,12377000,3652000,5013000,6049000,22091000,8152000,4810000,2906000,21214000,8042000,6860000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,6508000,2383000,3554000,9410000,166000,240000,5069000,16871000,3087000,1324000,1638000,16980000,9614000,202000,1045000,7055000,1825000,479000,1258000,6680000,2290000,7269000,10434000,12377000,3652000,5013000,6049000,22091000,8152000,4810000,2906000,21214000,8042000,6860000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,5145000,1861000,3081000,7172000,-322000,523000,4332000,13125000,2234000,871000,1487000,13375000,7604000,-94000,1074000,6520000,1476000,374000,944000,5378000,1792000,6055000,8535000,9417000,2802000,3837000,4913000,17787000,6651000,3800000,2377000,17481000,6481000,5577000
IncomeShareholderNetProfit,5145000,1861000,2781000,6723000,-336000,121000,4189000,12504000,2147000,635000,635000,13331000,7612000,-182000,1152000,6347000,1527000,-56000,955000,5247000,1753000,5705000,8291000,9154000,2707000,3674000,4280000,17048000,6227000,3402000,2124000,16376000,6275000,4744000
BalanceNoncurrentAssets,,25885000,32039000,31479000,31366000,47295000,52313000,56459000,75272000,84099000,97236000,110612000,105407000,105414000,104926000,104351000,104404000,102042000,102027000,102648000,106213000,107789000,114264000,114125000,115383000,113098000,113484000,114112000,117164000,116739000,117740000,,6000,5712000
BalanceIntangibleAssets,5727000,5712000,5698000,5687000,5677000,5648000,5650000,5651000,5661000,6039000,6016000,5972000,5954000,5907000,5862000,5836000,6875000,6853000,6835000,6827000,6810000,6819000,6803000,6797000,6781000,6785000,6777000,6850000,,23768000,26250000,25673000,25561000,41578000
BalanceProperty,46589000,50765000,69601000,78433000,91576000,104936000,99083000,99120000,98378000,97715000,96769000,96161000,96173000,95689000,97281000,98725000,105345000,105492000,106726000,104127000,104673000,105538000,108761000,108350000,109212000,,,,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,4000,6000,9000,12000,14000,17000,20000,20000,24000,26000,,1596000,52000,52000,52000,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,201000,201000,201000,201000,,515000,25000,27000,41000,19000,37000,17000,23000,16000,9000,15000,285000,278000,576000,682000,1728000,19000,14000,78000
BalanceOtherNoncurrentAssets,2070000,2217000,2078000,1806000,1617000,1947000,1789000,1566000,1618000,1612000,1678000,,190898000,229633000,271015000,302134000,294046000,282094000,302151000,250550000,242476000,240618000,249174000,217207000,206416000,237698000,261127000,268639000,255090000,265425000,287989000,261971000,263417000,255959000
BalanceCurrentAssets,267720000,242738000,255552000,265389000,305943000,308537000,329351000,358950000,,175220000,197862000,201925000,230138000,227143000,229868000,244927000,226515000,204340000,204990000,220963000,200589000,185491000,193507000,208475000,211902000,212864000,212395000,220848000,213440000,209553000,212139000,217670000,210110000,211208000
BalanceInventory,230799000,259115000,241838000,253779000,272596000,,8183000,5192000,6644000,8276000,5947000,6349000,8718000,7860000,7940000,16238000,9633000,6839000,4090000,8145000,9052000,8446000,13042000,11877000,17055000,13482000,14624000,9274000,13251000,11144000,10064000,9770000,15118000,24196000
BalanceCurrentReceivables,24241000,26142000,,,,1637000,1656000,1677000,,0,,,,2661000,4462000,10747000,17633000,9576000,15232000,12919000,15196000,7821000,13557000,22438000,9918000,3975000,10737000,16523000,20788000,28674000,30500000,46766000,,7495000
