,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,5779000,10687000,4018000,6044000,4318000,5351000,2847000,3232000,3218000,7386000,2862000,3013000,2868000,3752000,2479000,2864000,3143000,3004000,5837000,1901000,2895000,5195000,8972000,5175000,3656000,4108000,7587000,-7583000,14159000,3544000,82000,6000,25000,84000,61000,-1000,169000,100000,21000,198000
IncomeCostOfSales,4909000,4577000,2685000,3939000,4298000,-919000,1137000,1174000,1510000,202000,979000,1965000,946000,2889000,1771000,1428000,2165000,2200000,3657000,1186000,1640000,4809000,5891000,4213000,2914000,3212000,5358000,-5318000,10195000,2791000,19000,19000,19000,20000,29000,21000,20000,21000,21000,20000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,917000,0,,,2431000,2146000,659000,686000,604000,1110000,3586000,654000,,,,,,,,3590000,6282000,1672000,2209000
IncomeAdministrativExpenses,307000,7941000,1322000,2133000,1776000,5933000,1386000,2012000,1110000,1847000,1176000,2958000,1876000,-1560000,2768000,963000,1793000,-1745000,1422000,801000,911000,1060000,857000,150000,1756000,878000,617000,660000,590000,606000,478000,603000,485000,601000,492000,701000,-2720000,-172000,-339000,-104000
IncomeGrossProfit,-287000,-1671000,388000,-75000,-68000,1251000,497000,-964000,812000,-984000,-468000,-1522000,-898000,1447000,-588000,-248000,-538000,-300000,-487000,-498000,-855000,-768000,262000,-1305000,-1378000,-779000,-554000,-673000,-584000,-542000,-446000,-625000,-336000,-522000,-492000,-523000,103000,-567000,262000,257000
IncomeOtherOperatingIncome,2283000,-1056000,409000,641000,6391000,3016000,2184000,2367000,2957000,1009000,2684000,1728000,2133000,2604000,2604000,7816000,979000,5860000,3607000,22000,649000,633000,31000,-9000,196000,64000,,1000,4000,9000,293000,-607000,215000,303000,2905000,-2946000,393000,479000,576000,1259000
IncomeOtherOperatingCosts,599000,648000,585000,723000,626000,-533000,2000,2335000,0,1191000,267000,514000,62000,12000,7000,629000,842000,-824000,613000,349000,1000,0,7000,22000,0,0,,-2910000,-132000,-292000,-150000,-909000,219000,404000,87000,5747000,3008000,2082000,755000,3184000
IncomeEBIT,-698000,1590000,739000,1233000,1716000,2016000,6377000,174000,5046000,3058000,-488000,-213000,-764000,-549000,-490000,-1795000,-1064000,-554000,-674000,-584000,-549000,-446000,-646000,-332000,-513000,-492000,-523000,564000,410000,17000,20000,1000,359000,362000,97000,160000,-7000,2586000,512000,6926000
IncomeFinanceIncome,-2709000,293000,66000,110000,2841000,29000,179000,86000,58000,51000,120000,309000,37000,25000,2367000,133000,368000,84000,-42000,482000,2165000,-30000,226000,3000,-22000,1130000,1103000,463000,1372000,242000,177000,171000,17000,203000,395000,198000,-87000,278000,675000,19000
IncomeFinanceCosts,-115000,170000,-13000,7000,2378000,39000,1687000,-61000,4200000,55000,93000,94000,1693000,83000,3858000,-297000,157000,141000,1577000,3000,1844000,40000,2663000,58000,13445000,618000,234000,,,,,,,,,,-706000,-268000,-645000,204000
