,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1358000,37726000,24113000,17165000,14023000,15498000,11470000,18469000,13233000,31093000,14531000,15087000,14648000,18579000,16950000,25947000,22892000,22230000,17263000,22272000,20131000,23663000,13673000,16393000,16641000,32119000,19814000,37362000,38237000,42441000,39385000,41155000
IncomeRevenues_yy,,,,,932.62,-58.92,-52.43,7.60,-5.63,100.63,26.69,-18.31,10.69,-40.25,16.65,71.98,56.28,19.65,1.85,-14.16,-12.06,6.45,-20.80,-26.40,-17.34,35.74,44.91,127.91,129.78,32.14,98.77,10.15
IncomeRevenues_sy,,,,,11.91,11.54,1.90,7.60,-21.76,-6.12,-5.13,-5.06,2.10,1.05,1.47,-7.94,12.74,-14.98,-14.67,8.34,1.20,6.90,4.60,6.28,1.90,12.72,0.25,-2.12,-1.18,5.95,18.84,11.87
IncomeRevenues_qq,,2678.04,-36.08,-28.81,-18.30,10.52,-25.99,61.02,-28.35,134.97,-53.27,3.83,-2.91,26.84,-8.77,53.08,-11.77,-2.89,-22.34,29.02,-9.61,17.55,-42.22,19.89,1.51,93.01,-38.31,88.56,2.34,10.99,-7.20,4.49
IncomeRevenues_sq,,15.97,-22.90,-2.20,13.84,5.28,-27.15,3.36,-8.77,3.17,-24.18,-0.94,-2.02,12.70,-7.66,-15.57,3.32,1.10,-12.06,0.74,8.32,6.73,-19.38,2.34,-1.57,29.39,-31.70,1.50,0.20,14.10,-3.86,6.83
IncomeCostOfSales,1150000,29621000,16537000,12197000,8356000,10910000,8051000,13672000,8512000,24610000,9586000,10468000,10008000,13520000,12201000,19556000,17174000,16857000,12081000,15961000,14384000,17375000,8932000,11493000,11141000,25389000,14399000,28387000,27146000,34555000,30873000,30865000
IncomeCostOfSales_yy,,,,,626.61,-63.17,-51.32,12.09,1.87,125.57,19.07,-23.43,17.58,-45.06,27.28,86.82,71.60,24.68,-0.98,-18.38,-16.25,3.07,-26.07,-27.99,-22.55,46.12,61.21,146.99,143.66,36.10,114.41,8.73
IncomeCostOfSales_sy,,,,,0.64,-6.70,-15.57,21.34,-4.75,4.57,-2.12,-17.87,3.38,-13.54,15.63,-2.34,12.97,-22.65,-8.07,7.33,6.59,3.15,12.88,20.66,2.30,16.37,-4.22,-6.61,-2.11,22.79,29.61,25.67
IncomeCostOfSales_qq,,2475.72,-44.17,-26.24,-31.49,30.56,-26.21,69.82,-37.74,189.12,-61.05,9.20,-4.39,35.09,-9.76,60.28,-12.18,-1.85,-28.33,32.12,-9.88,20.79,-48.59,28.67,-3.06,127.89,-43.29,97.15,-4.37,27.29,-10.66,-0.03
IncomeCostOfSales_sq,,32.86,-44.58,-19.76,7.02,30.14,-27.17,2.52,-15.63,48.28,-21.14,4.66,3.00,35.09,-15.42,-6.14,-11.12,21.75,-28.33,3.06,12.56,27.23,-33.71,2.90,-3.06,50.30,-34.28,-9.47,2.82,33.69,-21.70,1.04
IncomeDistributionExpenses,53000,142000,1130000,1584000,1483000,1389000,815000,1044000,1037000,1116000,780000,826000,845000,868000,661000,1009000,813000,974000,699000,869000,1140000,1028000,790000,1147000,950000,,,,3514000,,,
IncomeDistributionExpenses_yy,,,,,2698.11,880.86,-27.88,-34.09,-30.07,-19.65,-4.29,-20.88,-18.51,-22.22,-15.26,22.15,-3.79,12.21,5.75,-13.88,40.22,5.54,13.02,31.99,-16.67,-100.00,-100.00,-100.00,269.89,,,
IncomeDistributionExpenses_sy,,,,,17.34,12.94,15.52,-12.77,-16.64,-1.02,-14.50,-14.12,-5.34,-11.86,7.74,1.44,7.69,-7.24,3.22,5.13,-1.53,5.54,12.98,28.32,6.22,0.65,18.53,-3.42,19.50,,,
IncomeDistributionExpenses_qq,,167.19,697.97,40.18,-6.38,-6.34,-41.32,28.10,-0.67,7.62,-30.11,5.90,2.30,2.72,-23.85,52.65,-19.43,19.80,-28.23,24.32,31.19,-9.82,-23.15,45.19,-17.18,-100.00,,,,-100.00,,
IncomeDistributionExpenses_sq,,21.70,-21.22,21.57,-5.58,12.04,-22.52,7.95,-5.02,24.72,-32.79,5.90,12.81,15.87,-25.48,6.59,3.06,19.80,-28.26,7.80,-10.70,12.06,-18.56,23.49,-4.66,26.06,,,,22.15,,
IncomeAdministrativExpenses,538000,780000,1135000,1342000,544000,1264000,1039000,1224000,1047000,1336000,1334000,1348000,1104000,1449000,1131000,1471000,1442000,1593000,1361000,1594000,1441000,1761000,1342000,1288000,1296000,,,,4238000,,,
IncomeAdministrativExpenses_yy,,,,,1.12,62.15,-8.46,-8.79,92.46,5.70,28.39,10.13,5.44,8.46,-15.22,9.12,30.62,9.94,20.34,8.36,-0.07,10.55,-1.40,-19.20,-10.06,-100.00,-100.00,-100.00,227.01,,,
IncomeAdministrativExpenses_sy,,,,,12.64,1.46,-4.86,-1.48,-20.30,-1.89,-7.14,-6.91,1.58,-3.62,3.66,0.68,3.55,9.94,0.61,3.95,-0.07,10.66,2.95,-4.05,2.17,2.84,5.68,8.12,11.50,,,
IncomeAdministrativExpenses_qq,,44.89,45.60,18.24,-59.46,132.35,-17.80,17.81,-14.46,27.60,-0.15,1.05,-18.10,31.25,-21.95,30.06,-1.97,10.47,-14.56,17.12,-9.60,22.21,-23.79,-4.02,0.62,-100.00,,,,-100.00,,
IncomeAdministrativExpenses_sq,,32.74,-10.42,1.53,4.01,9.93,-19.06,3.00,-14.46,36.06,-23.75,1.45,-2.55,13.08,-15.81,-1.30,-3.19,10.47,-9.95,6.66,-4.74,22.84,-19.49,1.01,-1.25,18.38,,,,16.79,,
IncomeGrossProfit,-383000,7184000,5311000,2042000,3640000,1935000,1565000,2529000,2637000,4031000,2831000,2445000,2691000,2742000,2957000,3911000,3463000,2806000,3122000,3848000,3166000,3499000,2609000,2465000,3254000,13543000,5415000,8975000,3339000,15638000,8512000,10290000
IncomeGrossProfit_yy,,,,,1050.39,-73.06,-70.53,23.85,-27.55,108.32,80.89,-3.32,2.05,-31.98,4.45,59.96,28.69,2.33,5.58,-1.61,-8.58,24.70,-16.43,-35.94,2.78,287.05,107.55,264.10,2.61,15.47,57.19,14.65
IncomeGrossProfit_sy,,,,,26.06,54.98,12.36,-9.72,-11.25,-76.32,7.91,27.59,1.08,30.43,-9.34,-18.41,6.56,15.32,20.08,15.36,-1.64,0.12,10.04,25.95,16.95,59.25,21.26,12.22,2.61,-2.83,23.07,25.24
IncomeGrossProfit_qq,,1975.66,-26.07,-61.55,78.26,-46.84,-19.12,61.60,4.27,52.86,-29.77,-13.63,10.06,1.90,7.84,32.26,-11.45,-18.97,11.26,23.25,-17.72,10.52,-25.44,-5.52,32.01,316.20,-60.02,65.74,-62.80,368.34,-45.57,20.89
IncomeGrossProfit_sq,,26.49,-11.28,4.07,42.60,7.00,-59.83,9.73,4.27,-5.52,-4.24,5.88,-8.52,-15.94,10.01,0.62,8.56,0.18,-11.96,-3.03,13.61,0.30,-3.51,3.36,3.18,106.69,-25.26,5.62,-8.98,47.44,2.46,6.72
IncomeOtherOperatingIncome,41000,9929000,80000,212000,87000,237000,193000,79000,61000,6614000,219000,1676000,1151000,2149000,127000,564000,48000,943000,146000,131000,-255000,333000,277000,116000,192000,19430000,1202000,598000,-1106000,3593000,912000,382000
IncomeOtherOperatingIncome_yy,,,,,112.20,-97.61,141.25,-62.74,-29.89,2690.72,13.47,2021.52,1786.89,-67.51,-42.01,-66.35,-95.83,-56.12,14.96,-76.77,-631.25,-64.69,89.73,-11.45,175.29,5734.83,333.94,415.52,-676.04,-81.51,-24.13,-36.12
