,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,7984000,8023000,7478000,6124000,5860000,6243000,5775000,4855000,5788000,6349000,6701000,5374000,75652000,72562000,68733000,-212714000,71774000,95946000,104814000,118857000,112334000,134516000,163684000,195163000,163863000,237131000,243272000,207482000,202304000,262226000,308609000,264586000,242461000,353716000,353324000,333610000,309624000,380544000,386797000,341904000,276216000,293894000
IncomeCostOfSales,6166000,6390000,5895000,4855000,4798000,5010000,4509000,3915000,4739000,5188000,5211000,4358000,3578000,,,,,,,,,,,,,,,,,,,,,,,,,202000,209000,231000,239000,230000
IncomeDistributionExpenses,229000,221000,275000,256000,294000,327000,405000,148000,,,,,,,,,,,,,,,,,,,,,,,,,849000,824000,787000,747000,836000,748000,818000,650000,888000,984000
IncomeAdministrativExpenses,1019000,1208000,1259000,,,,,,,,,,,,,,,,,,,,,,,,,767000,600000,565000,283000,-4000,256000,227000,15000,-95000,-117000,144000,-597000,1760000,2292000,3975000
IncomeGrossProfit,-8779000,3334000,3706000,4810000,2756000,6052000,5092000,2103000,11450000,9804000,10031000,14163000,12202000,12604000,17432000,19323000,14272000,15922000,20205000,22063000,21362000,17899000,21121000,23053000,32804000,22287000,31889000,12000,9000,11000,82000,34000,282000,28000,-44000,21000,67000,41000,93000,171000,231000,79000
IncomeOtherOperatingIncome,-341000,882000,-113000,198000,-380000,689000,-97000,1738000,387000,130000,1296000,172000,1818000,165000,190000,59000,1820000,466000,730000,578000,1650000,1114000,86000,1290000,1336000,547000,1808000,2000,54000,4000,188000,45000,50000,26000,264000,20000,63000,21000,393000,121000,108000,84000
IncomeOtherOperatingCosts,140000,126000,105000,159000,456000,1269000,-274000,805000,2007000,96000,354000,366000,378000,257000,1600000,2518000,-1808000,594000,677000,676000,1747000,776000,1193000,1094000,1831000,645000,1943000,777000,555000,572000,177000,-15000,488000,229000,-293000,-94000,-113000,164000,-897000,1810000,2415000,3970000
IncomeEBIT,-9260000,4090000,3488000,4849000,1920000,5472000,5269000,3036000,9830000,9838000,10973000,13969000,13642000,12512000,16022000,16864000,17900000,15794000,20258000,21965000,21265000,18237000,20014000,23249000,32309000,22189000,31754000,30000,88000,15000,302000,17000,2152000,311000,2200000,2120000,1261000,333000,5378000,11000,10000,1316000
IncomeFinanceIncome,-5753000,425000,128000,439000,6534000,663000,3083000,2237000,4000000,858000,1098000,1346000,5301000,505000,693000,1061000,5430000,318000,543000,666000,514000,7000,627000,-624000,939000,1000,1000,32000,80000,45000,236000,82000,-7000,1918000,-1854000,45000,70000,107000,143000,1302000,1407000,2370000
IncomeFinanceCosts,20463000,2586000,2726000,3325000,5317000,3149000,3885000,2772000,7477000,3649000,4508000,4908000,4326000,3164000,7722000,3682000,4358000,5224000,6147000,4674000,7322000,4808000,6704000,5994000,8011000,10377000,10588000,,,,0,,,,,,,0,,,,
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,775000,563000,542000,243000,-80000,2647000,-1378000,3761000,1981000,1078000,390000,4338000,519000,1018000,2916000
IncomeNetGrossProfit,-35476000,1929000,890000,1963000,3137000,2986000,4467000,2501000,6353000,7047000,7563000,10407000,14617000,9853000,8993000,14243000,18972000,10888000,14654000,17957000,14457000,13436000,13937000,16631000,25237000,11813000,21167000,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,775000,563000,542000,243000,-80000,2647000,-1378000,3761000,1981000,1078000,390000,4338000,519000,1018000,2916000
IncomeBeforeTaxProfit,-35476000,1929000,890000,1963000,3137000,2986000,4467000,2501000,6353000,7047000,7563000,10407000,14617000,9853000,8993000,14243000,18972000,10888000,14654000,17957000,14457000,13436000,13937000,16631000,25237000,11813000,21167000,,,,,,,,,,,,-157000,,,-151000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,453000,464000,488000,246000,-95000,2187000,-1097000,2839000,1576000,773000,294000,3223000,215000,844000,2568000,-29892000,1564000,66000
IncomeNetProfit,1731000,3134000,4269000,2937000,2719000,5372000,6031000,5553000,8346000,11843000,8755000,6509000,10892000,15268000,9623000,10846000,14311000,11396000,10413000,11184000,13299000,18856000,10067000,17070000,455000,463000,488000,242000,-95000,2187000,-1097000,2839000,1576000,776000,327000,3187000,215000,844000,2568000,-29910000,1564000,66000
IncomeShareholderNetProfit,1731000,3134000,4269000,2937000,2719000,5372000,6031000,5553000,8346000,11843000,8755000,6509000,10892000,15268000,9623000,10846000,14311000,11396000,10413000,11184000,13299000,18856000,10067000,17070000,,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,8507000,8680000,9368000,9183000,6982000,11395000,10574000,14058000,13291000,139448000,138649000,13950000,164410000,161073000,168393000,166543000,170828000,179985000,177504000,177657000,176600000,178169000,172622000,174232000,180029000,178182000,185344000,186173000,193708000,195651000,206990000,208264000,202737000,215233000,556585000,550840000,536891000,,3000,0,0,0
BalanceIntangibleAssets,,81000,104000,172000,163000,40365000,40309000,127000,48685000,48532000,48335000,48217000,48128000,48010000,47904000,47859000,48273000,48096000,48225000,48048000,47857000,47725000,47624000,47571000,47541000,47519000,47487000,47528000,39313000,47468000,272265000,272219000,263996000,6584000,6741000,7048000,6878000,6827000,10749000,10332000,10440000,7158000
BalanceProperty,98140000,97294000,320000,100802000,98532000,101961000,99746000,102560000,107745000,107166000,108860000,109040000,112098000,121440000,123183000,129019000,127199000,134994000,137278000,144690000,146526000,157818000,159394000,163424000,166274000,282573000,277371000,272895000,,,,,,,,,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710000,1727000,2140000,2124000,0,,427000,0,3320000,5969000,0,0,,12905000
BalanceNoncurrInvestments,13380000,12470000,15950000,16270000,17540000,21561000,18000000,17550000,17000000,15490000,,,,,,,,,,,,213000,209000,180000,181000,155000,138000,138000,126000,1000,943000,1046000,598000,1543000,1539000,2147000,2310000,2600000,2669000,4434000,3388000,2287000
BalanceOtherNoncurrentAssets,2485000,2957000,3001000,3153000,3258000,2726000,1324000,1477000,1606000,1685000,1342000,1491000,1747000,1250000,11125000,10827000,9283000,9503000,9288000,11474000,12446000,8684000,4466000,114869000,115486000,6781000,163819000,169491000,193577000,191476000,207958000,235279000,248952000,249685000,266814000,271046000,325541000,351032000,375706000,443239000,424928000,433406000
BalanceCurrentAssets,557436000,587634000,595775000,642680000,663423000,688380000,512227000,524315000,582056000,4986000,4551000,4388000,4207000,3447000,3494000,3442000,3759000,1139000,55623000,56777000,14000,68954000,72748000,74393000,77833000,74025000,67861000,63441000,66670000,66897000,65919000,68018000,64647000,49512000,71178000,80889000,95795000,93754000,81421000,84252000,88809000,93183000
BalanceInventory,89423000,126931000,121708000,123123000,3775000,3859000,3222000,3334000,4230000,5852000,7607000,3980000,2232000,57250000,54153000,6662000,94120000,92751000,112177000,106147000,133449000,167087000,185028000,182307000,199207000,204419000,255182000,284293000,324694000,371130000,341083000,336993000,462085000,505646000,510272000,552961000,569444000,598291000,384314000,397845000,452245000,1881000
BalanceCurrentReceivables,,,,,0,,,,,1258000,1268000,,0,3111000,6657000,6806000,,,,,,,,,,,,,,,,,,,,2068000,1645000,1622000,1399000,2074000,1114000,682000
BalanceCurrentInvestments,1079000,308000,2970000,61000,263000,147000,33000,217000,104000,59000,216000,136000,323000,451000,147000,205000,249000,331000,2690000,80000,1167000,279000,772000,197000,189000,252000,366000,2440000,4979000,483000,349000,28000,340000,212000,54000,283000,263000,16000,430000,318000,44000,482000
BalanceCash,734000,317000,473000,380000,272000,267000,572000,387000,257000,2194000,1887000,1251000,600000,266000,538000,430000,288000,479000,713000,607000,414000,616000,2322000,1709000,,0,,0,0,5254000,4822000,8368000,9710000,10404000,,0,,,,,,
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,19632000,19507000,18651000,18686000,21524000,27691000,31388000,32452000,28161000,254317000,254135000,20731000,328229000,330564000,361970000,358019000,378786000,415264000,426456000,427342000,443414000,449215000
BalanceAssetsForSale,498163000,525264000,555735000,621421000,610272000,619579000,751144000,783285000,802765000,850944000,866160000,903613000,1068812000,1075155000,1118947000,12830000,13292000,14029000,13937000,16169000,21001000,23075000,23256000,22325000,98616000,99460000,12928000,128725000,127842000,136156000,140684000,144652000,148712000,153114000,158780000,163887000,171011000,178394000,187149000,193659000,204550000,219819000
BalanceTotalAssets,229442000,240288000,254598000,265995000,276408000,276795000,300891000,319747000,329814000,335553000,735000,735000,738000,738000,738000,738000,738000,738000,738000,738000,738000,738000,2167000,2167000,6259000,6259000,6259000,6259000,6259000,6259000,6259000,6259000,6259000,6259000,6259000,6259000,6259000,6259000,6259000,6259000,6259000,6259000
BalanceCapital,6259000,6259000,6259000,6259000,6259000,,,,,,,,,,,,,-12000000,0,,,79645000,79426000,,,,,,,,,,,,,,,,,,,
BalanceShareCapital,,,5622000,7725000,7725000,7727000,9675000,11706000,12138000,16532000,9114000,87430000,0,,33138000,38810000,2264000,4832000,94524000,6122000,7464000,,,,,,,,,,,,,,,,17000,18000,16000,0,,
BalanceOwnShares,821000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723000,1660000,1414000,1377000,1737000,2578000,3153000,3453000,1595000,69809000,68738000
BalanceReserve,714000,85081000,99770000,62652000,54880000,56633000,79437000,98934000,96328000,140418000,81279000,126527000,150425000,159900000,178751000,125178000,123142000,164792000,165161000,124614000,129971000,163951000,140669000,174812000,299779000,264088000,,,,,,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,755000,692000,284000,265000,204000,104000,99000,125000,21000,58725000,57631000,116000,73093000,87501000,48999000,42069000
BalanceNoncurrentLiabilities,43375000,65954000,86950000,84467000,128402000,69537000,95535000,118079000,126248000,144674000,90557000,90638000,131200000,131286000,90677000,96562000,130543000,104965000,134898000,260592000,228022000,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
