,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,59873000,62613000,64029000,62725000,68176000,77542000,74573000,70233000,91240000,80538000,90385000,80979000,92609000,95706000
IncomeRevenues_yy,,,,,13.87,23.84,16.47,11.97,33.83,3.86,21.20,15.30,1.50,18.83
IncomeRevenues_sy,,,,,10.01,14.96,11.56,9.87,3.17,2.90,3.44,6.10,1.89,9.01
IncomeRevenues_qq,,4.58,2.26,-2.04,8.69,13.74,-3.83,-5.82,29.91,-11.73,12.23,-10.41,14.36,3.34
IncomeRevenues_sq,,6.93,6.29,-8.57,7.08,13.74,0.31,-7.90,5.60,5.14,8.57,-11.48,9.36,9.24
IncomeCostOfSales,50340000,52660000,53431000,51559000,57512000,65973000,61632000,58688000,77601000,67455000,77018000,68735000,79772000,83902000
IncomeCostOfSales_yy,,,,,14.25,25.28,15.35,13.83,34.93,2.25,24.96,17.12,2.80,24.38
IncomeCostOfSales_sy,,,,,6.58,5.32,6.88,5.28,2.68,3.54,11.44,10.30,5.62,12.84
IncomeCostOfSales_qq,,4.61,1.46,-3.50,11.55,14.71,-6.58,-4.78,32.23,-13.07,14.18,-10.75,16.06,5.18
IncomeCostOfSales_sq,,8.01,1.28,-12.74,5.82,14.95,-0.54,-14.56,10.00,5.33,10.85,-14.97,9.31,7.10
IncomeDistributionExpenses,5295000,6061000,5216000,7193000,6060000,6487000,7398000,7144000,8414000,8610000,8693000,8262000,9717000,10271000
IncomeDistributionExpenses_yy,,,,,14.45,7.03,41.83,-0.68,38.84,32.73,17.50,15.65,15.49,19.29
IncomeDistributionExpenses_sy,,,,,14.45,12.78,9.80,18.56,7.28,4.28,13.09,2.44,4.06,5.09
IncomeDistributionExpenses_qq,,14.47,-13.94,37.90,-15.75,7.05,14.04,-3.43,17.78,2.33,0.96,-4.96,17.61,5.70
IncomeDistributionExpenses_sq,,12.10,1.26,-0.76,7.12,7.00,-2.86,2.78,-10.37,6.46,-2.30,-4.96,-0.95,7.39
IncomeAdministrativExpenses,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,
IncomeGrossProfit,4238000,3892000,5382000,3973000,4604000,5082000,5543000,4401000,5225000,4473000,4674000,3982000,3120000,1533000
IncomeGrossProfit_yy,,,,,8.64,30.58,2.99,10.77,13.49,-11.98,-15.68,-9.52,-40.29,-65.73
