,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeRevenues,66192000,62872000,78232000,131061000,102048000,89079000,123368000,204850000,146504000,163497000,167243000,281407000,171815000,186010000,186996000,266121000,178500000,194835000,291319000,213532000,214537000,233132000,317935000,256289000,220841000,242528000,400734000,380866000,358301000,424858000,465458000,466944000,477377000,530776000,663177000,575069000,576668000,457600000,615919000,459670000,474010000,510522000,568369000,459809000,473358000,481200000,639153000,451114000,465228000
IncomeRevenues_yy,,,,,54.17,41.68,57.70,56.30,43.56,83.54,35.56,37.37,17.28,13.77,11.81,-5.43,3.89,4.74,55.79,-19.76,20.19,19.66,9.14,20.02,2.94,4.03,26.04,48.61,62.24,75.18,16.15,22.60,33.23,24.93,42.48,23.16,20.80,-13.79,-7.13,-20.07,-17.80,11.57,-7.72,0.03,-0.14,-5.74,12.45,-1.89,-1.72
IncomeRevenues_sy,,,,,72.74,40.22,49.59,35.60,22.38,20.50,24.13,9.96,4.73,10.39,2.92,0.90,3.89,-1.89,13.13,9.07,13.69,12.16,3.42,13.32,12.09,12.84,18.92,16.33,1.74,7.05,6.00,8.05,13.82,11.45,11.00,10.13,17.47,16.22,7.92,13.50,15.27,11.03,12.22,10.94,3.71,2.71,13.28,3.30,0.28
IncomeRevenues_qq,,-5.02,24.43,67.53,-22.14,-12.71,38.49,66.05,-28.48,11.60,2.29,68.26,-38.94,8.26,0.53,42.31,-32.93,9.15,49.52,-26.70,0.47,8.67,36.38,-19.39,-13.83,9.82,65.23,-4.96,-5.92,18.58,9.56,0.32,2.23,11.19,24.94,-13.29,0.28,-20.65,34.60,-25.37,3.12,7.70,11.33,-19.10,2.95,1.66,32.82,-29.42,3.13
IncomeRevenues_sq,,12.75,16.65,41.24,-2.34,12.24,8.54,24.60,-19.51,5.44,10.45,16.36,-19.17,5.72,-6.50,20.86,-18.63,12.26,8.48,9.67,-18.97,22.45,2.72,23.39,-14.84,11.77,3.64,8.09,-20.17,18.91,-1.46,15.10,-16.70,18.19,4.60,10.24,-12.68,18.01,-2.16,16.32,-13.90,16.79,-2.37,7.05,-14.88,17.54,-0.20,14.40,-22.04
IncomeCostOfSales,59843000,56322000,70376000,114716000,91344000,77724000,109457000,177927000,127675000,138126000,145861000,245670000,148002000,163199000,163946000,235336000,155581000,168050000,261155000,192765000,194280000,204078000,269132000,231025000,201784000,217596000,361464000,345493000,327144000,392443000,426050000,430497000,443363000,489670000,604818000,538090000,535351000,421852000,564256000,408409000,433410000,461137000,511048000,412762000,423435000,433184000,573493000,393415000,415318000
IncomeCostOfSales_yy,,,,,52.64,38.00,55.53,55.10,39.77,77.71,33.26,38.07,15.92,18.15,12.40,-4.21,5.12,2.97,59.29,-18.09,24.87,21.44,3.05,19.85,3.86,6.62,34.31,49.55,62.13,80.35,17.87,24.60,35.53,24.77,41.96,24.99,20.75,-13.85,-6.71,-24.10,-19.04,9.31,-9.43,1.07,-2.30,-6.06,12.22,-4.69,-1.92
IncomeCostOfSales_sy,,,,,56.58,31.87,55.53,24.74,21.93,39.58,22.12,23.29,16.84,12.88,7.38,-4.50,5.12,-4.76,11.60,0.45,9.09,7.75,-6.46,16.39,8.54,17.02,26.60,19.62,-1.86,9.30,-2.98,1.74,9.33,11.04,16.00,15.20,15.97,31.62,14.76,14.30,16.56,9.72,8.42,11.96,16.41,9.28,18.67,6.86,5.61
IncomeCostOfSales_qq,,-5.88,24.95,63.00,-20.37,-14.91,40.83,62.55,-28.24,8.19,5.60,68.43,-39.76,10.27,0.46,43.54,-33.89,8.01,55.40,-26.19,0.79,5.04,31.88,-14.16,-12.66,7.84,66.12,-4.42,-5.31,19.96,8.56,1.04,2.99,10.44,23.52,-11.03,-0.51,-21.20,33.76,-27.62,6.12,6.40,10.82,-19.23,2.59,2.30,32.39,-31.40,5.57
IncomeCostOfSales_sq,,-4.80,22.71,29.06,3.63,-11.64,18.64,11.08,-11.42,-8.06,11.12,3.32,-6.07,-3.22,1.75,21.02,-4.50,5.79,14.58,-7.14,-5.22,-5.69,7.60,14.72,-4.62,2.07,17.66,3.70,-15.50,14.89,1.36,5.63,-11.32,10.44,6.04,8.38,-11.00,11.40,-0.24,12.08,-11.80,11.94,2.11,14.73,-12.21,11.66,5.21,18.86,-15.59
IncomeDistributionExpenses,4048000,4612000,5096000,7864000,7863000,7834000,9224000,12317000,11497000,15549000,16642000,20193000,20412000,18107000,19568000,21043000,18235000,19568000,22379000,20125000,17475000,18020000,25698000,22077000,17808000,17267000,24503000,23336000,21047000,22338000,22794000,23759000,22034000,25899000,34075000,25219000,27485000,25933000,37007000,45216000,30133000,40893000,41086000,32728000,39587000,37398000,49672000,51580000,41828000
IncomeDistributionExpenses_yy,,,,,94.24,69.86,81.00,56.63,46.22,98.48,80.42,63.94,77.54,16.45,17.58,4.21,-10.67,8.07,14.37,-4.36,-4.17,-7.91,14.83,9.70,1.91,-4.18,-4.65,5.70,18.19,29.37,-6.97,1.81,4.69,15.94,49.49,6.15,24.74,0.13,8.60,79.29,9.63,57.69,11.02,-27.62,31.37,-8.55,20.90,57.60,5.66
IncomeDistributionExpenses_sy,,,,,84.88,47.25,76.06,56.63,42.37,50.44,37.04,36.84,39.52,17.54,17.95,2.44,-1.88,3.14,8.40,7.88,9.16,9.67,6.90,6.31,15.98,18.10,14.87,11.00,3.56,13.18,9.79,12.14,13.00,19.83,16.01,7.98,15.06,6.30,9.13,11.27,19.15,22.35,14.36,17.50,23.08,19.95,19.76,16.76,5.72
IncomeDistributionExpenses_qq,,13.93,10.49,54.32,-0.01,-0.37,17.74,33.53,-6.66,35.24,7.03,21.34,1.08,-11.29,8.07,7.54,-13.34,7.31,14.37,-10.07,-13.17,3.12,42.61,-14.09,-19.34,-3.04,41.91,-4.76,-9.81,6.13,2.04,4.23,-7.26,17.54,31.57,-25.99,8.99,-5.65,42.70,22.18,-33.36,35.71,0.47,-20.34,20.96,-5.53,32.82,3.84,-18.91
IncomeDistributionExpenses_sq,,27.28,5.01,53.65,-0.01,10.66,10.25,31.16,-6.70,17.68,-3.19,30.56,-8.74,7.58,-6.94,13.91,-11.28,6.53,2.69,10.47,-12.12,8.62,-2.04,14.44,-6.59,7.97,0.26,8.91,-9.85,6.13,1.46,9.48,-8.20,10.70,-0.47,9.74,-6.31,7.07,-0.89,16.72,-9.60,11.28,-0.14,15.83,-7.52,6.26,-0.54,10.14,-11.94
IncomeAdministrativExpenses,1254000,1423000,1187000,1488000,1905000,2308000,3070000,3817000,3797000,6571000,6564000,6711000,6072000,3236000,6220000,8220000,6663000,6509000,5894000,3852000,5326000,5862000,6737000,6978000,5737000,5988000,6386000,9215000,7051000,6938000,8464000,5648000,6764000,8002000,8404000,9178000,7907000,9134000,9723000,-1419000,6028000,5721000,7290000,8734000,7679000,5914000,8202000,6361000,6428000
IncomeAdministrativExpenses_yy,,,,,51.91,62.19,158.64,156.52,99.32,184.71,113.81,75.82,59.92,-50.75,-5.24,22.49,9.73,101.14,-5.24,-53.14,-20.07,-9.94,14.30,81.15,7.72,2.15,-5.21,32.06,22.90,15.87,32.54,-38.71,-4.07,15.34,-0.71,62.50,16.90,14.15,15.69,-115.46,-23.76,-37.37,-25.02,715.50,27.39,3.37,12.51,-27.17,-16.29
IncomeAdministrativExpenses_sy,,,,,50.40,62.19,27.85,53.21,35.04,17.00,31.86,21.84,5.69,-2.50,-5.72,-26.67,-7.36,-2.30,-7.59,-1.96,-7.57,10.52,10.92,-3.43,7.72,-5.82,-12.72,8.34,3.20,9.90,13.70,-5.74,-2.36,18.22,-0.24,5.56,8.98,11.70,14.94,8.94,7.61,10.59,0.20,14.98,12.23,12.42,6.59,-0.05,3.83
