,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,51312000,56647000,48650000,47909000,52338000,56923000,53146000,52996000,61904000,65544000,62011000,58181000,64131000,58015000,46792000,40906000,46523000,51300000,43705000,43002000,47255000,52067000,49442000,45676000,56182000,59193000,55198000,52667000,62017000,63680000,52486000,49109000,57439000,63135000,56887000,53052000,66748000,71122000,64722000,61344000,68836000,72481000,59528000,57769000,67435000,75049000,61515000,61024000,74076000,78466000,68828000,69337000,77421000,83624000
IncomeRevenues_yy,,,,,2.00,0.49,9.24,10.62,18.28,15.15,16.68,9.78,3.60,-11.49,-24.54,-29.69,-27.46,-11.57,-6.60,5.12,1.57,1.50,13.13,6.22,18.89,13.69,11.64,15.31,10.39,7.58,-4.91,-6.76,-7.38,-0.86,8.39,8.03,16.21,12.65,13.77,15.63,3.13,1.91,-8.03,-5.83,-2.04,3.54,3.34,5.63,9.85,4.55,11.89,13.62,4.52,6.57
IncomeRevenues_sy,,,,,4.93,8.30,9.88,19.46,30.88,18.87,19.10,13.86,3.36,-6.79,3.85,-6.06,9.48,-11.57,-6.60,-2.29,-5.92,4.32,-1.47,-2.81,19.46,19.78,22.94,16.30,9.54,-4.77,-11.88,-1.80,-7.09,-20.16,6.76,8.06,14.26,13.64,5.64,16.46,-5.61,-15.60,19.84,8.88,15.84,3.54,0.84,2.05,-4.08,-6.81,10.58,5.58,6.20,6.57
IncomeRevenues_qq,,10.40,-14.12,-1.52,9.24,8.76,-6.64,-0.28,16.81,5.88,-5.39,-6.18,10.23,-9.54,-19.34,-12.58,13.73,10.27,-14.81,-1.61,9.89,10.18,-5.04,-7.62,23.00,5.36,-6.75,-4.59,17.75,2.68,-17.58,-6.43,16.96,9.92,-9.90,-6.74,25.82,6.55,-9.00,-5.22,12.21,5.30,-17.87,-2.95,16.73,11.29,-18.03,-0.80,21.39,5.93,-12.28,0.74,11.66,8.01
IncomeRevenues_sq,,-6.52,4.76,10.06,-8.75,5.12,15.88,17.92,-0.66,-5.12,-0.89,13.25,-8.23,-9.54,10.94,2.44,-2.10,-27.44,20.08,0.27,7.73,-10.19,6.35,-10.85,-2.91,0.80,5.58,-6.10,-4.46,-9.47,3.32,-0.68,0.03,-4.97,0.85,4.91,12.11,1.30,-9.50,20.42,-8.10,5.30,-4.02,5.62,-6.65,8.39,-7.04,6.52,-3.70,5.84,3.73,0.98,11.80,-5.36
IncomeCostOfSales,38946000,42957000,38761000,39449000,41533000,43683000,42100000,41826000,45129000,46656000,45863000,44073000,48771000,46918000,40968000,34386000,36882000,38924000,35887000,35063000,37803000,41353000,39875000,39812000,44407000,47213000,44819000,42898000,50097000,51025000,43147000,40727000,45898000,49587000,46881000,44263000,53034000,56317000,55275000,52399000,56578000,59775000,51454000,48497000,55123000,60504000,53408000,52287000,61912000,64467000,59374000,57976000,63209000,66568000
IncomeCostOfSales_yy,,,,,6.64,1.69,8.61,6.03,8.66,6.81,8.94,5.37,8.07,0.56,-10.67,-21.98,-24.38,-17.04,-12.40,1.97,2.50,6.24,11.11,13.54,17.47,14.17,12.40,7.75,12.81,8.07,-3.73,-5.06,-8.38,-2.82,8.65,8.68,15.55,13.57,17.90,18.38,6.68,6.14,-6.91,-7.45,-2.57,1.22,3.80,7.81,12.32,6.55,11.17,10.88,2.09,3.26
IncomeCostOfSales_sy,,,,,8.00,7.94,8.20,15.16,21.46,14.95,16.04,16.38,9.95,3.50,4.86,-9.84,-4.15,-17.04,-11.84,-2.69,-8.53,7.33,6.30,13.54,21.93,6.99,17.91,7.75,7.74,8.07,-11.80,-4.44,-8.38,-22.74,8.65,2.48,14.85,14.02,6.60,-1.82,-11.74,-21.43,14.46,16.13,15.40,7.76,4.60,1.96,-1.22,-2.80,13.08,8.31,10.29,7.23
IncomeCostOfSales_qq,,10.30,-9.77,1.77,5.28,5.18,-3.62,-0.65,7.90,3.38,-1.70,-3.90,10.66,-3.80,-12.68,-16.07,7.26,5.54,-7.80,-2.30,7.81,9.39,-3.57,-0.16,11.54,6.32,-5.07,-4.29,16.78,1.85,-15.44,-5.61,12.70,8.04,-5.46,-5.58,19.82,6.19,-1.85,-5.20,7.98,5.65,-13.92,-5.75,13.66,9.76,-11.73,-2.10,18.41,4.13,-7.90,-2.35,9.03,5.31
IncomeCostOfSales_sq,,-7.36,4.25,8.42,-1.00,-0.66,11.74,19.79,2.03,-5.89,0.54,19.20,-2.14,-11.20,10.18,-1.13,-11.99,-22.86,17.64,-0.83,-2.65,-8.37,2.61,6.90,-2.22,-3.02,8.59,-4.29,-5.95,-11.82,-25.72,14.31,-11.04,-5.91,6.26,13.09,7.36,-0.19,-6.94,0.84,7.90,1.16,-2.13,5.68,-6.25,10.83,-5.33,2.88,-0.77,5.08,4.82,1.45,5.72,-7.20
