,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,10943000,12069000,10916000,14526000,19676000,19178000,21734000,24139000,23102000,26736000,25255000,29699000,25821000,29577000,25089000,27961000,24129000,23868000,23638000,28754000,25843000,27021000,26347000,27846000,27118000,29015000,26615000,31188000,28778000,30252000,29995000,34308000,30736000,33662000
IncomeCostOfSales,6410000,6953000,5889000,9151000,14915000,15896000,17002000,19789000,18253000,19396000,19310000,22601000,19149000,21586000,19029000,14448000,15884000,,,,,,,,,,,,,,370000,313000,153000,299000
IncomeDistributionExpenses,513000,96000,229000,304000,171000,112000,288000,252000,346000,357000,302000,3860000,1157000,,,,,,,,,,,,,,1594000,2361000,1892000,2127000,1437000,2488000,1626000,564000
IncomeAdministrativExpenses,1145000,1435000,1133000,2058000,1339000,1846000,1223000,3887000,1842000,,,,,,,,,,,,,,2569000,2442000,2982000,2949000,2811000,698000,2877000,3482000,3533000,5793000,4523000,4789000
IncomeGrossProfit,4987000,5788000,4535000,5766000,5246000,3955000,5525000,7025000,6999000,6469000,7112000,3981000,4863000,5718000,4026000,5418000,3927000,5657000,5325000,7156000,5160000,6116000,5000,253000,10000,179000,9000,1000,3000,95000,6000,1000,466000,-397000
IncomeOtherOperatingIncome,29000,-4000,52000,3344000,-411000,-487000,-850000,1991000,20000,287000,135000,-165000,250000,-128000,1023000,644000,75000,-2000,196000,369000,485000,27301000,0,15000,0,153000,28000,20000,25000,98000,1000,214000,681000,516000
IncomeOtherOperatingCosts,39000,-5000,26000,1935000,795000,-81000,1402000,3153000,1581000,445000,1514000,556000,441000,274000,338000,2389000,852000,561000,677000,-610000,909000,-10000,2574000,2680000,2992000,2975000,2792000,679000,2855000,3479000,3538000,5580000,4308000,3876000
IncomeEBIT,4977000,5789000,4562000,7176000,4040000,3549000,3273000,5863000,5438000,6311000,5733000,3260000,4672000,5316000,4711000,3673000,3150000,5094000,4844000,8135000,4736000,33427000,2000,1000,3000,1396000,16000,184000,252000,301000,181000,123000,20000,45000
IncomeFinanceIncome,256000,111000,-280000,44000,54000,62000,74000,55000,61000,84000,61000,86000,53000,54000,16000,18000,17000,10000,8000,8000,7000,9000,42000,101000,-20000,162000,110000,190000,63000,47000,382000,-111000,355000,139000
IncomeFinanceCosts,72000,-42000,232000,-80000,123000,326000,92000,46000,20000,37000,31000,1000,4000,48000,239000,269000,238000,224000,260000,494000,270000,607000,,,,,,,,,,,,
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,2534000,2580000,3015000,4209000,2698000,673000,3044000,3733000,3337000,5814000,3973000,3782000
IncomeNetGrossProfit,5161000,5942000,4049000,7300000,3971000,3285000,3255000,5872000,5479000,6358000,5763000,3345000,4721000,5322000,4488000,3422000,2929000,4880000,4592000,7649000,4473000,32829000,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,2534000,2580000,3015000,4209000,2698000,673000,3044000,3733000,3337000,5814000,3973000,3782000
IncomeBeforeTaxProfit,5161000,5942000,4049000,7300000,3971000,3285000,3255000,5872000,5479000,6358000,5763000,3345000,4721000,5322000,4488000,3422000,2929000,4880000,4592000,7649000,4473000,32829000,,,,,,,,,,,,
IncomeDiscontinuedProfit,-422000,-312000,-832000,-655000,-597000,0,0,-604000,-116000,-296000,-463000,-888000,1483000,0,-12000,12000,,,,2201000,1923000,2558000,3772000,2387000,567000,2499000,2931000,2813000,4729000,3364000,2557000,4294000,5296000,3057000
IncomeNetProfit,6357000,3139000,2802000,2614000,4408000,4570000,5016000,4729000,1756000,5255000,4152000,3422000,2520000,2208000,4022000,3749000,5930000,3177000,32350000,2201000,1923000,2558000,3754000,2466000,637000,2532000,2885000,2922000,4727000,3350000,2533000,4495000,5469000,3057000
IncomeShareholderNetProfit,6722000,3317000,2694000,2614000,4459000,4594000,5077000,4799000,1952000,5217000,4151000,3422000,2520000,2208000,4022000,3749000,5930000,3177000,32350000,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,12519000,14774000,17833000,18395000,24127000,36615000,35755000,37376000,36720000,36374000,34939000,35253000,34545000,62328000,45092000,91747000,89345000,44349000,44178000,44879000,43986000,43959000,59649000,82502000,81383000,82563000,84798000,85264000,84462000,84230000,85365000,153910000,10929000,13068000
BalanceIntangibleAssets,15108000,15167000,15237000,28837000,27939000,29925000,29217000,28294000,27246000,27043000,26958000,53538000,35019000,41169000,40079000,2338000,33906000,34706000,2276000,2252000,2190000,36328000,35388000,33055000,32614000,32184000,31762000,31445000,31014000,97344000,1458000,1661000,2636000,3008000
BalanceProperty,8646000,7685000,7610000,7298000,7349000,7757000,7425000,7293000,7029000,6740000,6470000,6317000,6053000,5852000,5841000,5644000,5374000,5143000,5274000,5120000,4993000,5234000,5051000,4849000,4771000,4344000,4542000,5309000,0,0,,12000,163000,166000
BalanceNoncurrentReceivables,12000,12000,12000,12000,12000,62000,62000,7000,881000,886000,173000,187000,818000,179000,185000,292000,1798000,301000,302000,305000,305000,321000,253000,175000,178000,184000,,,,0,0,0,,
BalanceNoncurrInvestments,105000,105000,105000,105000,105000,105000,105000,955000,2649000,42231000,41075000,4799000,3485000,3745000,35244000,3539000,7586000,6254000,5971000,6060000,5705000,5687000,5651000,6158000,5707000,132000,45000,77000,57000,78000,81000,89000,36000,37000
BalanceOtherNoncurrentAssets,206000,101000,750000,447000,215000,68000,1858000,2138000,31173000,128000,605000,907000,32733000,42801000,34499000,34729000,37909000,41123000,42223000,42025000,42108000,43924000,51073000,9949000,9880000,12017000,20835000,46646000,36037000,41383000,31975000,31569000,39421000,40508000
BalanceCurrentAssets,49536000,42895000,62362000,66728000,50112000,47350000,53073000,54588000,63461000,44172000,52649000,58325000,49496000,43830000,48043000,46782000,42163000,39131000,39266000,42530000,52191000,82000,64000,47000,50000,59000,425000,518000,555000,603000,1074000,1108000,805000,703000
BalanceInventory,644000,611000,1073000,656000,1031000,2070000,1568000,803000,195000,192000,203000,183000,161000,119000,122000,188000,890000,877000,684000,8660000,8672000,9075000,15997000,13137000,16730000,24828000,17302000,20212000,28570000,32728000,36374000,23531000,36181000,41550000
BalanceCurrentReceivables,33008000,27814000,27411000,30451000,31406000,27341000,30379000,27581000,26211000,26120000,31882000,34770000,31321000,30377000,30777000,31998000,39208000,0,,,,461000,,733000,0,0,,,,,,,,
BalanceCurrentInvestments,,,,,,,,,,,,,,,,266000,349000,833000,607000,30901000,15664000,13289000,11564000,6281000,7112000,4055000,10957000,16998000,14956000,14792000,13090000,16774000,21746000,19337000
