,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1138389000,1243217000,1022863000,1346518000,1229939000,1310206000,1099333000,1422581000,1243118000,1253900000,1080052000,1421818000,1182964000,1302554000,1116668000,1284011000,1284327000,1340533000,1071886000,1424701000,1354758000,1411643000,1177268000,1410352000,1423693000,1492474000
IncomeRevenues_yy,,,,,8.04,5.39,7.48,5.65,1.07,-4.30,-1.75,-0.05,-4.84,3.88,3.39,-9.69,8.57,2.92,-4.01,10.96,5.48,5.30,9.83,-1.01,5.09,5.73
IncomeRevenues_sy,,,,,8.04,5.39,-5.64,7.96,-5.28,6.98,2.13,25.62,-1.58,13.69,26.72,-10.38,17.27,1.96,4.59,-8.65,1.91,-7.34,12.97,6.02,-0.82,5.69
IncomeRevenues_qq,,9.21,-17.72,31.64,-8.66,6.53,-16.09,29.40,-12.62,0.87,-13.86,31.64,-16.80,10.11,-14.27,14.99,0.02,4.38,-20.04,32.92,-4.91,4.20,-16.60,19.80,0.95,4.83
IncomeRevenues_sq,,-0.88,11.13,3.22,-2.48,-7.32,6.69,13.75,-3.96,2.63,-4.16,18.52,-21.54,5.26,8.12,9.50,-15.41,0.26,-9.84,8.80,0.72,0.79,14.93,-9.51,-3.32,3.79
IncomeCostOfSales,446132000,480692000,446656000,568162000,486625000,454791000,491663000,626700000,500911000,479598000,452236000,539155000,497300000,534048000,500880000,522179000,557999000,576753000,567601000,685645000,611892000,525557000,556585000,584018000,602918000,600082000
IncomeCostOfSales_yy,,,,,9.08,-5.39,10.08,10.30,2.94,5.45,-8.02,-13.97,-0.72,11.35,10.76,-3.15,12.21,8.00,13.32,31.30,9.66,-8.88,-1.94,-14.82,-1.47,14.18
IncomeCostOfSales_sy,,,,,9.08,-5.39,-22.08,4.67,2.94,4.96,2.54,-13.97,12.41,11.81,16.82,-5.44,12.21,8.00,-11.31,11.25,-1.21,-25.91,-28.56,7.05,-19.78,-13.33
IncomeCostOfSales_qq,,7.75,-7.08,27.20,-14.35,-6.54,8.11,27.47,-20.07,-4.25,-5.71,19.22,-7.76,7.39,-6.21,4.25,6.86,3.36,-1.59,20.80,-10.76,-14.11,5.90,4.93,3.24,-0.47
IncomeCostOfSales_sq,,16.52,-4.60,-2.52,-14.88,9.64,0.75,7.90,-20.07,7.00,-0.31,38.87,-18.54,7.39,-6.21,-1.91,3.40,7.41,-1.59,-7.29,2.55,-5.36,6.16,12.28,-5.56,-8.08
IncomeDistributionExpenses,289935000,339630000,316647000,375595000,319680000,345076000,293126000,404783000,307809000,429255000,286903000,379750000,324703000,320507000,285728000,372178000,303808000,369928000,292035000,419953000,356649000,337765000,315008000,429261000,357125000,359208000
IncomeDistributionExpenses_yy,,,,,10.26,1.60,-7.43,7.77,-3.71,24.39,-2.12,-6.18,5.49,-25.33,-0.41,-1.99,-6.44,15.42,2.21,12.84,17.39,-8.69,7.87,2.22,0.13,6.35
IncomeDistributionExpenses_sy,,,,,-14.63,1.60,2.32,7.77,5.06,29.39,-6.10,9.05,-1.56,-1.03,2.88,-7.38,17.12,14.60,17.22,4.14,-3.05,0.80,-11.90,-3.06,-7.07,-6.75
IncomeDistributionExpenses_qq,,17.14,-6.77,18.62,-14.89,7.94,-15.05,38.09,-23.96,39.46,-33.16,32.36,-14.50,-1.29,-10.85,30.26,-18.37,21.76,-21.06,43.80,-15.07,-5.29,-6.74,36.27,-16.80,0.58
IncomeDistributionExpenses_sq,,11.61,15.41,24.07,-20.50,7.40,-5.21,26.66,-23.96,14.16,-11.34,17.88,-25.95,27.94,-16.42,26.19,-13.29,19.30,3.08,4.62,-17.34,2.16,-10.30,10.26,-17.68,6.24
IncomeAdministrativExpenses,75928000,71926000,74007000,79847000,81936000,82584000,74688000,53254000,79480000,72911000,77347000,72502000,78276000,75604000,75307000,90365000,88002000,80770000,80324000,85273000,90076000,79213000,78348000,62376000,82571000,83136000
IncomeAdministrativExpenses_yy,,,,,7.91,14.82,0.92,-33.30,-3.00,-11.71,3.56,36.14,-1.52,3.69,-2.64,24.64,12.43,6.83,6.66,-5.64,2.36,-1.93,-2.46,-26.85,-8.33,4.95
IncomeAdministrativExpenses_sy,,,,,-6.43,2.78,-39.24,-22.63,-14.08,-11.71,22.79,-2.64,-1.52,0.36,4.69,19.28,12.43,16.03,14.40,-1.18,13.06,-7.88,2.77,-0.64,-0.64,4.95
IncomeAdministrativExpenses_qq,,-5.27,2.89,7.89,2.62,0.79,-9.56,-28.70,49.25,-8.26,6.08,-6.26,7.96,-3.41,-0.39,20.00,-2.62,-8.22,-0.55,6.16,5.63,-12.06,-1.09,-20.39,32.38,0.69
IncomeAdministrativExpenses_sq,,32.33,-26.47,3.99,-23.35,-0.68,-19.02,24.54,-42.76,7.91,-4.85,19.49,-22.60,9.86,-4.74,33.54,-5.53,16.60,-5.40,18.96,-9.44,8.64,-3.38,21.93,-13.39,-1.36
