,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q3,2015/Q1,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,0,5390000,2877000,-35161000,3044000,21269000,-16228000,2929000,5950000,-708000,10831000,-5661000,3830000,1068000,2277000,2610000,2188000,610000,696000,27000,1004000,-1004000,2862000,148000,1195000,,69470000,76838000,69202000,70430000,58685000,97417000,78302000,116326000,111704000,96018000
IncomeRevenues_yy,,,,,,294.60,-664.06,108.33,95.47,-103.33,166.74,-293.27,-35.63,250.85,-78.98,146.10,-42.87,-42.88,-69.43,-98.97,-54.11,-264.59,311.21,448.15,-58.25,,,,,,-15.52,26.78,13.15,65.17,90.35,-1.44
IncomeRevenues_sy,,,,,,1.98,-26.14,-25.70,-8.88,-15.47,36.00,28.32,0.53,53.64,28.58,17.55,49.73,11.46,9.48,-10.04,-12.56,-11.06,9.47,23.04,-8.66,,,,,,4.23,1.53,5.79,3.54,7.07,0.05
IncomeRevenues_qq,,,-46.62,-1322.14,108.66,598.72,-176.30,118.05,103.14,-111.90,1629.80,-152.27,167.66,-72.11,113.20,14.62,-16.17,-72.12,14.10,-96.12,3618.52,-200.00,385.06,-94.83,,,,10.61,-9.94,1.77,-16.68,66.00,-19.62,48.56,-3.97,-14.04
IncomeRevenues_sq,,,-10.87,1.99,-9.10,-2.31,-18.73,3.65,9.24,3.08,8.52,-0.23,-5.62,4.22,2.46,21.40,-4.22,0.58,-2.52,1.31,-8.15,10.67,1.60,-1.20,,,,5.82,5.51,-0.82,-3.61,0.09,-4.50,-1.02,3.26,-3.32
IncomeCostOfSales,,1581000,655000,,,,,,,,,,,,,,,,816000,,,,0,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,-100.00,-100.00,,,,,,,,,,,,,,,,-100.00,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,-23.66,-54.95,,,,,,,,,,,,,,,,17.34,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,-58.57,-100.00,,,,,,,,,,,,,,,,-100.00,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,-21.56,-6.76,,,,,,,,,,,,,,,,1.89,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,0,,,,3522000,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,-100.00,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,-61.40,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,-355000,4164000,2222000,-34251000,-852000,19083000,-12207000,-9602000,26000,-1316000,10566000,-12001000,-724000,-820000,6976000,-8210000,-616000,-454000,3748000,-5896000,-1057000,-2585000,2982000,-8814000,-359000,,4334000,1161000,1622000,932000,1835000,3369000,3922000,7438000,4685000,3725000
IncomeGrossProfit_yy,,,,,-140.00,358.29,-649.37,71.97,103.05,-106.90,186.56,-24.98,-2884.62,37.69,-33.98,31.59,14.92,44.63,-46.27,28.19,-71.59,-469.38,-20.44,-49.49,-112.04,,,,,,-57.66,190.18,141.80,698.07,155.31,10.57
IncomeGrossProfit_sy,,,,,-9.07,25.49,-2.69,3.41,36.75,-15.27,38.20,-10.96,22.26,23.45,-8.60,-14.35,-2.05,13.02,13.36,28.19,24.65,19.37,19.34,1.44,25.91,,,,,,7.65,4.09,17.09,9.52,9.67,-6.25
IncomeGrossProfit_qq,,1272.96,-46.64,-1641.45,97.51,2339.79,-163.97,21.34,100.27,-5161.54,902.89,-213.58,93.97,-13.26,950.73,-217.69,92.50,26.30,925.55,-257.31,82.07,-144.56,215.36,-395.57,,,,-73.21,39.71,-42.54,96.89,83.60,16.41,89.65,-37.01,-20.49
IncomeGrossProfit_sq,,-0.67,4.08,5.46,4.95,21.37,-23.51,-2.97,33.55,-2.02,5.60,-6.94,15.06,-2.62,-2.48,-10.19,14.53,-13.48,15.38,3.61,-10.03,4.22,-0.24,-2.35,,,,-16.19,13.22,-22.60,17.71,-7.25,11.32,-24.82,31.39,-17.38
IncomeOtherOperatingIncome,,244000,17000,-245000,-566000,3162000,1494000,-1981000,0,148000,121000,789000,3101000,-2617000,2676000,-1983000,40000,17000,6573000,-3562000,0,1082000,2113000,-1942000,73000,,7000,20000,0,127000,7301000,-15000,0,119000,,9000
IncomeOtherOperatingIncome_yy,,,,,,1195.90,8688.24,-708.57,100.00,-95.32,-91.90,139.83,,-1868.24,2111.57,-351.33,-98.71,100.65,145.63,-79.63,-100.00,6264.71,-67.85,45.48,-96.55,,,,,,104200.00,-175.00,,-6.30,-100.00,160.00
IncomeOtherOperatingIncome_sy,,,,,,,133.33,-32.00,43.85,-60.90,-14.85,28.81,,6.25,-35.42,-5.39,-2.68,47.45,-19.67,-35.21,-9.42,-42.90,-6.84,34.72,-40.97,,,,,,-0.66,-35.94,,-52.63,12.22,-25.74
IncomeOtherOperatingIncome_qq,,,-93.03,-1541.18,-131.02,658.66,-52.75,-232.60,100.00,,-18.24,552.07,293.03,-184.39,202.25,-174.10,102.02,-57.50,38564.71,-154.19,100.00,,95.29,-191.91,,,,185.71,-100.00,,5648.82,-100.21,100.00,,-100.00,
IncomeOtherOperatingIncome_sq,,,15.38,-49.57,-15.16,31.58,24.52,-18.02,8.82,,44.07,98.24,-29.25,19.92,16.81,32.79,-24.41,35.58,-15.20,8.48,-33.33,,-0.96,158.63,,,,23.26,-75.00,,-33.42,-2.16,-22.32,,-29.55,
IncomeOtherOperatingCosts,153000,8372000,6824000,-14886000,,904000,8460000,-8903000,0,200000,6627000,-5901000,75000,1173000,-503000,729000,1431000,-905000,12565000,-7900000,175000,918000,11946000,-9411000,74000,,10000,334000,0,7000,,,,107000,2000,108000
IncomeOtherOperatingCosts_yy,,,,,-100.00,-89.20,23.97,40.19,,-77.88,-21.67,33.72,,486.50,-107.59,112.35,1808.00,-177.15,2598.01,-1183.68,-87.77,201.44,-4.93,-19.13,-99.38,,,,,,-100.00,-100.00,,1428.57,,
IncomeOtherOperatingCosts_sy,,,,,70.28,50.57,44.02,-30.49,,-42.17,-46.30,-4.42,,56.29,30.20,29.91,128.97,34.38,3.12,-58.73,-54.17,-3.95,12.72,27.37,-1.95,,,,,,23.23,-2.31,,65.73,,
IncomeOtherOperatingCosts_qq,,5371.90,-18.49,-318.14,100.00,,835.84,-205.24,100.00,,3213.50,-189.04,101.27,1464.00,-142.88,244.93,96.30,-163.24,1488.40,-162.87,102.22,424.57,1201.31,-178.78,,,,3240.00,-100.00,,-100.00,,,,-98.13,5300.00
IncomeOtherOperatingCosts_sq,,27.27,-18.49,120.15,-77.97,,9.01,54.55,-57.78,,-15.00,118.58,-53.97,266.94,-47.62,166.67,-55.04,15.19,-23.33,74.06,-74.29,96.81,-27.52,92.68,,,,0.35,-50.00,,-56.71,,,,-88.93,-18.83
IncomeEBIT,-508000,-3964000,-4585000,-19610000,-1418000,21341000,-19173000,-2680000,26000,-1368000,4060000,-5311000,2302000,-4610000,10155000,-10922000,-2007000,468000,-2244000,-1558000,-1232000,-2421000,-6851000,-1345000,-360000,,4331000,847000,1622000,1052000,9136000,3354000,3922000,7450000,4683000,3626000
IncomeEBIT_yy,,,,,-179.13,638.37,-318.17,86.33,101.83,-106.41,121.18,-98.17,8753.85,-236.99,150.12,-105.65,-187.19,110.15,-122.10,85.74,38.61,-617.31,-205.30,13.67,94.75,,,,,,110.94,295.99,141.80,608.17,-48.74,8.11
IncomeEBIT_sy,,,,,-20.14,25.18,-4.39,-20.00,43.49,8.22,64.76,24.63,36.14,48.30,15.67,-17.19,-18.38,35.66,5.95,69.72,26.20,15.16,8.48,12.76,25.89,,,,,,11.74,7.84,18.72,-5.40,-8.93,8.11
IncomeEBIT_qq,,-680.31,-15.67,-327.70,92.77,1605.01,-189.84,86.02,100.97,-5361.54,396.78,-230.81,143.34,-300.26,320.28,-207.55,81.62,123.32,-579.49,30.57,20.92,-96.51,-182.98,80.37,,,,-80.44,91.50,-35.14,768.44,-63.29,16.94,89.95,-37.14,-22.57
IncomeEBIT_sq,,-66.42,30.95,3.80,-29.55,3.12,-28.96,22.43,45.65,-1.17,29.10,-36.45,30.04,-10.44,15.49,-28.14,39.90,-2.44,13.76,2.16,-0.64,9.44,1.98,-5.94,,,,-5.02,3.29,-35.05,36.44,-14.79,16.94,-53.56,55.78,-23.65
IncomeFinanceIncome,,,-42205000,42551000,,258000,,198539000,2246000,18463000,,112159000,32726000,23488000,-56214000,88395000,28337000,41050000,-63064000,288038000,33586000,138956000,-170936000,403531000,616000,,3669000,320000,246000,167000,14756000,-6183000,-57000,194000,178000,292000
IncomeFinanceIncome_yy,,,,,,,100.00,366.59,,7056.20,,-43.51,1357.08,27.22,,-21.19,-13.41,74.77,-12.19,225.85,18.52,238.50,-171.05,40.10,100.36,,,,,,302.18,-2032.19,-123.17,16.17,-98.79,104.72
