,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,0,83485000,87384000,53337000,22533000,91888000,96816000,75880000,15336000,69223000,69016000,55897000,10093000,63468000,83688000,62709000,30060000,87754000,89780000,62129000,33045000,94132000,96296000,63080000,33142000,97568000,92117000,61409000,30737000,98369000,93749000,65351000,24196000,55873000
IncomeCostOfSales,0,64463000,54503000,44489000,24472000,67359000,69531000,54208000,17434000,53090000,52029000,44066000,10708000,45711000,64093000,48942000,26820000,67455000,71724000,57094000,27314000,74171000,77610000,41391000,32782000,80000000,73710000,52426000,30492000,81457000,73052000,63262000,18999000,43550000
IncomeDistributionExpenses,0,1714000,2068000,1958000,1498000,7991000,3707000,6444000,1757000,6873000,8970000,6967000,3698000,4492000,7763000,8196000,3755000,5710000,7374000,9090000,5287000,4700000,8761000,18622000,6450000,9531000,10723000,9687000,5223000,9776000,9386000,12486000,4816000,5245000
IncomeAdministrativExpenses,1850000,2638000,4488000,4376000,4926000,1593000,1493000,3037000,4009000,3441000,894000,3136000,2673000,3214000,1872000,3362000,2469000,4676000,1779000,2566000,3635000,3800000,1922000,3840000,4376000,4662000,3609000,4570000,3682000,4749000,3339000,8495000,3913000,3913000
IncomeGrossProfit,-1850000,14670000,26325000,2514000,-8363000,14945000,22085000,12191000,-7864000,5819000,7123000,1728000,-6986000,10051000,9960000,2209000,-2984000,9913000,8903000,-6621000,-3191000,11461000,8003000,-773000,-10466000,3375000,4075000,-5274000,-8660000,2387000,7972000,-18892000,-3532000,3165000
IncomeOtherOperatingIncome,143057000,881000,-550000,7726000,391000,3216000,2199000,3515000,274000,347000,443000,2696000,237000,442000,136000,-453000,207000,621000,7935000,1845000,316000,616000,327000,1126000,136000,4271000,82000,955000,857000,-56000,322000,4744000,0,661000
IncomeOtherOperatingCosts,4531000,2876000,104000,2625000,210000,32000,193000,103000,133000,1735000,433000,-260000,823000,-278000,498000,8291000,306000,5304000,48000,3606000,5000,45000,93000,271000,17000,255000,94000,931000,22000,81000,141207000,14890000,21244000,7364000
IncomeEBIT,-8076000,15536000,24074000,15674000,-7783000,6063000,7433000,2689000,-7182000,10753000,9273000,2752000,-2777000,9984000,9026000,-6977000,-3497000,8002000,8271000,-3763000,-10144000,4456000,4118000,-1274000,-8595000,3087000,8735000,-19879000,-3232000,7828000,0,496000,993000,424000
IncomeFinanceIncome,790000,493000,-374000,87000,94000,20000,109000,184000,67000,62000,112000,252000,10000,40000,75000,28000,83000,70000,19000,38000,3000,1000,2000,3000,18000,17000,3579000,0,1973000,3961000,1114000,2205000,2723000,2176000
IncomeFinanceCosts,1494000,1665000,2055000,1860000,2200000,1563000,1919000,2074000,1702000,1481000,1857000,3418000,542000,1537000,1471000,1527000,1516000,1525000,1694000,1553000,1567000,1345000,1635000,1515000,1774000,1348000,6300000,,,,,,,
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,141207000,13413000,18276000,6674000,-9491000,13306000,21524000
IncomeNetGrossProfit,14267000,-9354000,4028000,5682000,673000,-8678000,8896000,7311000,809000,-4258000,8127000,5860000,-7509000,-4994000,6606000,6772000,-5196000,-11599000,2781000,2603000,-2838000,-9939000,1454000,7223000,-21635000,-4563000,5107000,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,141207000,13413000,18276000,6674000,-9491000,13306000,21524000
