,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,21017000,18591000,22148000,27336000,21552000,20611000,32165000,34399000,34245000,31403000,34955000,38337000,32126000,30675000,30081000,29960000,28426000,21349000,26038000,28697000,22252000,20090000,25469000,29612000,21755000,20008000,25891000,33921000,25655000,23340000,25570000,28242000,23356000,21179000,26313000,29868000,24339000,23633000,30637000,32523000,27688000,26391000,32246000,36778000,29460000,29665000,33675000,37683000,30806000,28648000,36214000,41466000,31450000,30046000
IncomeCostOfSales,13815000,12189000,14195000,17520000,13978000,14076000,22016000,24589000,23908000,23657000,25388000,27985000,22095000,22095000,20883000,19355000,19195000,16082000,18187000,20124000,15809000,14420000,17202000,19881000,14700000,13863000,17373000,22965000,17724000,16179000,17508000,19206000,16500000,14893000,17804000,20481000,17246000,16977000,21254000,22769000,19764000,18591000,22784000,27169000,21785000,22420000,24583000,26403000,21753000,20402000,24825000,30160000,22999000,21937000
IncomeDistributionExpenses,2268000,1922000,2317000,3521000,2470000,3391000,3090000,5220000,4500000,4077000,4668000,5555000,4920000,4067000,4392000,5419000,4571000,4908000,4168000,4712000,3673000,3946000,4086000,3984000,3462000,3649000,3680000,4084000,3697000,3997000,3566000,3374000,3218000,3028000,3594000,4019000,3721000,4020000,4145000,4113000,3974000,4086000,4707000,4677000,4251000,5046000,4434000,5347000,5083000,4981000,4763000,6107000,4936000,5509000
IncomeAdministrativExpenses,1347000,1402000,1232000,1449000,1098000,1219000,1566000,2296000,1856000,2019000,1854000,2069000,1917000,2176000,2107000,2060000,1603000,1707000,1624000,1572000,1622000,1654000,1424000,1627000,1516000,1473000,1163000,1550000,1397000,1314000,1136000,1531000,1248000,1310000,1262000,1683000,1183000,1350000,1257000,1768000,1300000,1487000,1342000,1942000,1354000,1477000,1336000,2058000,1330000,1365000,1404000,2124000,1721000,1570000
IncomeGrossProfit,3587000,3078000,4404000,4846000,4006000,1925000,5493000,2294000,3981000,1650000,3045000,2728000,3194000,2337000,2699000,3126000,3057000,-1348000,2059000,2289000,1148000,70000,2757000,4120000,2077000,1023000,3675000,5322000,2837000,1850000,3360000,4131000,2390000,1948000,3653000,3685000,2189000,1286000,3981000,3873000,2650000,2227000,3413000,2990000,2070000,722000,3322000,3875000,2640000,1900000,5222000,3075000,1794000,1030000
IncomeOtherOperatingIncome,85000,39000,235000,-26000,245000,93000,135000,141000,267000,311000,572000,-434000,700000,459000,353000,486000,206000,454000,-29000,883000,552000,23000,155000,603000,488000,91000,339000,420000,238000,131000,115000,-2000,47000,72000,76000,417000,339000,151000,428000,39000,474000,-491000,-71000,583000,6000,1229000,24000,331000,2487000,130000,-492000,312000,-1000,-3000
IncomeOtherOperatingCosts,105000,785000,633000,725000,535000,587000,650000,2026000,710000,1045000,736000,150000,1187000,946000,792000,3874000,1868000,832000,107000,1853000,1161000,841000,1357000,1159000,1120000,303000,683000,1548000,512000,465000,250000,388000,372000,812000,-186000,498000,223000,354000,-5000,-269000,72000,1000,51000,250000,79000,69000,94000,232000,150000,177000,228000,138000,79000,81000
IncomeEBIT,3567000,2332000,4006000,4095000,3716000,1431000,4978000,409000,3538000,916000,2881000,2144000,2707000,1850000,2260000,-262000,1395000,-1726000,1923000,1319000,539000,-748000,1555000,3564000,1445000,811000,3331000,4194000,2563000,1516000,3225000,3741000,2065000,1208000,3915000,3604000,2305000,1083000,4414000,4181000,3052000,1735000,3291000,3323000,1997000,1882000,3252000,3974000,4977000,1853000,4502000,3249000,1714000,946000
IncomeFinanceIncome,37000,-18000,140000,125000,84000,62000,58000,-9000,97000,-34000,47000,36000,137000,378000,-160000,-1000,10000,11000,63000,89000,987000,-521000,664000,-135000,57000,108000,34000,-108000,201000,119000,174000,191000,394000,818000,-411000,-146000,589000,116000,199000,-33000,888000,11000,7000,7000,191000,372000,-346000,292000,256000,23000,0,17000,208000,419000
IncomeFinanceCosts,7000,100000,333000,133000,313000,15000,-211000,510000,148000,519000,360000,690000,586000,406000,623000,5799000,6317000,1177000,518000,-5940000,301000,326000,275000,252000,244000,132000,283000,308000,146000,37000,326000,107000,70000,53000,-108000,25000,526000,-70000,-36000,-376000,1375000,-1029000,-17000,44000,78000,-52000,79000,-18000,721000,126000,-174000,646000,10000,13000
