,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,65174000,14723000,13415000,22458000,27786000,65517000,36311000,34649000,35675000,82692000,6539000,4138000,54295000,156261000,9351000,4175000
IncomeRevenues_yy,,,,,-57.37,345.00,170.67,54.28,28.39,26.21,-81.99,-88.06,52.19,88.97,43.00,0.89
IncomeRevenues_sy,,,,,1.20,6.90,4.60,6.28,1.90,12.72,0.25,-2.12,-1.18,5.95,18.84,11.87
IncomeRevenues_qq,,-77.41,-8.88,67.41,23.72,135.79,-44.58,-4.58,2.96,131.79,-92.09,-36.72,1212.11,187.80,-94.02,-55.35
IncomeRevenues_sq,,1.10,-12.06,0.74,8.32,6.73,-19.38,2.34,-1.57,29.39,-31.70,1.50,0.20,14.10,-3.86,6.83
IncomeCostOfSales,49944000,10113000,9580000,17137000,17453000,39696000,24555000,24123000,24265000,55941000,4280000,2645000,32796000,93298000,6019000,2984000
IncomeCostOfSales_yy,,,,,-65.05,292.52,156.32,40.77,39.03,40.92,-82.57,-89.04,35.16,66.78,40.63,12.82
IncomeCostOfSales_sy,,,,,6.59,3.15,12.88,20.66,2.30,16.37,-4.22,-6.61,-2.11,22.79,29.61,25.67
IncomeCostOfSales_qq,,-79.75,-5.27,78.88,1.84,127.45,-38.14,-1.76,0.59,130.54,-92.35,-38.20,1139.92,184.48,-93.55,-50.42
IncomeCostOfSales_sq,,21.75,-28.33,3.06,12.56,27.23,-33.71,2.90,-3.06,50.30,-34.28,-9.47,2.82,33.69,-21.70,1.04
IncomeDistributionExpenses,212000,3244000,945000,-625000,3555000,1816000,1835000,1724000,1661000,2577000,2093000,3002000,2596000,3723000,3019000,2787000
IncomeDistributionExpenses_yy,,,,,1576.89,-44.02,94.18,375.84,-53.28,41.91,14.06,74.13,56.29,44.47,44.24,-7.16
IncomeDistributionExpenses_sy,,,,,-1.53,5.54,12.98,28.32,6.22,0.65,18.53,-3.42,19.50,11.68,9.45,-5.26
IncomeDistributionExpenses_qq,,1430.19,-70.87,-166.14,668.80,-48.92,1.05,-6.05,-3.65,55.15,-18.78,43.43,-13.52,43.41,-18.91,-7.68
IncomeDistributionExpenses_sq,,19.80,-28.26,7.80,-10.70,12.06,-18.56,23.49,-4.66,26.06,-13.48,23.16,-3.36,22.15,-18.91,12.12
IncomeAdministrativExpenses,815000,1194000,891000,756000,622000,2561000,1514000,1430000,1948000,2950000,2146000,1680000,1834000,3388000,2581000,1472000
IncomeAdministrativExpenses_yy,,,,,-23.68,114.49,69.92,89.15,213.18,15.19,41.74,17.48,-5.85,14.85,20.27,-12.38
IncomeAdministrativExpenses_sy,,,,,-0.07,10.66,2.95,-4.05,2.17,2.84,5.68,8.12,11.50,12.50,14.73,2.54
IncomeAdministrativExpenses_qq,,46.50,-25.38,-15.15,-17.72,311.74,-40.88,-5.55,36.22,51.44,-27.25,-21.71,9.17,84.73,-23.82,-42.97
IncomeAdministrativExpenses_sq,,10.47,-9.95,6.66,-4.74,22.84,-19.49,1.01,-1.25,18.38,-17.89,6.70,-0.85,16.79,-15.28,4.55
IncomeGrossProfit,14203000,172000,1999000,5190000,6156000,21444000,8407000,7372000,7801000,21224000,-1980000,-3189000,17069000,55852000,-2268000,-3068000
IncomeGrossProfit_yy,,,,,-56.66,12367.44,320.56,42.04,26.72,-1.03,-123.55,-143.26,118.81,163.15,-14.55,3.79
