,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeRevenues,2887000,3326000,3313000,3325000,2325000,4637000,3329000,3308000,2490000,4790000,6204000,23736000,43437000,32282000,42239000,54941000,26295000,53885000,35109000,19955000,22743000,28105000,27772000,22764000,18713000,18659000,19890000,29988000,30868000,28991000,26817000,25835000,22296000,28851000,25251000,28632000,17934000,27173000,19854000,28402000,21204000,26940000,12813000,19604000,16487000,20770000,15231000,13774000,1916000,2663000,1594000,1990000,1698000
IncomeCostOfSales,1126000,1571000,1399000,927000,1920000,1357000,1381000,993000,2030000,2141000,15467000,40445000,25214000,34487000,48319000,19387000,42945000,29287000,20853000,13881000,19936000,19735000,14835000,12555000,10773000,13280000,21066000,25923000,23978000,23133000,20536000,17340000,25092000,16817000,22088000,14206000,23148000,16436000,19922000,17279000,17630000,14659000,22342000,13657000,17405000,12494000,15169000,3626000,4434000,2112000,5916000,1149000,817000
IncomeDistributionExpenses,1370000,1945000,787000,1657000,1305000,1225000,995000,1597000,1731000,2580000,1901000,4721000,3808000,3359000,2133000,2801000,976000,2751000,369000,288000,164000,168000,109000,455000,268000,107000,1264000,1449000,707000,1294000,552000,758000,688000,1003000,928000,1207000,1503000,2388000,1303000,1807000,1878000,1968000,1491000,1243000,1313000,1161000,373000,449000,714000,-180000,917000,422000,448000
IncomeAdministrativExpenses,1211000,661000,781000,552000,688000,776000,717000,740000,5318000,1073000,1171000,2629000,3946000,2442000,2986000,2284000,546000,442000,312000,1244000,573000,765000,293000,481000,489000,400000,1001000,1455000,767000,879000,949000,887000,1090000,1031000,1021000,466000,876000,684000,760000,773000,992000,570000,583000,629000,1331000,82000,129000,34000,232000,3000,-877000,961000,-76000
IncomeGrossProfit,-1230000,-50000,279000,115000,14000,-274000,446000,1592000,371000,18000,1176000,1315000,-683000,2333000,5153000,2562000,-4195000,8051000,7569000,6629000,7188000,5284000,7138000,5861000,8326000,3281000,2563000,1522000,3238000,3525000,2052000,6859000,4451000,1769000,1797000,1449000,5216000,1938000,6743000,-4497000,-5698000,769000,1539000,795000,-3887000,-2165000,-2349000,-1266000,-3978000,-3000,475000,12000,216000
IncomeOtherOperatingIncome,1315000,274000,337000,81000,330000,502000,285000,189000,1378000,242000,1838000,465000,387000,424000,62000,1605000,-1257000,644000,1521000,774000,1220000,159000,84000,1618000,394000,161000,337000,200000,4309000,203000,526000,204000,831000,207000,220000,231000,385000,1528000,-828000,140000,663000,224000,-142000,942000,60257000,6000,2147000,1103000,2693000,153000,233000,121000,1971000
IncomeOtherOperatingCosts,123000,124000,155000,334000,111000,104000,137000,893000,222000,3141000,241000,2594000,840000,562000,1821000,4198000,173000,98000,444000,3876000,259000,11643000,241000,-9800000,107000,704000,22000,320000,28000,130000,7000,333000,40000,46000,63000,224797000,67000,50000,14000,22980000,44000,57000,20000,125904000,5895000,14753000,-1849000,7018000,-555000,740000,19000,-1886000,101000
IncomeEBIT,492000,41000,10000,117000,627000,1644000,856000,38000,-127000,1539000,-2890000,1917000,4653000,2346000,-9650000,8522000,8992000,6959000,4532000,5184000,-4421000,7238000,18520000,3335000,2196000,1700000,7227000,3700000,2448000,7056000,4949000,1936000,1971000,1617000,-219196000,3399000,5865000,-4371000,-28015000,949000,1340000,1717000,-69534000,-8054000,-14955000,1686000,-8303000,-3000,267000,656000,-871000,1363000,279000
IncomeFinanceIncome,321000,1489000,948000,110000,2809000,1035000,166000,230000,-76000,967000,-966000,265000,-21000,138000,7165000,-1402000,1601000,31000,405000,192000,7000,30000,23000,18000,360000,-70000,38000,0,100000,0,238000,17000,191000,-18000,189000,186000,0,202000,207000,440000,-322000,1832000,3759000,-3746000,64000,161000,391000,760000,2000,280000,22000,38000,70000
IncomeFinanceCosts,89000,21000,133000,15000,220000,1089000,1750000,474000,628000,573000,1097000,1000000,2194000,548000,645000,567000,560000,752000,1299000,1387000,2810000,1430000,2788000,1262000,1280000,1115000,6540000,905000,1415000,836000,18235000,1133000,618000,1055000,2260000,864000,503000,894000,4923000,200000,2299000,222000,1385000,,,,,,,,,,
IncomeOtherIncome,,,,,,,,-392000,7420000,,,,,,,,,,,,,,,,,,,,,,,,,-240000,-25415000,231000,14064000,0,,-352000,1235000,-1243000,-1283000,378000,533000,1508000,920000,157000,3347000,2658000,889000,253000,-423000
IncomeNetGrossProfit,1417000,-5606000,1708000,3612000,9331000,-10610000,6120000,8399000,6442000,4292000,4809000,-4974000,6516000,17244000,1966000,-254000,200000,4477000,2438000,1268000,5941000,-1353000,1048000,747000,763000,-237242000,2266000,5433000,-5426000,-30073000,85000,1044000,1023000,-100194000,-8254000,-15191000,19287000,-13434000,-3000,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-352000,1235000,-1243000,-1283000,378000,533000,1508000,920000,157000,3347000,2658000,889000,253000,-423000
IncomeBeforeTaxProfit,1417000,-5606000,1708000,3612000,9331000,-10610000,6120000,8399000,6442000,4292000,4809000,-4974000,6516000,17244000,1966000,-254000,200000,4477000,2438000,1268000,5941000,-1353000,1048000,747000,763000,-237242000,2266000,5433000,-5426000,-30073000,85000,1044000,1023000,-100194000,-8254000,-15191000,19287000,-13434000,-3000,,,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-421000,624000,-2393000,13007000,378000,533000,1508000,920000,157000,3751000,2482000,-609000,654000,-276000
IncomeNetProfit,994000,-5570000,1342000,3410000,8948000,-11736000,4137000,7137000,5102000,3811000,3673000,-5588000,5910000,15648000,1752000,-684000,85000,3991000,2219000,957000,4837000,-485000,882000,608000,-372000,-237833000,2199000,5070000,-5492000,-29454000,84000,1146000,859000,-100331000,-8254000,-15019000,19287000,-13465000,-3000,-421000,623000,-2392000,13007000,377000,534000,1508000,920000,157000,3751000,2482000,-609000,687000,-309000
IncomeShareholderNetProfit,994000,-5570000,1342000,3410000,8948000,-11736000,4137000,7137000,5102000,3811000,3673000,-5588000,5910000,15648000,1752000,-684000,85000,3991000,2219000,957000,4837000,-485000,882000,608000,-372000,-237833000,2199000,5070000,-5492000,-29454000,84000,1146000,859000,-100331000,-8254000,-15019000,19287000,-13290000,-3000,,,,,,,,,,,,,,
BalanceNoncurrentAssets,10020000,12152000,9996000,10752000,11321000,18398000,18894000,20832000,95570000,97994000,133208000,128291000,130194000,129034000,89854000,85027000,381579000,354608000,363381000,364405000,365566000,402036000,414099000,408991000,409912000,410279000,405881000,405539000,402989000,403510000,401176000,396709000,394246000,186343000,175049000,184635000,179286000,156632000,152217000,146268000,141940000,57337000,55560000,35082000,24512000,24518000,16247000,6207000,8426000,8927000,9577000,10215000,11203000
BalanceIntangibleAssets,11810000,18295000,91937000,93174000,127814000,122930000,124779000,119488000,83029000,76048000,330592000,305449000,318880000,317063000,322215000,359551000,373363000,370999000,372037000,373425000,370567000,368572000,365919000,371751000,370791000,367486000,364194000,154636000,145163000,156449000,151939000,130003000,126643000,121915000,119020000,38961000,38035000,33683000,23314000,23318000,3368000,3232000,958000,1064000,995000,754000,643000,696000,2075000,2096000,2778000,2562000,2425000
BalanceProperty,2230000,1602000,1472000,45401000,43972000,41306000,44484000,38910000,36724000,35161000,34016000,32672000,32844000,31536000,32416000,32195000,27455000,26081000,24845000,23506000,23441000,21014000,19599000,18461000,17608000,16417000,14961000,13512000,10787000,9936000,176000,126000,118000,,,,,,,,0,,,,36000,,,,52000,,,272000,276000
BalanceNoncurrentReceivables,276000,,,,,,,,,,,73000,73000,73000,73000,73000,73000,73000,73000,73000,73000,287000,107000,111000,111000,111000,6441000,6441000,643000,376000,396000,401000,391000,585000,391000,1677000,4223000,3461000,3461000,1508000,1508000,2824000,4553000,4553000,3031000,4131000,3016000,3021000,3021000,3021000,3021000,3021000,3021000
BalanceNoncurrInvestments,5189000,5184000,5189000,5189000,5488000,5184000,5320000,5319000,5334000,3777000,3777000,16155000,158000,387000,,,0,,1198000,1146000,2328000,2215000,2408000,2405000,6873000,3546000,3284000,2125000,1454000,1411000,1350000,1341000,1208000,1022000,945000,1072000,994000,757000,1530000,1854000,1283000,1283000,1357000,1357000,3009000,3610000,3325000,3325000,3764000,3764000,4000000,4001000,3739000
BalanceOtherNoncurrentAssets,3739000,1223000,1072000,1082000,92000,7282000,9270000,18345000,16940000,17832000,10005000,8624000,12139000,41375000,52196000,45221000,43437000,33131000,55109000,83009000,86611000,125519000,107058000,66398000,69044000,74294000,99604000,86724000,84511000,79987000,77590000,79373000,85326000,89389000,108434000,105312000,120926000,113383000,91150000,114770000,111648000,118728000,107785000,119268000,122026000,127752000,73526000,77068000,41227000,42919000,56590000,24125000,2114000
BalanceCurrentAssets,2372000,2130000,2496000,2363000,1878000,2121000,3079000,4160000,5238000,4183000,3562000,3406000,4201000,4085000,119000,94000,94000,407000,176000,115000,4467000,4682000,5789000,5536000,4767000,4728000,5092000,6192000,6766000,5656000,5606000,5756000,5925000,6599000,7070000,7669000,7644000,7977000,9650000,9289000,6622000,7887000,7939000,4880000,5543000,4650000,6339000,9028000,3054000,5020000,3664000,4019000,6476000
BalanceInventory,21646000,32917000,26148000,20628000,24783000,44863000,70330000,60069000,123244000,101546000,61975000,66294000,72757000,83217000,74121000,72136000,68687000,64947000,68130000,73822000,77463000,90197000,90784000,105850000,94987000,73393000,89885000,91950000,100434000,88947000,100195000,101093000,107057000,62727000,64122000,32831000,34468000,47293000,20716000,,205000,7133000,11231000,10117000,4002000,1836000,1779000,8657000,7300000,7208000,9009000,976000,
BalanceCurrentReceivables,6414000,0,396000,210000,66000,160000,5308000,4880000,5106000,5074000,4898000,4795000,4975000,5227000,8050000,8050000,8237000,8237000,9410000,9491000,9625000,8507000,10287000,10447000,10576000,10576000,3821000,3821000,227000,3353000,3403000,3403000,185000,,,,,,,,,,,,,,3966000,3970000,8594000,2181000,5022000,3806000,2508000
BalanceCurrentInvestments,1262000,6612000,3041000,1480000,690000,2978000,1720000,1437000,507000,3421000,822000,1233000,4403000,2422000,8795000,3003000,2118000,907000,649000,707000,830000,356000,1238000,230000,218000,351000,6000,333000,354000,54000,159000,332000,461000,648000,805000,6912000,6741000,7682000,10238000,2075000,20009000,,,,,,,,,,,,
BalanceCash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,3779000,0,7791000,7791000,4492000,4418000,6401000,4418000,4418000,4418000,4418000,4418000,4418000,4418000,4418000,4418000
BalanceOtherCurrentAssets,4418000,4418000,,,,,,,900000,900000,900000,900000,17302000,21422000,28341000,27694000,29154000,28403000,27518000,32971000,136945000,150190000,178429000,171728000,163325000,184143000,172863000,175417000,507098000,469457000,437570000,437941000,444278000,508041000,505241000,497920000,494317000,492287000,489672000,495283000,496796000,516362000,510906000,522053000,512047000,277493000,289819000,296283000,298014000,264417000,271485000,268294000,269692000
BalanceAssetsForSale,130863000,132628000,77209000,68331000,82008000,41272000,640000,8136000,22256000,22654000,21076000,23504000,23661000,27413000,110671000,111871000,117583000,111000000,113332000,115438000,124385000,110683000,392532000,380783000,357382000,362390000,356672000,369843000,371571000,371061000,371120000,373507000,373948000,377639000,382424000,381970000,382852000,383460000,383088000,133463000,134707000,137593000,132094000,102648000,100256000,104470000,105330000,4405000,-3849000,-18868000,419000,-12870000,20700000
BalanceTotalAssets,3276000,4348000,4348000,4348000,4348000,4348000,4348000,4348000,47832000,47832000,51437000,51437000,51437000,51437000,51437000,51437000,51437000,56581000,141244000,141244000,151005000,151005000,151005000,151005000,151005000,151005000,166034000,166034000,166034000,166034000,166034000,166034000,166034000,166034000,166034000,166034000,166034000,166034000,166034000,166033000,166034000,166033000,166033000,166033000,166033000,166033000,166033000,,,,,,
BalanceCapital,,,,,,,,,,,,,,,,-634000,-1025000,0,,-118000,-118000,,,,,,,,,,,,,,,,,,,,,,13730000,4970000,4996000,8350000,4996000,4996000,4996000,4996000,43001000,43000000,47457000
BalanceShareCapital,47457000,47457000,68835000,68594000,47649000,347701000,337181000,220828000,223875000,213656000,205405000,205381000,227743000,229390000,227784000,213935000,224309000,224453000,225722000,225722000,238456000,238456000,238406000,238406000,28713000,28711000,28701000,28854000,9241000,9242000,9088000,9088000,9088000,9088000,9089000,8343000,,,,,,,,0,,,,1249000,728000,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-470000,9075000,3845000,416000,439000,407000,198000,131000,939000,2378000,2908000,18103000,18236000,16371000,11290000,17127000,16004000,15014000,14103000,12336000,12319000,10572000
