,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1347000,1914000,1259000,2046000,2051000,2892000,3251000,4395000,3515000,4430000,3562000,3864000,4169000,4509000,4348000,5551000,4124000,5002000,4606000,6808000,4943000,6077000,5522000,6252000,5876000,6457000,7092000,5994000,6000000,8052000,7307000,8235000,5702000,8028000,6208000,5932000,6220000,8077000,5771000,8676000,7233000,8442000,7586000,9823000,9724000,12699000,11432000,13713000,11205000,11297000
IncomeCostOfSales,971000,1269000,1133000,977000,1157000,1678000,1983000,2474000,2015000,2610000,2034000,4284000,2677000,3479000,2949000,4309000,3043000,3648000,3575000,4690000,3857000,4653000,4297000,5322000,4479000,5222000,5991000,5146000,4846000,6067000,6261000,6571000,4047000,5969000,4911000,5140000,3976000,5225000,4570000,5547000,5210000,6429000,5332000,6869000,6379000,9566000,8059000,10247000,8053000,8359000
IncomeDistributionExpenses,41000,13000,34000,36000,54000,67000,113000,281000,111000,187000,149000,314000,167000,113000,127000,83000,281000,129000,146000,275000,198000,281000,212000,275000,225000,237000,317000,409000,370000,300000,298000,347000,390000,247000,299000,337000,342000,329000,312000,450000,379000,409000,598000,745000,536000,1586000,1312000,1225000,811000,460000
IncomeAdministrativExpenses,286000,202000,237000,356000,465000,739000,748000,862000,803000,997000,1098000,2365000,960000,761000,1184000,758000,539000,676000,714000,750000,601000,683000,652000,715000,607000,581000,648000,773000,582000,573000,565000,741000,628000,910000,782000,682000,749000,632000,652000,867000,731000,740000,907000,971000,1569000,245000,1014000,1003000,733000,980000
IncomeGrossProfit,49000,430000,-145000,677000,375000,408000,407000,778000,586000,636000,281000,-3099000,365000,156000,88000,401000,261000,549000,171000,1093000,287000,460000,361000,-60000,565000,417000,136000,-334000,202000,1112000,183000,576000,637000,902000,216000,-227000,1153000,1891000,237000,1812000,913000,864000,749000,1238000,1240000,1302000,1047000,1238000,1608000,1498000
IncomeOtherOperatingIncome,8000,11000,43000,36000,8000,48000,14000,41000,-15000,62000,103000,108000,84000,165000,107000,79000,114000,75000,139000,47000,184000,158000,93000,246000,323000,110000,143000,343000,223000,489000,475000,314000,209000,279000,433000,305000,129000,130000,211000,286000,192000,606000,1020000,551000,251000,426000,447000,274000,331000,451000
IncomeOtherOperatingCosts,43000,-18000,8000,64000,18000,32000,11000,66000,12000,15000,17000,139000,40000,79000,8000,85000,70000,154000,-26000,346000,38000,169000,31000,106000,189000,77000,26000,73000,39000,662000,111000,254000,160000,146000,207000,1402000,603000,372000,102000,393000,74000,-10000,244000,228000,21000,63000,35000,379000,96000,33000
IncomeEBIT,14000,459000,-110000,649000,365000,424000,410000,753000,559000,683000,367000,-3130000,409000,242000,187000,395000,305000,470000,336000,794000,433000,449000,423000,80000,699000,450000,253000,-64000,386000,939000,547000,636000,686000,1035000,442000,-1324000,679000,1649000,346000,1705000,1031000,1480000,1525000,1561000,1470000,1665000,1459000,1133000,1843000,1916000
IncomeFinanceIncome,0,,0,0,54000,29000,41000,13000,20000,22000,268000,-20000,77000,421000,395000,-225000,106000,48000,136000,-251000,14000,-8000,18000,196000,57000,-11000,50000,426000,3000,111000,22000,141000,2000,2000,71000,138000,130000,37000,62000,99000,46000,-30000,22000,25000,6000,45000,41000,159000,21000,152000
IncomeFinanceCosts,17000,19000,37000,82000,84000,42000,30000,45000,52000,79000,170000,1421000,589000,334000,252000,-141000,90000,236000,148000,-102000,93000,122000,69000,103000,96000,68000,75000,69000,67000,51000,23000,36000,42000,27000,82000,1882000,50000,62000,-32000,18000,15000,27000,15000,91000,91000,-34000,29000,39000,54000,3000
