,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,279329000,260020000,244506000,276289000,329877000,267721000,294096000,284003000,356125000,296223000,309961000,272120000,283680000,435588000,477302000,429236000,485702000,443561000,430758000,448146000,539395000,481531000,481540000,463831000,544973000,523224000,428279000,415281000,483424000,558387000,420569000,428376000,465442000,471878000,465166000,436920000,405046000,473189000,398697000,457255000
IncomeRevenues_yy,,,,,18.10,2.96,20.28,2.79,7.96,10.65,5.39,-4.18,-20.34,47.05,53.99,57.74,71.21,1.83,-9.75,4.41,11.05,8.56,11.79,3.50,1.03,8.66,-11.06,-10.47,-11.29,6.72,-1.80,3.15,-3.72,-15.49,10.60,1.99,-12.98,0.28,-14.29,4.65
IncomeRevenues_sy,,,,,6.13,15.40,28.84,21.78,34.32,68.31,51.92,39.47,7.96,26.10,0.46,-2.22,-27.54,-25.71,-18.74,-17.92,-13.94,-9.80,-23.65,-24.21,-5.12,-5.68,1.74,9.25,2.41,6.72,-19.92,-4.34,-1.94,20.78,18.07,3.84,-5.54,0.28,-13.13,4.65
IncomeRevenues_qq,,-6.91,-5.97,13.00,19.40,-18.84,9.85,-3.43,25.39,-16.82,4.64,-12.21,4.25,53.55,9.58,-10.07,13.16,-8.68,-2.89,4.04,20.36,-10.73,,-3.68,17.49,-3.99,-18.15,-3.03,16.41,15.51,-24.68,1.86,8.65,1.38,-1.42,-6.07,-7.30,16.82,-15.74,14.69
IncomeRevenues_sq,,-7.82,-6.49,13.60,8.26,23.94,27.82,17.01,25.39,1.82,5.24,9.69,-2.76,24.87,-4.64,-0.34,-18.52,-4.20,-3.54,6.76,-12.74,10.85,,-3.68,6.36,11.54,-18.09,-1.18,0.21,7.25,-21.67,11.26,5.88,14.88,-9.88,-2.34,-8.39,16.82,-15.74,14.69
IncomeCostOfSales,180520000,171186000,160919000,200256000,186643000,213115000,198424000,196572000,221996000,203771000,237143000,223322000,222416000,233815000,301373000,302320000,357215000,340578000,307886000,316455000,358413000,322510000,364108000,380686000,402622000,349652000,349711000,330294000,372447000,1002338000,312837000,394917000,364019000,357238000,339651000,349935000,330323000,-160748000,363167000,375613000
IncomeCostOfSales_yy,,,,,3.39,24.49,23.31,-1.84,18.94,-4.38,19.51,13.61,0.19,14.74,27.08,35.37,60.61,45.66,2.16,4.68,0.34,-5.31,18.26,20.30,12.33,8.42,-3.95,-13.24,-7.49,186.67,-10.54,19.57,-2.26,-64.36,8.57,-11.39,-9.26,-145.00,6.92,7.34
IncomeCostOfSales_sy,,,,,-3.18,12.62,27.41,7.96,18.94,53.22,19.51,24.10,7.84,14.74,19.67,31.24,7.21,7.73,0.01,-1.67,-9.24,-18.00,-17.98,-19.62,-10.43,-4.29,-3.95,6.34,0.05,6.28,-14.28,4.68,-4.66,-23.99,0.98,-4.42,-6.82,-9.66,6.92,12.16
IncomeCostOfSales_qq,,-5.17,-6.00,24.45,-6.80,14.18,-6.89,-0.93,12.93,-8.21,16.38,-5.83,-0.41,5.13,28.89,0.31,18.16,-4.66,-9.60,2.78,13.26,-10.02,12.90,4.55,5.76,-13.16,0.02,-5.55,12.76,169.12,-68.79,26.24,-7.82,-1.86,-4.92,3.03,-5.60,-148.66,325.92,3.43
IncomeCostOfSales_sq,,3.63,-18.86,26.82,-7.89,25.50,-3.13,15.70,12.93,5.02,2.79,13.46,-1.41,5.13,6.29,-1.18,-14.06,-0.70,-8.82,2.70,-11.92,2.52,-17.75,2.84,5.76,15.33,-8.63,7.09,-1.11,13.83,-38.12,19.94,-2.72,-3.64,-17.94,8.24,-2.44,17.25,-11.66,20.22
IncomeDistributionExpenses,7804000,15095000,10640000,12963000,17737000,-24000,8917000,10501000,7260000,9207000,9619000,9850000,10722000,8817000,9915000,10098000,13105000,10693000,9980000,11107000,12291000,10286000,9267000,9920000,9068000,11459000,8816000,8845000,10130000,10040000,9073000,8055000,10321000,13394000,12589000,8060000,8117000,12349000,10266000,9999000
IncomeDistributionExpenses_yy,,,,,127.28,-100.16,-16.19,-18.99,-59.07,38462.50,7.87,-6.20,47.69,-4.24,3.08,2.52,22.23,21.28,0.66,9.99,-6.21,-3.81,-7.14,-10.69,-26.22,11.40,-4.87,-10.84,11.71,-12.38,2.92,-8.93,1.89,33.41,38.75,0.06,-21.35,-7.80,-18.45,24.06
IncomeDistributionExpenses_sy,,,,,60.88,-41.72,-13.62,5.24,-59.07,114.76,13.84,35.69,67.52,41.04,1.46,63.53,35.84,21.28,-18.36,-7.44,-6.10,-23.41,-26.50,-11.03,-26.22,11.40,-4.87,-9.75,23.27,-11.42,-1.05,10.46,-2.49,-0.82,-6.90,-9.24,-23.38,-7.80,,5.72
IncomeDistributionExpenses_qq,,93.43,-29.51,21.83,36.83,-100.14,37254.17,17.76,-30.86,26.82,4.47,2.40,8.85,-17.77,12.45,1.85,29.78,-18.41,-6.67,11.29,10.66,-16.31,-9.91,7.05,-8.59,26.37,-23.06,0.33,14.53,-0.89,-9.63,-11.22,28.13,29.77,-6.01,-35.98,0.71,52.14,-16.87,-2.60
IncomeDistributionExpenses_sq,,29.38,3.60,4.98,28.41,-19.28,26.20,17.76,-16.01,26.82,12.84,5.71,6.66,-0.28,-3.82,13.74,-26.30,-13.16,-8.24,20.71,-28.79,-17.26,-16.21,7.05,-20.00,28.64,-23.06,5.02,14.53,4.96,-13.03,18.94,-0.17,4.20,-13.76,16.27,-5.40,14.88,-16.87,8.59
IncomeAdministrativExpenses,15699000,14344000,14238000,18221000,17625000,16533000,16436000,15767000,16804000,21210000,18364000,18698000,16984000,25967000,20803000,21783000,21262000,31256000,22107000,23641000,25789000,23566000,23060000,23595000,26426000,24130000,23298000,22849000,25916000,42657000,20043000,17682000,25160000,22715000,23596000,21168000,22271000,-33132000,26727000,23231000
IncomeAdministrativExpenses_yy,,,,,12.27,15.26,15.44,-13.47,-4.66,28.29,11.73,18.59,1.07,22.43,13.28,16.50,25.19,20.37,6.27,8.53,21.29,-24.60,4.31,-0.19,2.47,2.39,1.03,-3.16,-1.93,76.78,-13.97,-22.61,-2.92,-46.75,17.73,19.71,-11.48,-245.86,13.27,9.75
IncomeAdministrativExpenses_sy,,,,,3.05,8.90,19.16,-17.68,4.82,219.58,11.73,43.01,25.80,31.72,23.73,16.50,25.19,20.37,-16.20,-21.16,-12.14,-32.94,-14.60,-19.29,1.24,2.39,-16.07,-3.16,-32.17,-24.94,-17.64,-22.61,-2.92,-24.87,-15.53,1.40,-11.48,-110.78,21.40,30.87
IncomeAdministrativExpenses_qq,,-8.63,-0.74,27.97,-3.27,-6.20,-0.59,-4.07,6.58,26.22,-13.42,1.82,-9.17,52.89,-19.89,4.71,-2.39,47.00,-29.27,6.94,9.09,-8.62,-2.15,2.32,12.00,-8.69,-3.45,-1.93,13.42,64.60,-53.01,-11.78,42.29,-9.72,3.88,-10.29,5.21,-248.77,180.67,-13.08
