,2007/Q1,2007/Q4,2008/Q1,2008/Q2
IncomeRevenues,490266000,619686000,535569000,1410777000
IncomeCostOfSales,,,,1893110000
IncomeDistributionExpenses,,,,
IncomeAdministrativExpenses,,,,
IncomeGrossProfit,11609000,27940000,5289000,22138000
IncomeOtherOperatingIncome,17800000,69133000,11988000,7715000
IncomeOtherOperatingCosts,20508000,59819000,6346000,8900000
IncomeEBIT,37253000,10930000,35890000,-1161000
IncomeFinanceIncome,41551000,-22565000,-146914000,39469000
IncomeFinanceCosts,72715000,41252000,,
IncomeOtherIncome,,,-31730000,5373000
IncomeNetGrossProfit,-52887000,-71780000,,
IncomeExtraordinarProfit,,,-31730000,5373000
IncomeBeforeTaxProfit,-52887000,-71780000,7352000,-4298000
IncomeDiscontinuedProfit,0,,-17800000,11821000
IncomeNetProfit,-52182000,-80165000,-17413000,12179000
IncomeShareholderNetProfit,-51829000,-80501000,,
BalanceNoncurrentAssets,,1920668000,1896880000,
BalanceIntangibleAssets,1297759000,1281628000,,444168000
BalanceProperty,438257000,,,
BalanceNoncurrentReceivables,,,172294000,171354000
BalanceNoncurrInvestments,,6448000,5641000,
BalanceOtherNoncurrentAssets,1692853000,1467791000,,487152000
BalanceCurrentAssets,530633000,,766190000,596213000
BalanceInventory,,,,
BalanceCurrentReceivables,,438437000,339182000,
BalanceCurrentInvestments,1075000,1763000,,22567000
BalanceCash,23270000,,3636088000,3387941000
BalanceOtherCurrentAssets,,392945000,313444000,
BalanceAssetsForSale,17910000,17629000,,
BalanceTotalAssets,,,,372886000
BalanceCapital,347644000,,34387000,34200000
BalanceShareCapital,,1931056000,1902169000,
BalanceOwnShares,,,,
BalanceReserve,1681391000,1663825000,,
BalanceNonshareCapital,,,,
BalanceNoncurrentLiabilities,,,,249665000
BalanceNoncurrentTradeLiabilities,238344000,,1277699000,1138128000
BalanceNoncurrentBorrowings,,437362000,394890000,
BalanceNoncurrentObligations,337066000,323668000,,
BalanceNoncurrentLeasing,,,,
BalanceNoncurrentOtherLiabilities,,,,503271000
BalanceCurrentLiabilities,419570000,,,
BalanceCurrentTradePayablesv,,0,3636088000,3387941000
BalanceCurrentBorrowings,0,,,
BalanceCurrentObligations,,,,
BalanceCurrentLeasing,,,,
BalanceCurrentOtherLiabilities,,,,
BalanceReckoning,,,,
BalanceTotalEquityAndLiabilities,,,,
CashflowOperatingCashflow,32504000,50148000,-5641000,-42598000
CashflowAmortization,9287000,9313000,17276000,-139302000
CashflowInvestingCashflow,-111042000,-26091000,42263000,32504000
CashflowCapex,365364000,14456000,11222000,-69849000
CashflowFinancingCashflow,-60291000,-47294000,,
CashflowShareCapitalCash,,,,0
CashflowDividend,,,-95190000,-132534000
CashflowNetCashflow,-92376000,-45617000,,
