,2010/Q1,2010/Q2,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,7461000,7605000,9922000,9663000,12030000,9150000,11243000,11176000,11125000,9270000,9970000,10731000,11111000,9265000,12094000,10186000,11515000,7774000,12335000,9930000,11739000,7741000,11023000,9308000,10472000,8678000,12529000,9086000,11406000,9379000,12976000,10261000
IncomeCostOfSales,3675000,3641000,5033000,5044000,6327000,5004000,5890000,5985000,5926000,4667000,5391000,6241000,6500000,5555000,6905000,5674000,6132000,5241000,6706000,5356000,6401000,4509000,6056000,5092000,5858000,4690000,6012000,5739000,6078000,4778000,6662000,5295000
IncomeDistributionExpenses,1390000,1489000,1905000,2031000,3438000,2255000,2532000,2538000,2786000,2845000,2292000,1984000,5003000,2769000,2648000,2336000,2381000,2141000,2402000,2205000,2514000,2171000,2124000,2080000,2358000,2377000,3482000,2869000,6198000,2694000,2683000,2619000
IncomeAdministrativExpenses,586000,653000,719000,893000,725000,758000,883000,1040000,891000,954000,928000,1046000,918000,829000,804000,925000,900000,1065000,926000,1186000,1023000,1070000,1050000,1160000,994000,1175000,1286000,1665000,1288000,1410000,1326000,1614000
IncomeGrossProfit,1810000,1822000,2265000,1695000,1540000,1133000,1938000,1613000,1522000,804000,1359000,1460000,-1310000,112000,1737000,1252000,2101000,-673000,2302000,1182000,1801000,-9000,1793000,976000,1263000,435000,1750000,-1188000,-2158000,497000,2305000,733000
IncomeOtherOperatingIncome,44000,25000,93000,80000,80000,455000,150000,282000,162000,145000,171000,170000,131000,494000,148000,148000,172000,425000,152000,271000,151000,315000,116000,132000,117000,229000,118000,116000,95000,99000,124000,113000
IncomeOtherOperatingCosts,9000,3000,32000,22000,12000,70000,39000,51000,31000,228000,35000,154000,69000,272000,24000,86000,47000,143000,36000,162000,191000,219000,29000,156000,39000,68000,53000,46000,20000,89000,52000,31000
IncomeEBIT,1845000,1844000,2326000,1753000,1608000,1518000,2049000,1844000,1653000,721000,1495000,1476000,-1248000,334000,1861000,1314000,2226000,-391000,2418000,1291000,1761000,87000,1880000,952000,1341000,596000,1815000,-1118000,-2083000,507000,2377000,815000
IncomeFinanceIncome,32000,14000,5000,23000,25000,12000,33000,16000,30000,6000,6000,28000,26000,16000,14000,6000,2000,-19000,9000,14000,23000,-13000,17000,43000,21000,-16000,12000,-4000,1000,1000,2000,58000
IncomeFinanceCosts,67000,59000,119000,99000,124000,89000,57000,48000,29000,36000,19000,53000,72000,35000,21000,13000,2000,-24000,17000,31000,9000,-41000,2000,1000,46000,-40000,41000,15000,31000,61000,45000,43000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,1810000,1799000,2212000,1677000,1509000,1441000,2025000,1812000,1654000,691000,1482000,1451000,-1294000,315000,1854000,1307000,2226000,-386000,2410000,1274000,1775000,115000,1895000,994000,1316000,620000,1786000,-1137000,-2113000,447000,2334000,830000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,1810000,1799000,2212000,1677000,1509000,1441000,2025000,1812000,1654000,691000,1482000,1451000,-1294000,315000,1854000,1307000,2226000,-386000,2410000,1274000,1775000,115000,1895000,994000,1316000,620000,1786000,-1137000,-2113000,447000,2334000,830000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,1424000,1453000,1725000,1416000,1199000,1156000,1548000,1552000,1342000,508000,1133000,1223000,-1111000,258000,1504000,1014000,1764000,-291000,1958000,1002000,1453000,65000,1485000,848000,1017000,494000,1312000,-713000,-1841000,581000,1916000,416000
IncomeShareholderNetProfit,1424000,1453000,1725000,1416000,1199000,1156000,1548000,1552000,1342000,508000,1133000,1223000,-1111000,258000,1504000,1014000,1764000,-291000,1958000,1002000,1453000,65000,1485000,848000,1017000,494000,1312000,-713000,-1841000,581000,1916000,416000
BalanceNoncurrentAssets,9260000,12844000,16379000,20296000,20161000,20094000,20203000,20396000,20582000,20190000,19925000,19807000,19339000,18881000,18484000,18343000,18171000,17732000,17906000,18282000,18328000,17952000,18190000,18005000,17712000,17751000,17691000,17712000,18123000,18566000,18699000,19965000
BalanceIntangibleAssets,2000,1000,12000,19000,21000,18000,13000,12000,9000,79000,105000,90000,90000,139000,132000,125000,123000,122000,116000,114000,135000,129000,117000,110000,106000,119000,127000,116000,142000,162000,148000,137000
BalanceProperty,9199000,12786000,16287000,20103000,20009000,20004000,20114000,20240000,20419000,20004000,19722000,19512000,19048000,18620000,18232000,18052000,17896000,17499000,17659000,17911000,17933000,17706000,17908000,17586000,17303000,17477000,17428000,17314000,17713000,18048000,18195000,19453000
BalanceNoncurrentReceivables,,,,,,9000,11000,11000,21000,18000,12000,14000,8000,15000,9000,32000,20000,5000,28000,23000,12000,9000,54000,45000,39000,30000,16000,21000,9000,7000,7000,8000
BalanceNoncurrInvestments,2000,28000,47000,4000,50000,50000,,,,,,,,,,,,,,,,,,,,,57000,57000,52000,127000,127000,63000
BalanceOtherNoncurrentAssets,65000,83000,83000,89000,86000,191000,193000,107000,111000,134000,132000,106000,103000,234000,248000,108000,111000,264000,264000,125000,120000,261000,259000,349000,349000,367000,8566000,6610000,9538000,11286000,9774000,9918000
BalanceCurrentAssets,10772000,11462000,10632000,9928000,12144000,13698000,13409000,10113000,12507000,11546000,11989000,11829000,13091000,13830000,14227000,12000000,13545000,14336000,14433000,12470000,15487000,14873000,12519000,10437000,14271000,12406000,264000,227000,1494000,1975000,2011000,2192000
BalanceInventory,1932000,2298000,1892000,2093000,1895000,2189000,2340000,2407000,1841000,1710000,1909000,1665000,1403000,1651000,1987000,1924000,1936000,2056000,2019000,1960000,1885000,2008000,2018000,2388000,2180000,2766000,5037000,4244000,6847000,6262000,6480000,7131000
BalanceCurrentReceivables,7814000,6639000,7941000,6676000,8804000,9257000,9432000,6416000,9630000,7463000,7951000,6376000,9683000,7291000,7404000,5398000,9077000,7307000,7869000,5680000,10074000,7579000,9136000,6944000,11027000,8255000,,,,56000,74000,
BalanceCurrentInvestments,49000,49000,99000,153000,54000,54000,54000,59000,59000,59000,59000,59000,45000,45000,45000,,,,,,,3068000,1646000,530000,2769000,1012000,503000,692000,2236000,568000,842000,889000
BalanceCash,1791000,821000,1053000,485000,1712000,1629000,3376000,1152000,4155000,4248000,4447000,2123000,4684000,4294000,4631000,3151000,4205000,1151000,973000,678000,1064000,197000,493000,667000,224000,197000,92000,334000,240000,182000,218000,403000
BalanceOtherCurrentAssets,407000,762000,183000,492000,602000,441000,353000,794000,688000,588000,186000,364000,289000,251000,199000,377000,1081000,214000,132000,386000,321000,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,,17826000,19454000,25917000,31582000,29935000,30012000,30975000,31858000,31214000,30118000,32069000
BalanceTotalAssets,33505000,32748000,28993000,30989000,29887000,30160000,29561000,30996000,32110000,32556000,29951000,31735000,32342000,32145000,30223000,33178000,32585000,30643000,29004000,32970000,32370000,10504000,10957000,11528000,16320000,17519000,17108000,18657000,18047000,19390000,18873000,20005000
BalanceCapital,19069000,17958000,18216000,19720000,19250000,21012000,20722000,21438000,20874000,22325000,20934000,22419000,21215000,22232000,21565000,22877000,15980000,14139000,14721000,16636000,14487000,500000,500000,500000,540000,540000,540000,540000,540000,540000,540000,540000
BalanceShareCapital,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,540000,,,,,,,,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,,,,,,5176000,7941000,7582000,12639000,12639000,12639000,12639000,14408000,14408000,14408000,14408000
BalanceReserve,16173000,16173000,16173000,16173000,16192000,16191000,16191000,16191000,17374000,17374000,17374000,17374000,18342000,18342000,18342000,18342000,14841000,14841000,14842000,14841000,11615000,,,,,,,,,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,,,,,,,,3496000,4274000,8476000,7286000,6838000,6641000,5683000,5957000,5764000,5558000,5350000
BalanceNoncurrentLiabilities,5230000,7518000,5637000,5333000,4291000,4166000,4031000,3907000,3856000,3796000,4152000,4079000,4010000,3928000,3952000,3869000,4596000,7304000,8472000,9185000,8147000,1749000,1749000,5416000,4250000,3666000,4083000,1620000,916000,861000,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,749000,666000,610000,3002000,1178000,1000000
BalanceNoncurrentBorrowings,1000,1000,66000,47000,46000,35000,25000,15000,4000,881000,3196000,4475000,5611000,4446000,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,1747000,2525000,3060000,3036000,3172000,2558000,4063000,5041000,4903000,4809000,4684000,4620000,4516000,4459000,4333000,4291000,4166000,4031000
BalanceNoncurrentOtherLiabilities,3906000,3855000,3730000,4105000,4033000,3975000,3903000,3937000,3865000,3715000,4108000,3997000,3574000,3701000,3824000,4223000,5912000,7975000,5576000,6263000,6635000,7853000,6060000,5687000,6714000,9206000,7271000,5139000,5935000,6346000,4981000,4809000
BalanceCurrentLiabilities,5653000,7380000,6435000,4865000,5237000,7118000,5985000,4706000,6434000,12008000,9199000,5811000,7147000,9736000,3605000,4028000,5532000,7612000,5368000,5626000,5943000,7078000,5314000,4526000,5824000,8203000,6305000,4152000,4873000,5267000,3947000,3966000
BalanceCurrentTradePayablesv,4728000,6015000,5099000,4441000,4390000,5891000,4448000,4224000,5474000,10816000,7645000,3500000,6196000,8569000,,,,,,,,,,334000,,,,,,,,4728000
BalanceCurrentBorrowings,33000,,41000,,,1814000,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,167000,160000,181000,233000,208000,178000,233000,223000,194000,321000,387000,501000,465000,486000,561000,578000,533000,342000,424000,-3863000,836000,102000,558000,937000,1248000
BalanceCurrentOtherLiabilities,151000,670000,903000,1248000,207000,662000,877000,52000,35000,199000,130000,459000,459000,552000,552000,506000,503000,502000,501000,501000,501000,501000,501000,501000,501000,500000,500000,289000,289000,290000,289000,290000
BalanceReckoning,290000,289000,306000,290000,289000,290000,17824000,19454000,25916000,31581000,29933000,30012000,30975000,31857000,31214000,30118000,32069000,33505000,32747000,28992000,30988000,29887000,30159000,29562000,30998000,32110000,32556000,29951000,31735000,32343000,32145000,30223000
BalanceTotalEquityAndLiabilities,33180000,32584000,30642000,29004000,32968000,32370000,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,1244000,4923000,2084000,2744000,1153000,992000,4253000,-33000,1423000,1595000,471000,1129000,-763000,2192000,-275000,2541000,1776000,1848000,-452000,3336000,2381000,1693000,-1806000,2914000,1459000,1345000,-1089000,-794000,-666000,719000,-387000,2575000
CashflowAmortization,209000,217000,406000,412000,533000,541000,531000,543000,557000,587000,481000,493000,499000,506000,492000,500000,508000,519000,377000,407000,425000,456000,427000,430000,436000,457000,433000,436000,443000,453000,418000,424000
CashflowInvestingCashflow,-1296000,-3817000,-375000,-3370000,-1354000,-507000,-642000,-626000,-859000,-155000,-332000,-153000,-91000,-114000,-108000,-312000,-373000,-102000,-530000,-333000,-722000,-7000,-617000,-234000,208000,-1002000,-385000,-223000,-868000,-820000,-493000,-1701000
CashflowCapex,1304000,3803000,403000,3398000,1374000,545000,726000,608000,897000,155000,340000,282000,91000,342000,260000,312000,459000,163000,610000,548000,841000,70000,617000,296000,-162000,1024000,464000,349000,868000,607000,641000,1701000
CashflowFinancingCashflow,1302000,-2527000,-1241000,2865000,-1623000,-930000,-3422000,2204000,-2232000,-1165000,-92000,-74000,-118000,-1846000,-186000,-1001000,-1485000,0,-1242000,0,-1566000,-1487000,100000,-119000,-2058000,-6000,-5000,2071000,-1521000,-76000,585000,-490000
CashflowShareCapitalCash,,,,4376000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,1000000,,999000,0,1566000,2160000,1026000,,2160000,0,,,1485000,0,1242000,0,1566000,1458000,,2052000,0,,,6183000,0,,,1250000,-1421000,468000,2239000,-1758000
