,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,216694000,224149000,230710000,237561000,218380000,203422000,230537000,209718000,204392000,205580000,205559000,222494000,237470000,243483000,271159000,369056000,375665000,373679000,370281000,386246000,386979000,393698000,394465000,394154000,401189000,396280000,394616000,426718000,544279000,536472000,521073000,519532000,490690000,477492000,457076000,450758000,434371000,422161000,413407000,404100000,388718000,380340000,400426000,402697000,390494000,386874000,372920000,371683000,365010000,361110000,356461000,359904000,346903000,342869000,340834000
IncomeCostOfSales,,,,,152584000,149863000,177249000,150179000,155041000,153985000,159444000,169082000,181794000,191557000,197439000,252723000,251818000,257247000,246973000,249448000,260216000,262215000,278595000,274953000,270234000,272324000,269946000,290525000,380003000,377840000,362946000,363427000,328994000,322544000,300972000,312832000,292555000,291652000,287971000,290939000,278653000,268649000,275907000,292394000,278785000,269107000,261361000,263870000,244046000,242909000,239213000,248908000,226525000,231471000,224029000
IncomeDistributionExpenses,,,,,29920000,43017000,36281000,38831000,37957000,43579000,54279000,65355000,57055000,60562000,65279000,92289000,84104000,85316000,84227000,84799000,77936000,77125000,78062000,79742000,72271000,75136000,70841000,79005000,109070000,99154000,89275000,94570000,93604000,89294000,87565000,88063000,76257000,76921000,81322000,74484000,70563000,77658000,73170000,73916000,77538000,74962000,76778000,65202000,72815000,72676000,66570000,63352000,69555000,65406000,66534000
IncomeAdministrativExpenses,,,,,33063000,31990000,36010000,37839000,35298000,35899000,35629000,37925000,34556000,32662000,34432000,44620000,46585000,41588000,41314000,43971000,36949000,35118000,35328000,34854000,36040000,39424000,31104000,45905000,56868000,54534000,45137000,51071000,45665000,42938000,40997000,49586000,45599000,45170000,45960000,63892000,36954000,31329000,34936000,42484000,37217000,34490000,36024000,41476000,36119000,35229000,36901000,39954000,32542000,30491000,30709000
IncomeGrossProfit,43950000,43433000,43737000,29867000,2813000,-21448000,-19003000,-17131000,-23904000,-27883000,-43793000,-49868000,-35935000,-41298000,-25991000,-20576000,-6842000,-10472000,-2233000,8028000,11878000,19240000,2480000,4605000,22644000,9396000,22725000,11283000,-1662000,4944000,23715000,10464000,22427000,22716000,27542000,277000,19960000,8418000,-1846000,-25215000,2548000,2704000,16413000,-6097000,-3046000,8315000,-1243000,1135000,12030000,10296000,13777000,7690000,18281000,15501000,19562000
IncomeOtherOperatingIncome,85000,1912000,3117000,8624000,967000,11911000,44220000,21220000,13758000,19634000,8079000,5205000,6876000,8099000,3299000,6267000,3891000,5604000,9402000,8958000,7684000,2019000,11899000,227172000,4403000,3496000,4839000,228116000,6740000,8787000,4591000,-72909000,4921000,4742000,5847000,9561000,3578000,6391000,5298000,152083000,3933000,7936000,5089000,5846000,4044000,4391000,6761000,6030000,3830000,8457000,7183000,9222000,3976000,5117000,3764000
IncomeOtherOperatingCosts,19138000,18808000,18099000,28371000,9623000,-46000,87000,355269000,4764000,0,0,304000,20000,31000,22000,374000,100000,100000,100000,1768000,0,782000,0,440000,997000,-1000,2000,3206000,955000,955000,958000,2766000,76000,1018000,563000,3617000,2854000,585000,340000,7521000,442000,396000,1343000,8275000,846000,0,182000,124000,22000,114000,272000,175000,321000,282000,196000
IncomeEBIT,24897000,26537000,28755000,10120000,-5843000,-9491000,25130000,-351180000,-14910000,-8249000,-35714000,-44967000,-29079000,-33230000,-22714000,-14683000,-3051000,-4968000,7069000,15218000,19562000,20477000,14379000,231337000,26050000,12893000,27562000,236193000,4123000,12776000,27348000,-65211000,27272000,26440000,32826000,6221000,20684000,14224000,3112000,119347000,6039000,10244000,20159000,-8526000,152000,12706000,5336000,7041000,15838000,18639000,20688000,16737000,21936000,20336000,23130000
IncomeFinanceIncome,4662000,4731000,3797000,2263000,3077000,2324000,1425000,1408000,1816000,1194000,339000,645000,633000,4085000,3696000,2275000,2104000,1730000,1462000,2268000,2763000,4409000,1529000,2957000,3282000,4246000,7081000,3679000,1822000,2272000,669000,1508000,1844000,2185000,-349000,205000,1052000,898000,1174000,1503000,949000,2097000,71000,324000,260000,737000,-74000,417000,35000,27000,426000,-322000,502000,3260000,919000
IncomeFinanceCosts,1704000,1819000,1836000,1846000,1713000,1835000,1628000,2083000,28000,33000,42000,1414000,2334000,9707000,-592000,-1590000,5987000,4935000,4334000,5451000,4892000,2081000,1553000,118000,222000,401000,-321000,3408000,15157000,11992000,11017000,8047000,9256000,10118000,7474000,5376000,5603000,5802000,7561000,16616000,2243000,1655000,3926000,2842000,2825000,1772000,2412000,1649000,2144000,1189000,1735000,2597000,1589000,1548000,2137000
IncomeOtherIncome,,,,,,,,,,0,,,,353427000,-46000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27855000,29449000
IncomeNetGrossProfit,30716000,10537000,-4479000,-9002000,24927000,-351855000,-13122000,-7088000,-35417000,-45736000,-30780000,314575000,-18472000,-10818000,-6934000,-8173000,4197000,12035000,17433000,22805000,14355000,234176000,29110000,16738000,34964000,236464000,-9212000,3056000,17000000,-71750000,19860000,18507000,25003000,1050000,16133000,9320000,-3275000,104234000,4745000,10686000,16304000,-11044000,-2413000,11671000,2850000,5809000,13729000,17477000,19379000,13818000,20849000,22048000,21912000,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27855000,29449000
IncomeBeforeTaxProfit,30716000,10537000,-4479000,-9002000,24927000,-351855000,-13122000,-7088000,-35417000,-45736000,-30780000,314575000,-18472000,-10818000,-6934000,-8173000,4197000,12035000,17433000,22805000,14355000,234176000,29110000,16738000,34964000,236464000,-9212000,3056000,17000000,-71750000,19860000,18507000,25003000,1050000,16133000,9320000,-3275000,104234000,4745000,10686000,16304000,-11044000,-2413000,11671000,2850000,5809000,13729000,17477000,19379000,13818000,20849000,22048000,21912000,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23305000,25137000
IncomeNetProfit,22835000,-11087000,-10638000,-12664000,17794000,-372847000,-37802000,-51010000,-80543000,-99526000,-55294000,314581000,-18586000,-10096000,-6401000,-8234000,4236000,99096000,14352000,15556000,12410000,221577000,-23045000,12911000,24656000,234264000,-9846000,21018000,10035000,-108911000,13144000,8584000,14066000,10496000,10953000,8295000,-4416000,160001000,1261000,6564000,8282000,-13894000,-10246000,23701000,16828000,2383000,12459000,13783000,13798000,-4541000,21180000,11715000,18825000,23113000,24915000
IncomeShareholderNetProfit,22637000,-11638000,-10781000,-12828000,17651000,-372950000,-37855000,-51085000,-80642000,-99902000,-55294000,314581000,-18586000,-10096000,-6401000,-8234000,4236000,99096000,14352000,15556000,12410000,221577000,-23045000,12911000,24656000,234264000,-9846000,21018000,10035000,-108911000,13144000,8584000,14066000,10496000,10953000,8295000,-4416000,160001000,1261000,6564000,8282000,-13894000,-10246000,23701000,16828000,2383000,12459000,13783000,13798000,-4541000,21180000,11715000,18825000,,
BalanceNoncurrentAssets,2118502000,2084523000,2163274000,2200125000,2135874000,2181144000,2203442000,1847682000,1819651000,1842933000,1847098000,1835067000,1656963000,1655616000,1794276000,1888671000,1881340000,1857042000,1806460000,1898753000,1829827000,1809486000,1762285000,1973707000,1944855000,1923096000,1908332000,3100374000,3016452000,2979313000,2924893000,2776644000,2732883000,2677753000,2624720000,2620649000,2564579000,2513023000,2463076000,2407968000,2347226000,2296304000,2500530000,2399389000,2323140000,2288002000,2246417000,2226228000,2196435000,2184701000,2161190000,2160320000,2146267000,2134690000,2138438000
