,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,23805000,27349000,22222000,21225000,28719000,39407000,35362000,23790000,23872000,60803000,50711000,33356000,32694000,40878000,30211000,38396000,31775000,46104000,34998000,45714000,40577000,52637000,36210000,35262000,36677000,59372000,32279000,34751000,37267000,63448000,37508000,41478000,50201000,43055000,35193000,40443000,26955000,36299000,31473000,40382000,47065000,64025000,43134000,62817000,70192000,79203000,51556000,54419000
IncomeCostOfSales,17891000,26474000,14929000,14248000,26631000,37896000,26444000,15445000,23065000,58893000,43035000,20779000,30239000,37880000,20065000,35370000,29182000,31414000,28940000,36912000,36611000,43111000,31077000,29609000,31303000,46805000,24479000,25692000,32339000,50544000,26058000,32570000,42510000,32852000,25962000,31066000,17656000,25661000,20028000,28711000,35854000,49869000,31274000,47205000,57997000,56502000,34676000,41908000
IncomeDistributionExpenses,65000,65000,81000,126000,105000,123000,123000,123000,111000,116000,123000,144000,108000,135000,144000,132000,143000,170000,159000,190000,181000,282000,172000,165000,167000,197000,175000,173000,182000,184000,189000,220000,199000,201000,198000,232000,207000,203000,207000,244000,229000,232000,256000,287000,234000,313000,218000,241000
IncomeAdministrativExpenses,405000,658000,663000,379000,498000,558000,572000,873000,554000,1361000,655000,715000,599000,717000,680000,806000,966000,1149000,611000,819000,723000,565000,679000,1205000,477000,517000,706000,770000,775000,880000,795000,891000,860000,923000,876000,861000,977000,1025000,980000,1053000,943000,1401000,1546000,1052000,1418000,3872000,1668000,1245000
IncomeGrossProfit,5444000,152000,6549000,6472000,1485000,830000,8223000,7349000,142000,433000,6898000,11718000,1748000,2146000,9322000,2088000,1484000,13371000,5288000,7793000,3062000,8679000,4282000,4283000,4730000,11853000,6919000,8116000,3971000,11840000,10466000,7797000,6632000,9079000,8157000,8284000,8115000,9410000,10258000,10374000,10039000,12523000,10058000,14273000,10543000,18516000,14994000,11025000
IncomeOtherOperatingIncome,194000,6000,19000,43000,157000,212000,161000,251000,195000,555000,79000,326000,45000,129000,40000,108000,232000,488000,810000,64000,5561000,332000,107000,118000,103000,294000,354000,136000,52000,352000,527000,598000,650000,2557000,110000,1078000,-153000,1657000,984000,5297000,-76000,1161000,364000,467000,55000,486000,4496000,445000
IncomeOtherOperatingCosts,-46000,28000,34000,95000,47000,139000,80000,185000,150000,688000,196000,115000,62000,260000,49000,398000,43000,903000,203000,454000,319000,926000,1810000,549000,497000,1017000,300000,757000,281000,1457000,349000,731000,11000,2306000,326000,646000,167000,1107000,858000,861000,61000,1828000,567000,620000,-346000,12306000,5506000,1010000
IncomeEBIT,5684000,130000,6534000,6420000,1595000,903000,8304000,7415000,187000,300000,6781000,11929000,1731000,2015000,9313000,1798000,1673000,12956000,5895000,7403000,8304000,8085000,2579000,3852000,4336000,11130000,6973000,7495000,3742000,10735000,10644000,7664000,7271000,9330000,7941000,8716000,7795000,9960000,10384000,14810000,9902000,11856000,9855000,14120000,10944000,6696000,13984000,10460000
IncomeFinanceIncome,84000,75000,113000,100000,401000,1370000,625000,742000,719000,837000,486000,296000,325000,230000,198000,108000,95000,358000,467000,385000,453000,663000,5752000,887000,404000,149000,91000,175000,14000,326000,62000,262000,4000,442000,240000,110000,88000,265000,203000,453000,320000,141000,121000,217000,347000,1452000,348000,272000
IncomeFinanceCosts,15000,30000,30000,47000,27000,63000,48000,62000,36000,241000,105000,61000,198000,197000,240000,141000,295000,1277000,1345000,987000,1291000,1618000,1512000,1462000,1450000,2576000,1891000,2537000,1586000,4030000,1849000,3010000,1529000,4334000,2505000,2837000,3415000,4024000,3171000,4543000,3384000,3707000,3122000,2760000,2528000,3522000,2618000,3234000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,80000,-160000,-118000,-885000,-409000,-1011000,-90000,-20000,-8000,-164000,-22000,-24000,-73000,-19000,-20000,5753000,175000,6617000,6473000,1969000,2210000,8881000,8095000,870000,896000,7162000
IncomeNetGrossProfit,12164000,1858000,2048000,9271000,1765000,1473000,12037000,5017000,6801000,7466000,7130000,6899000,3197000,3130000,8863000,5055000,5251000,1285000,7916000,8448000,5325000,4735000,6449000,5586000,6079000,4448000,6221000,7408000,10728000,6674000,8454000,6832000,11553000,8690000,4745000,11695000,7478000,,,,-124000,0,0,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5753000,175000,6617000,6349000,1969000,2210000,8881000,8095000,870000,896000,7162000,12164000
IncomeBeforeTaxProfit,1858000,2048000,9271000,1765000,1473000,12037000,5017000,6801000,7466000,7130000,6899000,3197000,3130000,8863000,5055000,5251000,1285000,7916000,8448000,5325000,4735000,6449000,5586000,6079000,4448000,6221000,7408000,10728000,6674000,8454000,6832000,11553000,8690000,4745000,11695000,7478000,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4660000,26000,5297000,5191000,1570000,2264000,7169000,6561000,473000,908000,5771000,9764000
IncomeNetProfit,1562000,1523000,7487000,1380000,1209000,10100000,4337000,5387000,5890000,5558000,5089000,2705000,2500000,7354000,4065000,4209000,1022000,6204000,6779000,4300000,3851000,5293000,4525000,4882000,3599000,4882000,6111000,8617000,5493000,6406000,5758000,8918000,9838000,510000,10862000,6442000,4660000,26000,5297000,5191000,1570000,2264000,7169000,6561000,456000,925000,5796000,9739000
IncomeShareholderNetProfit,1562000,1523000,7487000,1380000,1209000,10100000,4337000,5387000,5890000,5558000,5089000,2705000,2500000,7354000,4065000,4209000,1022000,6204000,6779000,4300000,3851000,5293000,4525000,4882000,3599000,4882000,6111000,8617000,5493000,6406000,5758000,8918000,9838000,510000,10862000,6442000,,,,,,,,,,,,
