,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,121421000,165612000,134125000,259353000,134431000,257527000,317474000,191179000,204968000,206354000,171231000,452920000,74190000,144879000,119099000,220893000,164965000,117604000,168960000,338336000,119488000,255678000
IncomeRevenues_yy,,,,,10.71,55.50,136.70,-26.29,52.47,-19.87,-46.06,136.91,-63.80,-29.79,-30.45,-51.23,122.35,-18.83,41.87,53.17,-27.57,117.41
IncomeRevenues_sy,,,,,3.44,11.59,12.37,8.89,10.12,11.58,5.34,1.82,4.48,-1.98,-9.07,2.93,7.10,1.58,8.93,10.04,11.82,14.40
IncomeRevenues_qq,,36.39,-19.01,93.37,-48.17,91.57,23.28,-39.78,7.21,0.68,-17.02,164.51,-83.62,95.28,-17.79,85.47,-25.32,-28.71,43.67,100.25,-64.68,113.98
IncomeRevenues_sq,,7.55,2.57,4.41,-9.38,10.20,3.68,7.55,-10.60,13.52,2.24,5.28,-18.10,12.98,-3.94,7.61,-12.66,7.11,11.91,1.30,-5.80,8.21
IncomeCostOfSales,96783000,130329000,110275000,204985000,113143000,192965000,248416000,162556000,173897000,166435000,140561000,361175000,71772000,123976000,104993000,173616000,134432000,110313000,149227000,291661000,100816000,217998000
IncomeCostOfSales_yy,,,,,16.90,48.06,125.27,-20.70,53.70,-13.75,-43.42,122.18,-58.73,-25.51,-25.30,-51.93,87.30,-11.02,42.13,67.99,-25.01,97.62
IncomeCostOfSales_sy,,,,,0.87,13.99,10.85,15.34,13.68,9.48,6.50,0.42,-0.23,-1.30,-2.28,4.10,2.72,5.68,9.21,3.43,9.56,7.52
IncomeCostOfSales_qq,,34.66,-15.39,85.89,-44.80,70.55,28.74,-34.56,6.98,-4.29,-15.55,156.95,-80.13,72.74,-15.31,65.36,-22.57,-17.94,35.28,95.45,-65.43,116.23
IncomeCostOfSales_sq,,4.32,5.76,11.63,-13.97,9.82,4.43,11.15,-11.14,14.66,4.82,9.64,-19.82,9.56,0.96,7.40,-13.29,8.42,4.26,4.23,-13.61,11.13
IncomeDistributionExpenses,574000,245000,695000,685000,201000,177000,1144000,516000,223000,250000,544000,1151000,637000,263000,325000,1012000,263000,254000,276000,556000,126000,756000
IncomeDistributionExpenses_yy,,,,,-64.98,-27.76,64.60,-24.67,10.95,41.24,-52.45,123.06,185.65,5.20,-40.26,-12.08,-58.71,-3.42,-15.08,-45.06,-52.09,197.64
IncomeDistributionExpenses_sy,,,,,6.53,4.85,9.72,-6.77,6.80,3.87,1.68,14.01,9.27,7.79,4.00,6.12,5.62,5.11,9.20,9.83,-1.76,7.77
IncomeDistributionExpenses_qq,,-57.32,183.67,-1.44,-70.66,-11.94,546.33,-54.90,-56.78,12.11,117.60,111.58,-44.66,-58.71,23.57,211.38,-74.01,-3.42,8.66,101.45,-77.34,500.00
IncomeDistributionExpenses_sq,,4.84,2.78,15.00,-18.02,14.53,-0.38,7.04,-9.66,8.70,-0.86,13.30,-16.42,14.34,-3.04,14.18,-5.51,8.28,2.12,11.22,-15.93,10.61
IncomeAdministrativExpenses,13871000,13218000,14240000,15755000,14588000,14904000,15985000,18282000,16444000,31189000,21479000,1516000,14818000,17076000,18674000,21501000,15642000,17165000,14415000,19608000,19392000,15303000
IncomeAdministrativExpenses_yy,,,,,5.17,12.76,12.25,16.04,12.72,109.27,34.37,-91.71,-9.89,-45.25,-13.06,1318.27,5.56,0.52,-22.81,-8.80,23.97,-10.85
IncomeAdministrativExpenses_sy,,,,,1.91,2.76,1.67,5.18,8.60,7.35,3.04,2.56,4.65,-0.67,-0.45,7.89,1.59,5.14,6.80,0.26,4.82,2.66
IncomeAdministrativExpenses_qq,,-4.71,7.73,10.64,-7.41,2.17,7.25,14.37,-10.05,89.67,-31.13,-92.94,877.44,15.24,9.36,15.14,-27.25,9.74,-16.02,36.02,-1.10,-21.09
IncomeAdministrativExpenses_sq,,6.28,-7.94,6.96,-1.97,3.81,-5.00,15.10,-9.02,1.72,-7.65,12.99,-6.98,2.35,-3.96,11.40,-6.59,5.18,-2.01,14.33,-10.08,4.80
IncomeGrossProfit,10193000,21820000,8915000,37928000,6499000,49481000,51929000,9825000,14404000,8480000,8647000,89078000,-13037000,3564000,-4893000,24764000,14628000,-10128000,5042000,26511000,-846000,21621000
IncomeGrossProfit_yy,,,,,-36.24,126.77,482.49,-74.10,121.63,-82.86,-83.35,806.65,-190.51,-57.97,-156.59,-72.20,212.20,-384.18,203.05,7.05,-105.78,313.48
IncomeGrossProfit_sy,,,,,23.94,21.77,27.74,6.79,-3.66,14.32,-15.81,-9.80,-13.46,-24.51,-29.80,-9.30,17.57,-32.87,-3.43,-20.65,28.19,25.89
IncomeGrossProfit_qq,,114.07,-59.14,325.44,-82.86,661.36,4.95,-81.08,46.61,-41.13,1.97,930.16,-114.64,127.34,-237.29,606.11,-40.93,-169.24,149.78,425.80,-103.19,2655.67
