,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,64788000,73297000,94586000,87629000,93957000,97926000,96384000,121119000,133044000,117026000,117139000,83504000,104675000,115842000,113244000,106513000,96015000,83991000,75820000,84014000,87018000,93266000,93218000,50633000,74645000,79442000,81412000,82332000,90100000,90185000,86124000,85246000,96474000,95722000
IncomeRevenues_yy,,,,,45.02,33.60,1.90,38.22,41.60,19.50,21.53,-31.06,-21.32,-1.01,-3.33,27.55,-8.27,-27.50,-33.05,-21.12,-9.37,11.04,22.95,-39.73,-14.22,-14.82,-12.66,62.61,20.70,13.52,5.79,3.54,7.07,6.14
IncomeRevenues_sy,,,,,0.53,53.64,28.58,17.55,49.73,11.46,9.48,-10.04,-12.56,-11.06,9.47,23.04,14.48,12.83,-8.66,2.50,-3.60,-7.40,-11.22,-5.23,7.40,5.40,18.56,-10.16,4.23,1.53,5.79,3.54,7.07,0.05
IncomeRevenues_qq,,13.13,29.04,-7.36,7.22,4.22,-1.57,25.66,9.85,-12.04,0.10,-28.71,25.35,10.67,-2.24,-5.94,-9.86,-12.52,-9.73,10.81,3.58,7.18,-0.05,-45.68,47.42,6.43,2.48,1.13,9.43,0.09,-4.50,-1.02,13.17,-0.78
IncomeRevenues_sq,,3.08,8.52,-0.23,-5.62,4.22,2.46,21.40,-4.22,0.58,-2.52,1.31,-8.15,10.67,1.60,-1.20,3.98,12.21,-13.93,3.84,-2.50,2.13,-3.20,18.32,-16.66,5.82,5.51,-0.82,-3.61,0.09,-4.50,-1.02,3.26,-3.32
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
