,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,152000,205000,226000,520000,351000,347000,4000,580000,446000,244000,17864000,10857000,3139000,1141000,2832000,-120000,1293000,1700000,821000,209000,946000,633000,16307000,12650000,4158000,6241000,979000,12424000,3479000,2775000,3414000,15994000,12849000,4072000,5763000,6104000,7963000,4421000
IncomeRevenues_yy,,,,,130.92,69.27,-98.23,11.54,27.07,-29.68,446500.00,1771.90,603.81,367.62,-84.15,-101.11,-58.79,48.98,-71.02,274.03,-26.85,-62.78,1886.84,5957.21,339.51,886.27,-93.99,-1.79,-16.33,-55.53,248.63,28.73,269.31,46.70,68.80,-61.84,-38.02,8.58
IncomeRevenues_sy,,,,,-1.26,-3.94,-8.13,0.86,-6.66,-24.65,11.91,11.54,1.90,7.60,-21.76,-6.12,-5.13,-5.06,2.10,1.05,1.47,-7.94,12.74,-14.98,-14.67,8.34,1.20,6.90,4.60,6.28,1.90,12.72,0.25,-2.12,-1.18,5.95,18.84,11.87
IncomeRevenues_qq,,34.87,10.24,130.09,-32.50,-1.14,-98.85,14400.00,-23.10,-45.29,7221.31,-39.22,-71.09,-63.65,148.20,-104.24,1177.88,31.42,-51.71,-74.56,353.05,-33.12,2477.21,-22.43,-67.13,50.07,-84.31,1168.57,-72.00,-20.23,23.02,368.42,-19.66,-68.31,41.55,5.91,30.47,-44.48
IncomeRevenues_sq,,14.41,-17.73,16.92,-16.67,1.01,-17.30,15.97,-22.90,-2.20,13.84,5.28,-27.15,3.36,-8.77,3.17,-24.18,-0.94,-2.02,12.70,-7.66,-15.57,3.32,1.10,-12.06,0.74,8.32,6.73,-19.38,2.34,-1.57,29.39,-31.70,1.50,0.20,14.10,-3.86,6.83
IncomeCostOfSales,,,,741000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,-23.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,-22.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,27000,-56000,36000,355000,152000,183000,-536000,-185000,32000,243000,4616000,2559000,1115000,795000,5000,-745000,248000,349000,7000,-249000,-116000,-224000,6796000,4015000,1251000,1208000,-20000,5284000,882000,234000,1162000,3938000,5016000,1000000,1315000,2906000,2978000,1587000
IncomeGrossProfit_yy,,,,,462.96,426.79,-1588.89,-152.11,-78.95,32.79,961.19,1483.24,3384.38,227.16,-99.89,-129.11,-77.79,-56.13,38.58,66.59,-146.77,-164.36,97973.50,1713.08,1180.55,638.14,-100.29,31.61,-29.50,-80.61,6029.61,-25.48,468.50,327.03,13.18,-26.19,-40.63,58.72
IncomeGrossProfit_sy,,,,,4.14,5.23,-14.48,18.56,-16.57,-20.97,26.06,54.98,12.36,-9.72,-11.25,-76.32,7.91,27.59,1.08,30.43,-9.34,-18.41,6.56,15.32,20.08,15.36,-1.64,0.12,10.04,25.95,16.95,59.25,21.26,12.22,2.61,-2.83,23.07,25.24
IncomeGrossProfit_qq,,-307.41,164.29,886.11,-57.18,20.39,-392.90,65.49,117.30,659.38,1799.59,-44.56,-56.43,-28.70,-99.37,-15000.00,133.24,40.87,-98.01,-3692.09,53.47,-93.85,3127.02,-40.92,-68.83,-3.46,-101.62,27059.48,-83.30,-73.45,396.20,238.83,27.37,-80.06,31.52,120.95,2.46,-46.69
IncomeGrossProfit_sq,,-5.12,0.22,5.29,4.18,-8.10,-33.70,26.49,-11.28,4.07,42.60,7.00,-59.83,9.73,4.27,-5.52,-4.24,5.88,-8.52,-15.94,10.01,0.62,8.56,0.18,-11.96,-3.03,13.61,0.30,-3.51,3.36,3.18,106.69,-25.26,5.62,-8.98,47.44,2.46,6.72
IncomeOtherOperatingIncome,,,,,,,,,,,,,,,15000,-7000,,0,1000,15000,25000,24000,0,50000,5000,15000,252000,-259000,42000,30000,323000,-196000,0,35000,32000,49000,20000,71000
IncomeOtherOperatingIncome_yy,,,,,,,,,,,,,,,,,,,-91.66,320.91,,15578.57,-100.00,226.05,-80.63,-36.29,,-613.03,761.94,95.98,27.84,24.41,-99.99,17.27,-90.09,125.32,510600.00,100.62
IncomeOtherOperatingIncome_sy,,,,,,,,,,,,,,,,,,,27.60,-67.51,,-61.07,97.08,109.01,-25.29,111.08,,-20.96,61.05,7.69,-9.43,19.46,-6.69,-30.16,-11.11,-29.98,55.50,30.58
IncomeOtherOperatingIncome_qq,,,,,,,,,,,,,,,,-146.67,100.00,,712.34,1136.13,61.56,-3.36,-100.00,,-90.40,217.83,1540.38,-202.51,116.13,-27.73,970.00,-160.61,100.00,883775.00,-9.61,54.88,-58.73,247.21
IncomeOtherOperatingIncome_sq,,,,,,,,,,,,,,,,41.03,-10.81,,-37.50,71.43,16.99,-36.70,85.74,,-72.86,61.65,-35.58,140.00,-45.48,90.17,-52.68,172.85,-65.83,37.92,-7.04,173.77,-25.88,45.39
IncomeOtherOperatingCosts,,,,97000,,,,,,,,,,,293000,-290000,168000,-168000,1000,0,0,1000,0,2000,0,1000,3000,21000,15000,18000,0,115000,7000,5000,25000,29000,10000,22000
IncomeOtherOperatingCosts_yy,,,,,,,,-100.00,,,,,,,,,,,-99.74,99.91,-100.00,100.85,-100.00,894.30,4900.00,-49.19,,918.09,9636.00,2450.28,-97.90,439.48,-52.03,-70.69,39652.38,-74.82,49.45,314.49
IncomeOtherOperatingCosts_sy,,,,,,,,25.52,,,,,,,,,,,53.36,-23.31,12.29,-46.14,-21.46,103.00,13.74,2.00,,2.39,1.82,10.55,13.95,20.50,-0.45,4.98,-11.60,-42.26,8.40,-27.00
IncomeOtherOperatingCosts_qq,,,,,-100.00,,,,,,,,,,,-198.98,158.05,-199.88,100.46,-134.11,101.14,47266.67,-100.00,,-92.82,381.33,316.34,607.52,-31.33,26.08,-99.66,182022.22,-93.89,-22.96,364.04,15.34,-63.76,113.68
IncomeOtherOperatingCosts_sq,,,,,-85.10,,,,,,,,,,,116.06,-54.76,96.18,-15.06,60.80,-36.45,-0.36,19.40,,-73.51,35.71,0.41,89.33,-67.01,26.08,-8.70,271.95,-81.63,29.84,-45.16,122.47,-66.26,12.72
IncomeEBIT,,,,265000,,,,,,,,,,,1637000,-462000,79000,517000,7000,-233000,-91000,-202000,6796000,4063000,1256000,1223000,230000,5004000,909000,246000,1485000,3628000,5009000,1030000,1322000,2927000,2988000,1636000
IncomeEBIT_yy,,,,,,,,-100.00,,,,,,,,,,,-99.55,49.53,-214.58,-139.02,91607.31,1842.60,1482.90,706.02,-96.62,23.16,-27.60,-79.88,546.28,-27.51,450.78,318.83,-10.94,-19.31,-40.35,58.81
IncomeEBIT_sy,,,,,,,,112.64,,,,,,,,,,,3.09,-33.81,-72.46,-52.73,26.05,51.89,16.34,99.93,-14.89,13.12,42.31,46.57,-24.46,42.28,-21.30,-5.86,48.66,-34.94,54.08,23.04
IncomeEBIT_qq,,,,,-100.00,,,,,,,,,,,-128.22,117.16,552.32,-98.57,-3246.69,61.05,-122.14,3467.95,-40.21,-69.09,-2.65,-81.21,2078.23,-81.83,-72.95,503.65,144.33,38.07,-79.43,28.36,121.36,2.08,-45.25
IncomeEBIT_sq,,,,,-44.71,,,,,,,,,,,-56.63,70.86,-5.43,-35.51,11.81,42.38,-27.88,95.00,-11.52,-16.33,21.89,-12.72,15.92,-41.76,34.91,-25.90,170.71,-69.86,53.59,15.43,51.40,-30.78,23.09
IncomeFinanceIncome,,,,,,,,,,,,,,,18000,67000,6000,7000,8000,69000,8000,251000,0,-134000,17000,14000,18000,23000,4000,32000,6000,43000,8000,21000,0,8000,9000,3000
IncomeFinanceIncome_yy,,,,,,,,,,,,,,,,,,,-55.33,3.60,29.13,3493.44,-100.00,-293.33,124.15,-94.28,,117.25,-76.33,121.04,-67.52,85.71,91.86,-34.03,-97.66,-80.78,11.00,-86.40
