,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,3889000,4136000,5866000,4855000,5343000,5752000,5471000,30042000,63714000,57408000,67474000,71755000,65974000,64910000,64872000,63872000,47813000,42404000,19198000,-94237000,3210000,2684000,2541000,3473000,2696000,2765000,2844000,3416000,2598000,3058000,2900000,3052000,2503000,2610000,2808000,3080000,2900000,2821000,2787000,2894000,2331000,2619000,2470000,2872000,2275000,2826000,2245000,2508000,1797000,1547000,1285000,1705000,916000,1004000
IncomeRevenues_yy,,,,,37.39,39.07,-6.73,518.78,1092.48,898.05,1133.30,138.85,3.55,13.07,-3.86,-10.99,-27.53,-34.67,-70.41,-247.54,-93.29,-93.67,-86.76,103.69,-16.01,3.02,11.92,-1.64,-3.64,10.60,1.97,-10.66,-3.66,-14.65,-3.17,0.92,15.86,8.08,-0.75,-6.04,-19.62,-7.16,-11.37,-0.76,-2.40,7.90,-9.11,-12.67,-21.01,-45.26,-42.76,-32.02,-49.03,-35.10
IncomeRevenues_sy,,,,,6.10,100.00,29.92,100.00,66.32,-18.41,39.22,50.11,18.90,13.07,-5.19,-9.98,13.49,1.98,-26.14,-25.70,-8.88,-15.47,36.00,28.32,0.53,53.64,28.58,17.55,49.73,11.46,9.48,-10.04,-12.56,-11.06,9.47,23.04,14.48,12.83,-8.66,2.50,-3.60,-7.40,-11.22,-5.23,7.40,5.40,18.56,-10.16,4.23,1.53,5.79,3.54,7.07,0.05
IncomeRevenues_qq,,6.35,41.83,-17.23,10.05,7.65,-4.89,449.11,112.08,-9.90,17.53,6.34,-8.06,-1.61,-0.06,-1.54,-25.14,-11.31,-54.73,-590.87,103.41,-16.39,-5.33,36.68,-22.37,2.56,2.86,20.11,-23.95,17.71,-5.17,5.24,-17.99,4.27,7.59,9.69,-5.84,-2.72,-1.21,3.84,-19.45,12.36,-5.69,16.28,-20.79,24.22,-20.56,11.71,-28.35,-13.91,-16.94,32.68,-46.28,9.61
IncomeRevenues_sq,,-3.30,41.83,-8.06,10.05,6.76,-5.56,97.14,-28.10,13.43,0.63,17.74,-8.06,13.25,-10.87,1.99,-9.10,-2.31,-18.73,3.65,9.24,3.08,8.52,-0.23,-5.62,4.22,2.46,21.40,-4.22,0.58,-2.52,1.31,-8.15,10.67,1.60,-1.20,3.98,12.21,-13.93,3.84,-2.50,2.13,-3.20,18.32,-16.66,5.82,5.51,-0.82,-3.61,0.09,-4.50,-1.02,3.26,-3.32
IncomeCostOfSales,4080000,4467000,6071000,5262000,5252000,5715000,5347000,23910000,54268000,46892000,56008000,59789000,56536000,62123000,57464000,60314000,41370000,36196000,17930000,-80877000,3201000,2638000,2501000,3241000,2519000,2519000,2771000,3664000,2788000,3237000,3049000,3115000,2718000,2744000,3114000,3130000,2166000,2248000,2298000,2267000,1887000,2053000,2021000,2463000,2072000,2132000,1881000,2238000,1860000,1667000,1505000,1863000,733000,803000
IncomeCostOfSales_yy,,,,,28.73,27.94,-11.93,354.39,933.28,720.51,947.47,150.06,4.18,32.48,2.60,0.88,-26.83,-41.73,-68.80,-234.09,-92.26,-92.71,-86.05,104.01,-21.31,-4.51,10.80,13.05,10.68,28.50,10.03,-14.98,-2.51,-15.23,2.13,0.48,-20.31,-18.08,-26.20,-27.57,-12.88,-8.67,-12.05,8.65,9.80,3.85,-6.93,-9.14,-10.23,-21.81,-19.99,-16.76,-60.59,-51.83
IncomeCostOfSales_sy,,,,,12.36,3.42,-50.31,-9.27,-15.26,-12.80,142.15,24.25,6.16,23.28,51.30,1.51,2.07,-23.66,-54.95,-25.23,-48.93,-28.30,-29.70,96.31,-13.90,58.10,10.80,-3.66,80.90,-13.22,-15.82,-65.40,-30.01,-42.80,17.34,34.98,6.77,-1.52,-27.04,-3.15,-10.96,-53.08,-14.08,6.82,10.34,3.85,8.94,-15.12,-20.33,-0.74,-11.98,-10.06,-15.38,-2.38
IncomeCostOfSales_qq,,9.49,35.91,-13.33,-0.19,8.82,-6.44,347.17,126.97,-13.59,19.44,6.75,-5.44,9.88,-7.50,4.96,-31.41,-12.51,-50.46,-551.07,103.96,-17.59,-5.19,29.59,-22.28,,10.00,32.23,-23.91,16.10,-5.81,2.16,-12.74,0.96,13.48,0.51,-30.80,3.79,2.22,-1.35,-16.76,8.80,-1.56,21.87,-15.87,2.90,-11.77,18.98,-16.89,-10.38,-9.72,23.79,-60.65,9.55
IncomeCostOfSales_sq,,7.44,88.50,-13.33,-27.72,-3.70,-6.44,213.79,-33.46,-5.07,-1.24,14.16,-11.76,5.82,-21.56,-6.76,-16.70,-20.00,3.67,-21.48,8.91,-10.09,12.29,29.59,-22.28,,5.25,5.68,-13.79,0.86,-8.50,1.89,30.94,16.34,6.22,-3.86,3.97,5.74,-20.21,7.66,-8.66,-0.37,-1.56,17.50,-17.94,-2.86,-0.72,-9.64,-10.02,-3.41,-13.38,-1.34,-9.86,5.26
