,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,410845000,439241000,381131000,436619000,401460000,452230000,370446000,452046000,461394000,424391000,457800000,480644000,707049000,779201000,698833000,218538000,518034000,355351000,207791000,405432000,419808000,502541000,526788000,573499000,614511000,675131000,591881000,884038000,726310000,923367000,759640000,571899000,725439000,728379000,510401000,500140000,631533000,617158000,504967000,658785000,745548000,693098000,599500000,702894000,686530000,605307000,548673000,576978000,699485000,650433000,531266000,718393000,614956000,630366000
IncomeRevenues_yy,,,,,-2.28,2.96,-2.80,3.53,14.93,-6.16,23.58,6.33,53.24,83.60,52.65,-54.53,-26.73,-54.40,-70.27,85.52,-18.96,41.42,153.52,41.45,46.38,34.34,12.36,54.15,18.19,36.77,28.34,-35.31,-0.12,-21.12,-32.81,-12.55,-12.94,-15.27,-1.06,31.72,18.05,12.30,18.72,6.70,-7.92,-12.67,-8.48,-17.91,1.89,7.46,-3.17,24.51,-12.08,-3.09
IncomeRevenues_sy,,,,,-7.63,-0.94,-2.80,11.90,55.03,32.30,23.58,9.60,32.68,50.60,11.86,-8.90,-18.24,-11.62,-16.40,3.76,0.96,30.17,51.87,69.68,63.96,44.42,24.80,34.31,12.54,17.22,28.34,-8.45,-0.12,-2.75,-4.69,-3.04,0.10,-3.97,5.64,8.88,7.75,-3.97,2.94,4.32,0.74,5.68,-1.17,,8.20,4.64,9.64,9.62,-7.10,8.40
IncomeRevenues_qq,,6.91,-13.23,14.56,-8.05,12.65,-18.08,22.03,2.07,-8.02,7.87,4.99,47.10,10.20,-10.31,-68.73,137.05,-31.40,-41.53,95.12,3.55,19.71,4.82,8.87,7.15,9.86,-12.33,49.36,-17.84,27.13,-17.73,-24.71,26.85,0.41,-29.93,-2.01,26.27,-2.28,-18.18,30.46,13.17,-7.04,-13.50,17.25,-2.33,-11.83,-9.36,5.16,21.23,-7.01,-18.32,35.22,-14.40,2.51
IncomeRevenues_sq,,3.04,-1.64,6.09,-5.74,8.45,10.97,7.69,26.32,-6.56,2.13,-4.92,21.98,-6.32,4.54,-15.57,14.40,-11.29,-3.26,10.29,6.10,11.68,6.40,23.30,1.08,1.88,8.82,41.03,-7.39,8.50,-9.84,-8.39,26.85,0.41,-3.60,0.38,6.76,1.69,6.86,2.62,3.97,-7.44,11.14,2.17,-0.98,-2.54,-1.62,5.74,12.04,-8.59,0.26,11.64,-0.59,-0.78
IncomeCostOfSales,355767000,378220000,360112000,393658000,367149000,412924000,358785000,433874000,394841000,355581000,379263000,396712000,513443000,595404000,536898000,403192000,545234000,398874000,321159000,431631000,394976000,485793000,483729000,478457000,507024000,576744000,503856000,743376000,621980000,843235000,688388000,553647000,635344000,647288000,452901000,495327000,555306000,522083000,435109000,565925000,608267000,561249000,512236000,570835000,531783000,497590000,464588000,504769000,570924000,510373000,449005000,597666000,508737000,558878000
IncomeCostOfSales_yy,,,,,3.20,9.18,-0.37,10.22,7.54,-13.89,5.71,-8.57,30.04,67.45,41.56,1.63,6.19,-33.01,-40.18,7.05,-27.56,21.79,50.62,10.85,28.37,18.72,4.16,55.37,22.67,46.21,36.62,-25.52,2.15,-23.24,-34.21,-10.53,-12.60,-19.34,-3.93,14.25,9.54,7.50,17.73,0.87,-12.57,-11.34,-9.30,-11.57,7.36,2.57,-3.35,18.40,-10.89,9.50
IncomeCostOfSales_sy,,,,,-5.52,1.81,-0.37,12.08,48.72,28.53,7.80,-2.11,22.22,43.98,10.54,-1.02,-2.38,-6.92,-8.94,-0.30,5.21,18.20,30.33,78.06,34.67,25.18,27.16,39.22,20.48,26.86,36.62,-10.63,2.15,-2.36,-4.04,-1.93,-4.10,-11.49,-0.95,0.96,0.78,-7.18,-4.90,-2.32,-2.62,-2.66,-6.42,-0.17,10.60,2.57,7.38,7.21,-4.46,9.62
IncomeCostOfSales_qq,,6.31,-4.79,9.32,-6.73,12.47,-13.11,20.93,-9.00,-9.94,6.66,4.60,29.42,15.96,-9.83,-24.90,35.23,-26.84,-19.48,34.40,-8.49,22.99,-0.42,-1.09,5.97,13.75,-12.64,47.54,-16.33,35.57,-18.36,-19.57,14.76,1.88,-30.03,9.37,12.11,-5.98,-16.66,30.07,7.48,-7.73,-8.73,11.44,-6.84,-6.43,-6.63,8.65,13.11,-10.61,-12.02,33.11,-14.88,9.86
IncomeCostOfSales_sq,,2.98,4.61,9.32,-6.73,12.47,4.57,12.28,14.40,-5.56,2.72,-1.12,14.79,-1.41,2.34,-9.71,8.08,-6.02,-0.07,6.14,0.98,12.90,3.27,29.72,-0.58,2.84,4.45,31.69,-4.46,8.44,-8.20,-6.14,14.76,1.62,-7.72,3.15,4.68,-2.07,3.52,7.40,0.54,-7.73,10.73,-3.54,-6.27,-1.73,-1.34,5.14,8.16,-12.01,2.65,6.28,-0.40,6.44
