,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,57643000,81295000,102770000,111501000,100532000,92094000,119941000,108678000,116897000,121154000,122080000,129495000,138380000,121078000,131545000,121218000,135773000,126312000,132980000,132905000,138702000,135198000,173014000,151967000,151810000,148562000,160690000,169289000
IncomeCostOfSales,55329000,72862000,89502000,97594000,88982000,83520000,102628000,95291000,102114000,105335000,105780000,114837000,122762000,105044000,110932000,104295000,115482000,105092000,109509000,109907000,117103000,121276000,150050000,132027000,128931000,127645000,139868000,144732000
IncomeDistributionExpenses,830000,3139000,3823000,4091000,3532000,4365000,4860000,4535000,4309000,6386000,5558000,4799000,5319000,5243000,5558000,5510000,5898000,30954000,14238000,12952000,13352000,12797000,14265000,13080000,13723000,14653000,14565000,15828000
IncomeAdministrativExpenses,565000,1541000,1934000,2429000,1605000,2069000,5462000,5324000,4555000,5038000,5264000,5733000,5118000,5951000,6590000,6105000,5923000,,,,,,,,919000,3753000,7511000,7387000
IncomeGrossProfit,6413000,2140000,6991000,3528000,5919000,4394000,5478000,4126000,5181000,4840000,8465000,5308000,8471000,8884000,9233000,10046000,8247000,1125000,8699000,6860000,9156000,6264000,6257000,8729000,0,338000,7000,171000
IncomeOtherOperatingIncome,25000,10000,6000,79000,1078000,6268000,64000,248000,12000,221000,106000,231000,26000,-2088000,-307000,76000,-749000,1581000,-1706000,447000,985000,-527000,1065000,1317000,13000,42000,43000,1000
IncomeOtherOperatingCosts,1000,167000,24000,48000,1264000,258000,60000,225000,222000,739000,625000,493000,58000,,,,,,,,906000,4049000,7475000,7557000,6437000,1983000,6973000,3559000
IncomeEBIT,5733000,10404000,5482000,4149000,4971000,4323000,7946000,5046000,8439000,7972000,8926000,10122000,7498000,2706000,6993000,7307000,10141000,5737000,7322000,10046000,61000,1159000,58000,14000,83000,174000,695000,888000
IncomeFinanceIncome,-818000,-640000,310000,-8000,55000,64000,58000,13000,17000,,,,,,,,1197000,3394000,5838000,4132000,5383000,4206000,3944000,3769000,3389000,3357000,3192000,3238000
IncomeFinanceCosts,3817000,3302000,3974000,2169000,2100000,2179000,2303000,1833000,2124000,833000,2501000,2511000,2246000,2612000,2849000,2493000,,,,,,,,,,,,
IncomeOtherIncome,,,,,,,,,,,,-396000,187000,-25000,-15000,-44000,-230000,1814000,1695000,3439000,1137000,-2049000,3724000,678000,1527000,6406000,2601000,902000
IncomeNetGrossProfit,1210000,1085000,4030000,2890000,6356000,5704000,6623000,8289000,5374000,1873000,4492000,4400000,8082000,3100000,4458000,7509000,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,-230000,1814000,1695000,3439000,1137000,-2049000,3724000,678000,1527000,6406000,2601000,902000
IncomeBeforeTaxProfit,1210000,1085000,4030000,2890000,6356000,5704000,6623000,8289000,5374000,1873000,4492000,4400000,8082000,3100000,4458000,7509000,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,-171000,1218000,1318000,2549000,505000,-926000,2707000,414000,1146000,4840000,1945000,646000
IncomeNetProfit,927000,508000,3134000,2402000,4987000,4223000,5175000,7233000,4531000,4533000,3405000,5053000,6692000,3068000,3544000,5913000,-171000,1218000,1318000,2549000,505000,-926000,2707000,414000,1146000,4840000,1945000,646000
IncomeShareholderNetProfit,927000,508000,3134000,2402000,4987000,4223000,5175000,7233000,4531000,4533000,3405000,5053000,6692000,3068000,3544000,5913000,,,,,,,,,,,,
BalanceNoncurrentAssets,,349235000,347513000,,343203000,377722000,376429000,373082000,373497000,373464000,372204000,374506000,381068000,385891000,387279000,387440000,386868000,382690000,382477000,381066000,382382000,379100000,379151000,378518000,380891000,379538000,385446000,
BalanceIntangibleAssets,182665000,182564000,,182353000,202977000,203181000,201874000,201018000,200931000,200766000,202038000,203047000,205017000,205040000,204871000,205260000,203827000,204820000,203811000,205868000,204488000,203235000,202774000,202058000,201707000,203316000,,166570000
BalanceProperty,164949000,,160850000,174709000,173206000,171167000,172436000,172491000,171327000,172357000,177909000,180533000,181899000,182209000,181345000,178693000,177486000,177083000,176340000,174438000,173433000,173110000,175745000,174819000,175998000,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
BalanceNoncurrInvestments,,,0,36000,42000,41000,42000,42000,111000,111000,111000,240000,240000,240000,171000,171000,173000,,,,,,,,,,,
BalanceOtherNoncurrentAssets,,,,,,,101000,99000,119000,263000,174000,174000,2483000,2634000,3088000,3012000,6132000,,92550000,87019000,,102161000,131685000,124780000,118612000,128277000,137879000,139731000
BalanceCurrentAssets,148432000,140912000,126636000,131139000,132567000,135726000,132452000,145698000,158385000,159286000,166176000,160523000,154640000,166569000,173548000,168788000,,26802000,20387000,,27787000,36487000,40623000,36544000,39326000,43567000,44423000,46521000
BalanceInventory,55431000,37703000,40728000,41617000,47024000,43177000,52359000,51563000,49299000,42262000,47453000,47319000,49041000,48975000,50002000,,55196000,55979000,,60541000,82036000,74778000,74172000,82295000,81712000,83873000,91435000,74487000
BalanceCurrentReceivables,76715000,78453000,80968000,73842000,78551000,84148000,92273000,87890000,112344000,94556000,94082000,76689000,96802000,94156000,,,,,,,,,,,,,,
BalanceCurrentInvestments,,19000,2181000,2755000,,,,,,,,9954000,8064000,,12901000,10233000,6376000,6031000,5820000,10096000,8256000,7872000,9689000,9255000,9791000,7782000,13418000,7949000
BalanceCash,7342000,12456000,19000000,6944000,14888000,7538000,38958000,12877000,19184000,,598000,2589000,,932000,2929000,3003000,1865000,836000,2504000,3179000,2606000,1305000,2962000,2149000,19000,1442000,20000,1849000
BalanceOtherCurrentAssets,2093000,3097000,4626000,3626000,5701000,1881000,14894000,5446000,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,441785000,434532000,,445364000,509407000,501209000,491694000,501773000,511343000,511936000,522939000,521980000,512527000,518419000,520007000,522594000,515143000,528175000,539451000
BalanceTotalAssets,541668000,545276000,539674000,533158000,547460000,553086000,554234000,,150794000,157074000,,172100000,214520000,211133000,211907000,216628000,218401000,214250000,218062000,220380000,229718000,228498000,233111000,238769000,240629000,244666000,247677000,256819000
BalanceCapital,257298000,236420000,242215000,243202000,245899000,240669000,,151300000,151300000,,161228000,172484000,172484000,172484000,172484000,172484000,172484000,172484000,172484000,172484000,172484000,172484000,172484000,172484000,172484000,172484000,172484000,172484000
BalanceShareCapital,172484000,172484000,172484000,172484000,172484000,,,,,,,,,,,,,,,,,,,,,,,
BalanceOwnShares,,,,,,,0,,,,2467000,,,31227000,31524000,33506000,36895000,39739000,43904000,44794000,44941000,45447000,55074000,53391000,,,,
BalanceReserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNonshareCapital,193528000,185003000,,200631000,208284000,208927000,203149000,198388000,196149000,168328000,214937000,212633000,203440000,197747000,187652000,178623000,171240000,187573000,184000000,187397000,179720000,174787000,196667000,192053000,204088000,186441000,,
BalanceNoncurrentLiabilities,0,,,0,186000,170000,143000,121000,104000,87000,75000,59000,40000,16000,,,,,,,,,,175913000,166859000,,181433000,188444000
BalanceNoncurrentTradeLiabilities,189227000,183032000,176542000,174234000,146092000,192977000,190764000,180807000,175383000,164236000,155502000,148518000,164174000,160754000,120828000,112739000,108101000,128539000,99809000,111637000,93334000,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,44373000,44411000,44451000,44492000,69159000,69219000,69280000,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,17615000,18144000,,19198000,19654000,19530000
BalanceNoncurrentLeasing,19974000,21725000,21811000,22149000,21885000,21811000,22594000,22348000,23416000,23121000,22722000,23399000,23246000,22196000,22570000,22235000,23636000,23085000,23232000,23827000,,97463000,92455000,,72633000,86603000,81149000,76638000
BalanceNoncurrentOtherLiabilities,86758000,96793000,129358000,89940000,88967000,79369000,92174000,99244000,105202000,103273000,95936000,107775000,97452000,108258000,128467000,94276000,112205000,103099000,127124000,,47247000,47504000,,43473000,54326000,52356000,40986000,52620000
BalanceCurrentLiabilities,55048000,68316000,72004000,69547000,56439000,72178000,59263000,67978000,59014000,65728000,67450000,69782000,75604000,79923000,63796000,83321000,74051000,76750000,,47145000,40834000,,27735000,27643000,25693000,33046000,31910000,37438000
BalanceCurrentTradePayablesv,57473000,14230000,16064000,16806000,13789000,33833000,31092000,36951000,23374000,30461000,16699000,21733000,16140000,20492000,17803000,17791000,37252000,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,82000,82000,75000,75000,255000,247000,248000,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,3071000,4117000,,1425000,4634000,3100000,2606000,2227000,4307000,3569000
BalanceCurrentLeasing,3706000,3357000,6123000,6208000,6148000,6132000,7309000,6834000,9864000,10889000,10839000,32329000,9913000,10826000,9888000,11699000,,,,,,,,,,,,
BalanceCurrentOtherLiabilities,,,,,,,,,,,,,,,1122000,1175000,0,441785000,434532000,0,0,445364000,509407000,501209000,491694000,501773000,511343000,511936000
BalanceReckoning,522939000,521980000,512527000,518419000,520007000,522594000,515143000,528175000,539451000,541668000,545276000,539674000,533158000,547460000,553086000,554234000,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-698000,28026000,13693000,-951000,6442000,-2489000,6495000,6370000,1294000,10930000,6641000,11904000,6644000,14176000,17132000,15780000,375000,21408000,-2954000,2652000,5040000,25623000,-4971000,24744000,66000,38903000,-25177000,21570000
CashflowAmortization,686000,1799000,2399000,2395000,2426000,2444000,2842000,2845000,2855000,506000,2318000,2365000,2393000,2420000,2473000,2479000,2430000,2462000,2524000,2588000,2665000,2658000,2674000,2651000,2671000,2691000,2390000,2427000
CashflowInvestingCashflow,-52000,537000,-627000,-557000,-13127000,11169000,-841000,-1670000,-1448000,-2241000,-2011000,-2876000,-967000,-3536000,-6697000,-4212000,-4858000,-1015000,-759000,128000,-2006000,-2849000,-2254000,-4072000,-5784000,-1396000,-10703000,1910000
CashflowCapex,52000,-537000,627000,567000,628000,1337000,841000,1678000,1522000,2269000,2042000,3009000,1011000,3400000,6723000,4200000,4858000,-3119000,497000,186000,2477000,2892000,2275000,1641000,5797000,1308000,3704000,2246000
CashflowFinancingCashflow,-570000,-19822000,-14956000,5103000,3390000,-4101000,-8280000,-8572000,-330000,-8823000,-338000,-10860000,-6088000,-8835000,-10969000,-10981000,2469000,-14738000,-1505000,-3729000,2213000,-16711000,-4584000,-12535000,-1408000,-6007000,9809000,-17106000
CashflowShareCapitalCash,,0,,,11471000,0,,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,0,0,,,1513000,0,,,4142000,0,,1381000,0,344000,6899000,0,0,,22423000,0,,15524000,-1320000,8741000,-1890000
CashflowNetCashflow,3595000,-3295000,4579000,-2626000,-3872000,-485000,-134000,4292000,-1831000,-411000,1805000,-534000,587000,-2014000,5655000,-5218000,-949000,5247000,6063000,-11809000,8137000,-7126000,31500000,-26071000,6374000,,,
