,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,9154000,11982000,12314000,11118000,10295000,15979000,14687000,12704000,13712000,16134000,16784000,16091000,16270000,19632000,18389000,15738000,13991000,19555000,18849000,16461000,16064000,22119000,22007000,21233000,20037000,26818000,26874000,25526000,28173000,31728000,33229000,29971000,30801000,44689000,39507000,31797000,34114000,40242000,37482000,34694000,34971000,38213000,34822000,32244000,35723000,40628000,39866000,37010000,39402000,41416000,42018000,37194000,40146000,44467000
IncomeCostOfSales,7917000,10762000,10943000,9880000,8495000,12941000,12136000,10538000,10938000,13192000,13577000,13932000,13988000,16384000,15185000,11734000,9811000,13488000,13133000,12476000,12508000,17961000,18077000,17306000,16433000,21895000,21452000,19691000,22334000,25740000,26039000,22787000,24021000,33984000,29958000,24357000,26412000,29727000,28707000,26625000,25005000,29287000,27609000,23736000,26018000,29972000,29725000,28029000,29952000,31417000,31825000,28701000,31347000,35954000
IncomeDistributionExpenses,420000,433000,554000,562000,578000,729000,617000,745000,635000,796000,837000,830000,741000,822000,811000,840000,704000,926000,876000,841000,933000,1104000,1205000,1233000,1090000,1174000,1592000,1485000,1504000,1641000,1882000,1746000,1941000,2692000,2356000,4023000,2045000,2445000,2399000,2318000,1977000,2219000,2207000,2075000,2571000,2668000,2623000,2584000,2951000,3063000,2956000,2647000,2963000,3038000
IncomeAdministrativExpenses,1615000,1362000,1489000,1475000,1344000,1572000,1465000,1700000,1532000,1903000,1813000,1934000,1656000,2012000,1852000,2000000,1792000,1943000,1990000,2056000,1959000,2323000,2484000,2586000,2271000,2551000,2648000,2892000,2313000,2916000,3043000,3380000,2992000,3724000,3427000,1458000,2714000,3104000,2866000,3044000,2907000,3376000,3228000,3415000,3401000,3887000,3939000,4268000,3950000,4180000,3785000,4793000,4155000,4374000
IncomeGrossProfit,-798000,-575000,-672000,-799000,-122000,737000,469000,-279000,364000,486000,557000,-605000,-115000,414000,541000,1164000,1684000,3198000,2850000,1088000,664000,731000,241000,108000,243000,1198000,1182000,1458000,2022000,1431000,2265000,2058000,1847000,4289000,3766000,1959000,2943000,4966000,3510000,2707000,5082000,3331000,1778000,3018000,3733000,4101000,3579000,2129000,2549000,2756000,3452000,1053000,1681000,1101000
IncomeOtherOperatingIncome,331000,-228000,21000,435000,153000,11000,24000,55000,577000,185000,467000,185000,75000,114000,170000,-15000,10000,45000,49000,189000,70000,37000,241000,139000,712000,407000,36000,545000,142000,160000,220000,1134000,235000,192000,232000,630000,260000,444000,290000,553000,287000,292000,544000,258000,321000,287000,295000,1015000,123000,167000,503000,551000,161000,302000
IncomeOtherOperatingCosts,450000,-241000,172000,919000,80000,-18000,78000,396000,94000,60000,43000,344000,194000,34000,103000,136000,32000,84000,26000,432000,141000,139000,154000,333000,157000,124000,126000,411000,119000,92000,193000,807000,248000,380000,225000,763000,482000,340000,322000,636000,428000,765000,210000,-337000,226000,298000,-80000,111000,381000,182000,273000,136000,320000,330000
IncomeEBIT,-917000,-562000,-823000,-1283000,-49000,766000,415000,-620000,847000,611000,981000,-764000,-234000,494000,608000,1013000,1662000,3159000,2873000,845000,593000,629000,328000,-86000,798000,1481000,1092000,1592000,2045000,1499000,2292000,2385000,1834000,4101000,3773000,1826000,2721000,5070000,3478000,2624000,4941000,2858000,2112000,3613000,3828000,4090000,3954000,3033000,2291000,2741000,3682000,1468000,1522000,1073000
IncomeFinanceIncome,226000,-92000,72000,-364000,-375000,-237000,-303000,-343000,-299000,-141000,-209000,-356000,-232000,-591000,-55000,-159000,205000,-91000,210000,563000,-441000,-313000,229000,-924000,-31000,-1032000,-103000,-869000,-1084000,-5478000,5493000,32000,36000,2000,6000,0,7000,80000,37000,-55000,100000,-86000,-11000,2000,313000,762000,339000,333000,323000,-6799000,747000,,,1264000
IncomeFinanceCosts,,,983000,,,,,,,,,,507000,,,2870000,,,2717000,6754000,749000,2932000,3894000,-477000,461000,1153000,1365000,-460000,746000,265000,455000,522000,816000,997000,366000,385000,,2203000,0,,,,,,,,,,,,,,,
