,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,34062000,51022000,47748000,43759000,39609000,51585000,47758000,49394000,41481000,27659000,21514000,27256000,24814000,25704000,19895000,22156000,24940000,24094000,19740000,19513000,18617000,22949000,22008000,30336000,21312000,-10574000,58093000,32686000,29161000,29831000,30706000,38414000,26722000,32042000,27513000,33272000,25524000,29574000,27603000,33795000,30448000,39379000,36426000,35300000,37313000,49182000,43427000,55753000,56926000,59085000,47732000,60530000,56130000,60627000
IncomeCostOfSales,25569000,36474000,33472000,32039000,29181000,38671000,34578000,32663000,28992000,23317000,18038000,20051000,20101000,21935000,18046000,18858000,21259000,21311000,17602000,16255000,15547000,18927000,17601000,19764000,14426000,19277000,14309000,23438000,21734000,24802000,24674000,28804000,20717000,26300000,23105000,24135000,19838000,25367000,21505000,23642000,22181000,33748000,28605000,25141000,27378000,39187000,31655000,36927000,40090000,45384000,34983000,39800000,39923000,46789000
IncomeDistributionExpenses,3001000,5232000,5927000,6439000,3901000,5457000,7987000,5874000,4095000,1795000,735000,1300000,876000,913000,951000,1269000,1045000,974000,1023000,1039000,912000,1015000,921000,1104000,615000,604000,727000,1286000,1247000,1186000,1218000,1623000,1107000,1343000,1259000,1528000,1046000,1006000,1339000,1882000,1525000,1396000,2167000,1993000,1711000,1749000,2199000,3261000,2994000,2456000,2561000,3464000,2389000,2400000
IncomeAdministrativExpenses,3786000,5168000,4583000,4602000,4593000,4881000,4719000,5423000,5317000,6981000,3107000,4390000,3372000,3580000,3299000,4237000,3026000,3396000,3742000,3933000,3515000,5356000,3201000,3766000,4137000,3997000,4279000,5091000,4504000,4876000,4351000,5397000,4371000,4691000,4414000,4736000,4108000,3641000,3844000,4581000,4210000,3964000,3920000,4609000,4388000,4897000,4279000,5920000,5672000,6954000,6048000,8188000,6380000,8048000
IncomeGrossProfit,1706000,4148000,3766000,679000,1934000,2576000,474000,5434000,3077000,-4434000,-366000,1515000,465000,-724000,-2401000,-2208000,-390000,-1587000,-2627000,-1714000,-1357000,-2349000,285000,5702000,2134000,2192000,2134000,2871000,1676000,-1033000,463000,2590000,527000,-292000,-1265000,2873000,532000,-440000,915000,3690000,2532000,271000,1734000,3557000,3836000,3349000,5294000,9645000,8170000,4291000,4140000,9078000,7438000,3390000
IncomeOtherOperatingIncome,243000,1680000,265000,-367000,235000,684000,286000,610000,352000,707000,874000,658000,165000,139000,429000,399000,303000,250000,171000,614000,168000,222000,135000,464000,543000,2518000,597000,-101000,364000,1328000,248000,202000,163000,600000,225000,76000,282000,508000,125000,49000,380000,574000,-86000,123000,98000,143000,1088000,567000,157000,330000,358000,220000,253000,337000
IncomeOtherOperatingCosts,43000,230000,213000,661000,135000,382000,243000,392000,131000,603000,266000,114000,35000,41000,81000,370000,89000,228000,136000,798000,8000,355000,4000,485000,242000,75000,166000,572000,138000,251000,163000,402000,50000,117000,57000,255000,78000,48000,113000,186000,105000,81000,-121000,413000,84000,130000,54000,168000,86000,186000,95000,4524000,305000,233000
IncomeEBIT,1906000,5598000,3818000,-349000,2034000,2878000,517000,5652000,3298000,-4330000,242000,2059000,595000,-626000,-2053000,-2179000,-176000,-1565000,-2592000,-1898000,-1197000,-2482000,416000,5681000,2435000,4635000,2565000,2198000,1902000,44000,548000,2390000,640000,191000,-1097000,2694000,736000,20000,927000,3553000,2807000,764000,1769000,3267000,3850000,3362000,6328000,10044000,8241000,4435000,4403000,4774000,7386000,3494000
IncomeFinanceIncome,370000,290000,-170000,231000,104000,254000,-123000,27000,151000,78661000,1674000,1202000,422000,336000,217000,2978000,935000,-738000,44000,20000,72000,1953000,-1568000,116000,125000,85000,167000,294000,124000,45000,62000,134000,224000,146000,102000,125000,356000,65000,98000,171000,100000,352000,84000,210000,226000,271000,-82000,191000,93000,57000,34000,185000,71000,456000
IncomeFinanceCosts,823000,959000,882000,713000,571000,403000,397000,878000,708000,522000,269000,798000,625000,993000,-348000,473000,502000,1134000,1642000,542000,633000,178000,527000,297000,537000,348000,25000,610000,780000,354000,524000,603000,495000,266000,265000,588000,394000,256000,123000,418000,417000,437000,174000,383000,526000,276000,295000,418000,1301000,846000,555000,869000,1052000,471000
