,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,67938000,87376000,45383000,50213000,80237000,82342000,53776000,47911000,77889000,101099000,53986000,62919000,90819000,86885000,58127000,52217000,94903000,78218000,49340000,49015000
IncomeCostOfSales,54912000,70776000,36691000,40710000,64211000,69621000,44550000,38568000,61063000,84970000,44763000,52094000,73393000,74981000,48582000,42514000,76975000,66523000,42611000,39759000
IncomeDistributionExpenses,3048000,2291000,875000,1570000,2524000,2254000,983000,1567000,2473000,2784000,1320000,1811000,3377000,2472000,1434000,2230000,3858000,2964000,1648000,2535000
IncomeAdministrativExpenses,2664000,3591000,2962000,3106000,3183000,4030000,3170000,3582000,3196000,4412000,3416000,3829000,3538000,3676000,3587000,3609000,4011000,4258000,3500000,3752000
IncomeGrossProfit,7315000,10718000,4855000,4827000,10319000,6437000,5073000,4194000,11157000,8933000,4487000,5185000,10511000,5756000,4524000,3864000,10059000,4473000,1581000,2969000
IncomeOtherOperatingIncome,135000,-1173000,298000,897000,138000,148000,154000,12000,198000,381000,88000,182000,330000,221000,171000,209000,387000,-1307000,105000,100000
IncomeOtherOperatingCosts,40000,82000,17000,58000,134000,24000,11000,41000,12000,41000,123000,156000,50000,42000,28000,83000,20000,45000,33000,12000
IncomeEBIT,7411000,9463000,5136000,5666000,10323000,6561000,5216000,4165000,11343000,9273000,4452000,5211000,10791000,5935000,4667000,3990000,10426000,3121000,1653000,3057000
IncomeFinanceIncome,-22000,1368000,365000,215000,5000,1132000,309000,-62000,22000,863000,116000,13000,3000,558000,235000,-136000,4000,613000,112000,134000
IncomeFinanceCosts,466000,843000,445000,555000,923000,407000,581000,133000,310000,489000,426000,27000,535000,916000,782000,-273000,483000,533000,244000,81000
IncomeOtherIncome,-21000,32000,129000,-41000,648000,-23000,31000,-9000,2000,-88000,126000,113000,138000,352000,129000,-223000,91000,-66000,164000,-8000
IncomeNetGrossProfit,6903000,10020000,5185000,5285000,10053000,7263000,4975000,3961000,11057000,9559000,4268000,5310000,10397000,5929000,4249000,3904000,10038000,3135000,1685000,3102000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,6903000,10020000,5185000,5285000,10053000,7263000,4975000,3961000,11057000,9559000,4268000,5310000,10397000,5929000,4249000,3904000,10038000,3135000,1685000,3102000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,5602000,8464000,4181000,4254000,7768000,6206000,3986000,3180000,8941000,7742000,3426000,4256000,8404000,4789000,3415000,3142000,8091000,2563000,1368000,2477000
IncomeShareholderNetProfit,5602000,8464000,4181000,4254000,7768000,6206000,3986000,3180000,8941000,7742000,3426000,4256000,8404000,4789000,3415000,3142000,8091000,2563000,1368000,2477000
BalanceNoncurrentAssets,33349000,34944000,35125000,34747000,34334000,34525000,38767000,42033000,43566000,45056000,44460000,45079000,45624000,47015000,47243000,56496000,66311000,70912000,71721000,78532000
BalanceIntangibleAssets,717000,683000,652000,623000,607000,575000,543000,512000,481000,450000,419000,388000,357000,329000,301000,273000,251000,235000,219000,208000
BalanceProperty,31452000,32818000,33037000,33121000,32710000,32748000,36954000,40077000,41618000,43018000,42284000,43265000,43716000,45162000,45345000,54910000,64777000,68908000,69742000,76883000
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,,
BalanceOtherNoncurrentAssets,1180000,1443000,1436000,1003000,1017000,1202000,1270000,1444000,1467000,1588000,1757000,1426000,1551000,1524000,1597000,1313000,1283000,1769000,1760000,1441000
BalanceCurrentAssets,96406000,107199000,59780000,79695000,102110000,89484000,62973000,80617000,97788000,90513000,74859000,83950000,124019000,92969000,69524000,107612000,129713000,99615000,79150000,103455000
BalanceInventory,53728000,24048000,39831000,55654000,51668000,38639000,33928000,54640000,54306000,31542000,46238000,55885000,56186000,34086000,39423000,68948000,54726000,41119000,48491000,67819000
BalanceCurrentReceivables,38256000,80519000,17653000,21331000,47506000,50394000,20111000,21701000,41850000,57051000,20103000,26417000,64303000,56202000,25532000,33838000,70932000,56343000,27695000,33242000
BalanceCurrentInvestments,0,,,,10000,,0,0,,0,2000,34000,111000,0,,13000,3773000,2420000,959000,1686000
BalanceCash,2173000,240000,7672000,3069000,836000,1672000,6908000,474000,2663000,2349000,3022000,3338000,2961000,1823000,1341000,1143000,649000,212000,1337000,1024000
BalanceOtherCurrentAssets,753000,211000,1262000,1207000,796000,248000,1610000,1172000,833000,332000,1436000,1488000,1094000,330000,1610000,1251000,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,129755000,142143000,94905000,114442000
BalanceTotalAssets,136444000,124009000,101740000,122650000,141354000,135569000,119319000,129029000,169643000,139984000,116767000,164108000,196024000,170527000,150871000,181987000,44549000,53013000,47194000,51448000
BalanceCapital,59216000,65438000,69424000,60320000,69261000,77010000,80428000,73937000,82341000,87130000,90545000,93686000,101778000,104340000,105708000,108186000,500000,500000,500000,500000
BalanceShareCapital,500000,504000,504000,508000,508000,515000,508000,515000,515000,515000,515000,515000,515000,515000,515000,515000,,,,
BalanceOwnShares,,,,,,,,,,,,,,,,,32545000,32545000,42513000,42513000
BalanceReserve,42513000,42525000,42525000,52646000,52646000,52646000,52645000,65740000,65740000,65740000,65740000,86614000,86615000,86614000,86614000,103826000,,,,
BalanceNonshareCapital,,,,,,,,,,,,,,,,,17269000,13193000,11568000,10161000
BalanceNoncurrentLiabilities,8752000,8117000,6482000,9321000,7828000,7575000,7307000,7214000,7097000,6428000,6446000,13018000,13167000,19540000,19407000,5896000,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,,,,,,,,,,14382000,10450000,9044000,7636000
BalanceNoncurrentBorrowings,6229000,4821000,3411000,2000000,589000,509000,469000,438000,397000,354000,412000,7155000,7384000,13879000,13864000,479000,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,,,,,,,,,,,2887000,2743000,2524000,2525000
BalanceNoncurrentOtherLiabilities,2523000,3296000,3071000,7321000,7239000,7066000,6838000,6776000,6700000,6074000,6034000,5863000,5783000,5661000,5543000,5417000,67937000,75937000,36143000,52833000
BalanceCurrentLiabilities,68476000,50454000,25834000,53009000,64265000,50984000,31584000,47878000,80205000,46426000,19776000,57404000,81079000,46647000,25756000,67905000,66061000,16624000,32919000,51183000
BalanceCurrentTradePayablesv,66747000,13860000,22736000,50915000,62040000,16257000,27824000,45791000,78063000,16041000,15744000,55272000,79210000,25490000,22451000,65400000,,57027000,,
BalanceCurrentBorrowings,34348000,,,31999000,,,27532000,,22736000,18914000,,,,,,,,,,
