,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,50602000,59683000,67812000,70429000,49963000,68535000,60100000,67258000,52452000,67645000,63156000,75923000,61111000,76492000,70727000,93019000,62034000,76283000,70040000,86316000,67387000,74845000,79827000,101882000,76610000,93551000,91581000,118634000,87332000,107534000,110327000,134931000,97649000,113066000,119498000,138634000,103657000,122508000,126204000,151620000,114491000,141346000,131030000,174078000,125308000,160231000,149845000,193103000,123431000,158148000,156031000,189176000,123658000,153898000
IncomeRevenues_yy,,,,,-1.26,14.83,-11.37,-4.50,4.98,-1.30,5.08,12.88,16.51,13.08,11.99,22.52,1.51,-0.27,-0.97,-7.21,8.63,-1.89,13.97,18.03,13.69,24.99,14.72,16.44,14.00,14.95,20.47,13.74,11.81,5.14,8.31,2.74,6.15,8.35,5.61,9.37,10.45,15.38,3.82,14.81,9.45,13.36,14.36,10.93,-1.50,-1.30,4.13,-2.03,0.18,-2.69
IncomeRevenues_sy,,,,,11.37,25.06,20.88,54.37,72.74,40.22,49.59,35.60,22.38,20.50,24.13,9.96,4.73,10.39,2.92,0.90,3.89,-1.89,13.13,9.07,13.69,12.16,3.42,13.32,12.09,12.84,18.92,16.33,1.74,7.05,6.00,8.05,13.82,11.45,11.00,10.13,17.47,16.22,7.92,13.50,15.27,11.03,12.22,10.94,3.71,2.71,13.28,3.30,0.28,5.47
IncomeRevenues_qq,,17.95,13.62,3.86,-29.06,37.17,-12.31,11.91,-22.01,28.97,-6.64,20.22,-19.51,25.17,-7.54,31.52,-33.31,22.97,-8.18,23.24,-21.93,11.07,6.66,27.63,-24.81,22.11,-2.11,29.54,-26.39,23.13,2.60,22.30,-27.63,15.79,5.69,16.01,-25.23,18.19,3.02,20.14,-24.49,23.46,-7.30,32.85,-28.02,27.87,-6.48,28.87,-36.08,28.13,-1.34,21.24,-34.63,24.45
IncomeRevenues_sq,,10.90,9.81,14.16,-27.92,12.75,16.65,41.24,-2.34,12.24,8.54,24.60,-19.51,5.44,10.45,16.36,-19.17,5.72,-6.50,20.86,-18.63,12.26,8.48,9.67,-18.97,22.45,2.72,23.39,-14.84,11.77,3.64,8.09,-20.17,18.91,-1.46,15.10,-16.70,18.19,4.60,10.24,-12.68,18.01,-2.16,16.32,-13.90,16.79,-2.37,7.05,-14.88,17.54,-0.20,14.40,-22.04,19.66
IncomeCostOfSales,32991000,30040000,44280000,,,,,,,,,145141000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,-100.00,-100.00,-100.00,,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,11.20,17.76,22.72,,,,,,,,,23.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,-8.94,47.40,-100.00,,,,,,,,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,-0.38,20.47,9.88,,,,,,,,,-11.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,18825000,24708000,25910000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,28.82,30.53,48.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,31.25,4.86,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,15.45,3.70,17.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,1033000,1101000,1435000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,11.74,10.37,22.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,6.58,30.34,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,10.97,-2.66,23.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,-2247000,3834000,-3813000,-4717000,-6521000,4089000,-1728000,-1385000,-5235000,1887000,-3062000,1472000,-3202000,4245000,1674000,7033000,-7764000,-807000,-4451000,7571000,-1176000,2346000,2366000,8056000,-1515000,4130000,-425000,8711000,-4708000,-849000,-4234000,-389000,-3103000,3401000,3257000,6054000,-716000,4049000,5133000,4998000,-3439000,2293000,705000,9020000,-7120000,6276000,-386000,11183000,-16296000,-1719000,-6243000,-1420000,-15873000,3919000
IncomeGrossProfit_yy,,,,,-190.21,6.65,54.68,70.64,19.72,-53.85,-77.20,206.28,38.83,124.96,154.67,377.79,-142.47,-119.01,-365.89,7.65,84.85,390.71,153.16,6.41,-28.83,76.04,-117.96,8.13,-210.76,-120.56,-896.24,-104.47,34.09,500.59,176.92,1656.30,76.93,19.05,57.60,-17.44,-380.31,-43.37,-86.27,80.47,-107.04,173.70,-154.75,23.98,-128.88,-127.39,-1517.36,-112.70,2.60,327.98
IncomeGrossProfit_sy,,,,,-35.49,-2.40,36.03,28.64,24.95,44.16,45.93,43.09,25.19,49.34,14.31,-56.69,-114.40,-21.17,-53.57,21.26,35.06,39.87,51.12,41.27,18.09,67.87,7.56,-3.18,14.48,-48.83,-34.83,-6.30,-31.16,39.45,23.94,109.40,47.01,14.84,35.06,-8.16,5.41,23.82,-14.36,11.18,-2.71,3.41,-10.77,12.45,-32.56,3.30,25.97,11.56,2.60,24.93
IncomeGrossProfit_qq,,270.63,-199.45,-23.71,-38.24,162.71,-142.26,19.85,-277.98,136.05,-262.27,148.07,-317.53,232.57,-60.57,320.13,-210.39,89.61,-451.55,270.10,-115.53,299.49,0.85,240.49,-118.81,372.61,-110.29,2149.65,-154.05,81.97,-398.70,90.81,-697.69,209.60,-4.23,85.88,-111.83,665.50,26.77,-2.63,-168.81,166.68,-69.25,1179.43,-178.94,188.15,-106.15,2997.15,-245.72,89.45,-263.18,77.25,-1017.82,124.69
IncomeGrossProfit_sq,,57.44,-11.84,22.68,-54.86,1.76,68.74,32.91,-19.65,40.81,16.68,78.17,-60.84,45.01,-24.29,23.21,-105.66,74.00,-37.44,159.69,-73.41,135.61,20.95,79.53,-86.33,167.62,-5.74,81.01,-69.48,91.01,-50.34,62.46,-88.66,178.69,-24.59,99.72,-79.14,181.23,-9.96,27.36,-80.03,182.18,-38.05,100.87,-81.79,147.09,-53.28,76.79,-94.59,101.05,-5.92,44.84,-106.00,125.03
