,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,13626000,1453000,12076000,9963000,9167000,20267000,16809000,15527000,14730000,13325000,16383000,7670000,12418000,5439000,5002000,13493000,17774000,17074000,12923000,16306000,15598000,11355000,17030000,17678000,18885000,19779000,10357000,11954000,13072000,16933000,14542000,12926000,14468000,12239000
IncomeRevenues_yy,,,,,-32.72,1294.84,39.19,55.84,60.69,-34.25,-2.53,-50.60,-15.70,-59.18,-69.47,75.92,43.13,213.92,158.36,20.85,-12.24,-33.50,31.78,8.41,21.07,74.19,-39.18,-32.38,-30.78,-14.39,40.41,8.13,10.68,-27.72
IncomeRevenues_sy,,,,,19.46,19.78,22.94,16.30,9.54,-4.77,-11.88,-1.80,-7.09,-20.16,6.76,8.06,14.26,13.64,5.64,16.46,-5.61,-15.60,19.84,8.88,15.84,3.54,0.84,2.05,-4.08,-6.81,10.58,5.58,6.20,6.57
IncomeRevenues_qq,,-89.34,731.11,-17.49,-7.99,121.09,-17.06,-7.62,-5.14,-9.54,22.95,-53.18,61.90,-56.20,-8.03,169.75,31.73,-3.94,-24.31,26.18,-4.34,-27.20,49.98,3.81,6.83,4.73,-47.64,15.42,9.35,29.54,-14.12,-11.11,11.93,-15.41
IncomeRevenues_sq,,-10.19,6.35,-10.85,-2.91,0.80,5.58,-6.10,-4.46,-9.47,3.32,-0.68,0.03,-4.97,0.85,4.91,12.11,1.30,-9.50,20.42,-8.10,5.30,-4.02,5.62,-6.65,8.39,-7.04,6.52,-3.70,5.84,3.73,0.98,11.80,-5.36
IncomeCostOfSales,,16605000,12227000,,,,,,,20666000,,36152000,8758000,5553000,7957000,10374000,13261000,11224000,9879000,9962000,10749000,6151000,11353000,11569000,13444000,21611000,9244000,9671000,11015000,13597000,12248000,12111000,12148000,9719000
IncomeCostOfSales_yy,,,,,,-100.00,-100.00,,,,,,,-73.13,,-71.30,51.42,102.12,24.15,-3.97,-18.94,-45.20,14.92,16.13,25.07,251.34,-18.58,-16.41,-18.07,-37.08,32.50,25.23,10.29,-28.52
IncomeCostOfSales_sy,,,,,,6.99,17.91,,,,,,,-22.74,,2.48,14.85,14.02,6.60,-1.82,-11.74,-21.43,14.46,16.13,15.40,7.76,4.60,1.96,-1.22,-2.80,13.08,8.31,10.29,7.23
IncomeCostOfSales_qq,,,-26.37,-100.00,,,,,,,-100.00,,-75.77,-36.60,43.29,30.38,27.83,-15.36,-11.98,0.84,7.90,-42.78,84.57,1.90,16.21,60.75,-57.23,4.62,13.90,23.44,-9.92,-1.12,0.31,-20.00
IncomeCostOfSales_sq,,,2.61,6.90,,,,,,,-25.72,,-11.04,-5.91,6.26,13.09,7.36,-0.19,-6.94,0.84,7.90,1.16,-2.13,5.68,-6.25,10.83,-5.33,2.88,-0.77,5.08,4.82,1.45,5.72,-7.20
IncomeDistributionExpenses,,,,,,,,,,1481000,,3236000,474000,445000,128000,627000,889000,1072000,905000,1127000,938000,1082000,1055000,1160000,988000,1270000,928000,1066000,1149000,1451000,1218000,1169000,1207000,1156000
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,-69.95,,-80.62,87.55,140.90,607.03,79.74,5.51,0.93,16.57,2.93,5.33,17.38,-12.04,-8.10,16.30,14.25,31.25,9.66,5.05,-20.33
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,-30.72,,-4.77,33.52,23.13,14.74,12.75,0.32,7.83,3.30,21.27,15.19,2.40,-2.91,-6.93,4.24,9.74,14.16,0.60,4.90,-2.69
IncomeDistributionExpenses_qq,,,,,,,,,,,-100.00,,-85.35,-6.12,-71.24,389.84,41.79,20.58,-15.58,24.53,-16.77,15.35,-2.50,9.95,-14.83,28.54,-26.93,14.87,7.79,26.28,-16.06,-4.02,3.25,-4.23
IncomeDistributionExpenses_sq,,,,,,,,,,,-14.72,,-11.39,1.96,2.01,13.86,15.58,10.88,-9.93,14.40,-15.51,11.33,-2.95,16.55,1.89,14.62,-7.52,15.47,8.90,8.01,2.00,6.81,11.51,1.97
IncomeAdministrativExpenses,,,,,,,,,,3786000,,7218000,1532000,1247000,1048000,1670000,1785000,1927000,2068000,2040000,1812000,2165000,2240000,2108000,1877000,2551000,1847000,1694000,1978000,2021000,1787000,1851000,1912000,1793000
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,-67.06,,-76.86,16.51,54.53,97.33,22.16,1.51,12.35,8.32,3.33,3.59,17.83,-17.54,-19.64,5.38,-20.78,-3.25,9.27,-3.34,-11.28
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,-31.18,,-17.87,0.27,8.04,3.46,13.41,-5.46,0.90,5.49,-0.86,3.77,17.83,8.20,14.35,3.80,-1.81,-6.30,2.34,1.42,-0.37
IncomeAdministrativExpenses_qq,,,,,,,,,,,-100.00,,-78.78,-18.60,-15.96,59.35,6.89,7.96,7.32,-1.35,-11.18,19.48,3.46,-5.89,-10.96,35.91,-27.60,-8.28,16.77,2.17,-11.58,3.58,3.30,-6.22
IncomeAdministrativExpenses_sq,,,,,,,,,,,-8.88,,-6.85,-14.86,-9.91,-2.88,14.98,-0.37,1.10,17.90,-10.55,-3.51,3.46,7.56,3.14,3.05,-3.81,-6.67,2.53,2.17,-4.80,10.15,1.30,-3.88
