,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,19955000,14760000,16117000,28882000,22677000,15714000,21023000,33580000,28691000,20353000,25295000,37378000,28865000,22911000,24826000,37888000,30166000,24144000,27912000,38391000,27874000,24800000,23000000,27184000,29694000,26393000,26916000,42351000,33097000,23994000,27615000,42887000,30943000,27495000,29567000,42279000,35216000,26413000,32355000,47319000,36544000,27346000,34259000,54078000,42583000,37500000,41358000,63233000,47327000,33787000
IncomeCostOfSales,16565000,12045000,13639000,21979000,17290000,12334000,17229000,25836000,23241000,15278000,20624000,29341000,22590000,18651000,20133000,29577000,23295000,20232000,23918000,32390000,23930000,23411000,19797000,28341000,24875000,23251000,23380000,34054000,26856000,20872000,22646000,34629000,24674000,23411000,24867000,34521000,29101000,22718000,27452000,36411000,29825000,23484000,29276000,43687000,34776000,31339000,34366000,50171000,36682000,28033000
IncomeDistributionExpenses,2333000,1602000,1649000,3911000,3238000,2349000,2756000,4995000,3608000,4002000,3509000,6264000,4047000,3615000,3661000,5469000,4421000,3857000,3853000,5469000,3870000,3657000,2954000,4674000,3283000,2802000,3158000,4822000,2952000,2288000,2436000,3981000,2966000,2727000,2848000,4274000,3461000,3239000,3185000,4181000,3527000,3308000,3308000,4916000,3702000,4070000,3743000,6051000,4427000,4358000
IncomeAdministrativExpenses,389000,463000,397000,531000,535000,600000,692000,861000,525000,786000,674000,604000,502000,539000,547000,578000,675000,656000,416000,682000,588000,752000,743000,846000,793000,803000,890000,1295000,1000000,1041000,1050000,1415000,1056000,1022000,1079000,1350000,1223000,1188000,1212000,2519000,1328000,1303000,1301000,1472000,1336000,1548000,1533000,1744000,1552000,1564000
IncomeGrossProfit,668000,650000,432000,2461000,1614000,431000,346000,1888000,1317000,287000,488000,1169000,1726000,106000,485000,2264000,1775000,-601000,-275000,-150000,-514000,-3020000,-494000,-6677000,743000,-463000,-512000,2180000,2289000,-207000,1483000,2862000,2247000,335000,773000,2134000,1431000,-732000,506000,4208000,1864000,-749000,374000,4003000,2769000,543000,1716000,5267000,4666000,-168000
IncomeOtherOperatingIncome,127000,85000,118000,129000,116000,504000,837000,197000,157000,203000,147000,247000,195000,189000,214000,177000,204000,206000,195000,206000,208000,331000,415000,180000,408000,647000,399000,432000,543000,-17000,550000,590000,422000,260000,625000,73000,441000,529000,308000,21000,304000,365000,269000,394000,309000,304000,273000,211000,366000,338000
IncomeOtherOperatingCosts,94000,-23000,32000,125000,55000,412000,661000,-146000,40000,33000,38000,83000,155000,178000,260000,195000,152000,228000,95000,396000,163000,648000,140000,-140000,157000,300000,148000,127000,178000,93000,328000,412000,375000,189000,138000,327000,132000,112000,66000,113000,173000,337000,159000,4000,175000,55000,83000,203000,92000,87000
IncomeEBIT,701000,758000,518000,2465000,1675000,523000,522000,2231000,1434000,457000,597000,1333000,1766000,117000,439000,2246000,1827000,-623000,-175000,-340000,-469000,-3337000,-219000,-6357000,994000,-116000,-261000,2485000,2654000,-317000,1705000,3040000,2294000,406000,1260000,1880000,1740000,-315000,748000,4116000,1995000,-721000,484000,4393000,2903000,792000,1906000,5275000,4940000,83000
IncomeFinanceIncome,,44000,-20000,189000,6000,259000,273000,456000,241000,387000,292000,-21000,9000,245000,193000,176000,74000,199000,189000,394000,151000,8000,-109000,50000,101000,-43000,93000,120000,54000,62000,79000,150000,114000,212000,119000,138000,349000,-35000,82000,118000,96000,54000,127000,9000,561000,55000,89000,182000,80000,114000
IncomeFinanceCosts,372000,324000,84000,94000,151000,67000,115000,-71000,138000,108000,158000,1003000,433000,-43000,-53000,-104000,14000,50000,-35000,29000,55000,140000,226000,804000,170000,272000,206000,295000,268000,174000,123000,350000,205000,176000,221000,128000,152000,141000,143000,146000,140000,229000,62000,424000,154000,141000,140000,144000,137000,292000
IncomeOtherIncome,,,,,,,,,,,,,,-2000,0,0,,,-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329000,478000,414000
IncomeNetGrossProfit,2560000,1530000,715000,680000,2758000,1537000,736000,731000,309000,1342000,403000,685000,2526000,1887000,-474000,49000,24000,-373000,-3469000,-554000,-7111000,925000,-431000,-374000,2310000,2440000,-429000,1661000,2840000,2203000,442000,1158000,1890000,1937000,-491000,687000,4088000,1951000,-896000,549000,3978000,3310000,706000,1855000,5313000,4883000,-95000,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329000,478000,414000
IncomeBeforeTaxProfit,2560000,1530000,715000,680000,2758000,1537000,736000,731000,309000,1342000,403000,685000,2526000,1887000,-474000,49000,24000,-373000,-3469000,-554000,-7111000,925000,-431000,-374000,2310000,2440000,-429000,1661000,2840000,2203000,442000,1158000,1890000,1937000,-491000,687000,4088000,1951000,-896000,549000,3978000,3310000,706000,1855000,5313000,4883000,-95000,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267000,377000,309000
IncomeNetProfit,2064000,1293000,542000,535000,2229000,1329000,515000,582000,249000,1008000,413000,526000,2032000,1525000,-369000,11000,73000,-393000,-3439000,-566000,-6059000,741000,-359000,-345000,2031000,1972000,-365000,1342000,2325000,1787000,348000,949000,1505000,1546000,-382000,552000,3305000,1574000,-728000,436000,3203000,2682000,576000,1485000,4264000,3939000,-86000,267000,377000,309000
IncomeShareholderNetProfit,2064000,1293000,542000,535000,2229000,1329000,515000,582000,249000,1008000,413000,526000,2032000,1525000,-369000,11000,73000,-393000,-3439000,-566000,-6059000,741000,-359000,-345000,2031000,1972000,-365000,1342000,2325000,1787000,348000,949000,1505000,1546000,-382000,552000,3305000,1574000,-728000,436000,3203000,2682000,576000,1485000,4264000,3939000,-86000,,,
