,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,82441000,135605000,162021000,137894000,93936000,134485000,164213000,136996000,102115000,150060000,227139000,161302000,132410000,235246000,284411000,226609000,170205000,261964000,325018000,264880000,186850000,288858000,329478000,255697000,184211000,301292000,346492000,281917000,200128000,302724000,337466000,263069000,185787000,272667000,300570000,238843000,178696000,277338000,301029000,256756000,220105000,321043000,350244000,287314000,248185000,332278000
IncomeRevenues_yy,,,,,13.94,-0.83,1.35,-0.65,8.71,11.58,38.32,17.74,29.67,56.77,25.21,40.49,28.54,11.36,14.28,16.89,9.78,10.27,1.37,-3.47,-1.41,4.30,5.16,10.25,8.64,0.48,-2.60,-6.69,-7.17,-9.93,-10.93,-9.21,-3.82,1.71,0.15,7.50,23.17,15.76,16.35,11.90,12.76,3.50
IncomeRevenues_sy,,,,,13.94,11.44,17.92,3.05,-8.82,0.16,-3.18,-9.53,-2.84,-3.50,17.77,15.21,21.65,10.32,11.86,13.64,7.99,4.76,-7.34,-5.72,-9.79,-4.06,-3.12,0.29,7.52,-5.84,-3.02,-1.30,1.99,4.55,2.46,-4.82,2.73,3.65,0.15,10.97,10.84,8.17,8.92,6.62,7.89,7.27
IncomeRevenues_qq,,64.49,19.48,-14.89,-31.88,43.17,22.11,-16.57,-25.46,46.95,51.37,-28.99,-17.91,77.66,20.90,-20.32,-24.89,53.91,24.07,-18.50,-29.46,54.59,14.06,-22.39,-27.96,63.56,15.00,-18.64,-29.01,51.27,11.48,-22.05,-29.38,46.76,10.23,-20.54,-25.18,55.20,8.54,-14.71,-14.27,45.86,9.10,-17.97,-13.62,33.88
IncomeRevenues_sq,,23.69,19.48,5.08,-6.36,29.60,9.48,-9.11,-20.79,32.42,16.96,-16.15,-18.31,31.46,15.03,-19.95,-12.09,45.80,9.19,-15.94,-13.88,16.16,3.14,-16.12,-9.82,32.26,5.54,-20.16,0.16,20.59,2.31,-20.64,-4.62,19.87,6.17,-23.60,2.58,17.34,4.68,-14.71,2.76,6.55,9.34,-17.77,13.99,5.02
IncomeCostOfSales,59876000,102902000,120863000,81922000,63058000,90676000,112893000,102079000,66950000,95019000,146851000,115550000,89863000,156089000,198244000,167483000,120389000,189935000,238278000,196854000,136080000,207977000,237670000,186161000,133628000,212404000,243627000,198525000,141023000,213996000,233819000,185347000,130773000,187701000,201679000,160742000,120922000,182641000,196975000,180311000,152782000,225323000,247499000,210407000,176502000,236119000
IncomeCostOfSales_yy,,,,,5.31,-11.88,-6.59,24.61,6.17,4.79,30.08,13.20,34.22,64.27,35.00,44.94,33.97,21.68,20.19,17.54,13.03,9.50,-0.26,-5.43,-1.80,2.13,2.51,6.64,5.53,0.75,-4.03,-6.64,-7.27,-12.29,-13.75,-13.28,-7.53,-2.70,-2.33,12.17,26.35,23.37,25.65,16.69,15.53,4.79
IncomeCostOfSales_sy,,,,,5.31,8.84,21.73,15.26,-6.00,1.90,-0.13,5.64,4.50,-1.98,11.69,11.04,21.96,11.62,10.10,5.38,2.89,3.44,-4.96,-7.10,-7.59,-6.58,-4.09,-6.80,6.98,-8.21,-4.03,-2.88,-1.80,1.26,8.21,-15.19,4.17,7.24,-2.33,12.69,5.78,12.77,10.00,8.10,10.81,4.79
IncomeCostOfSales_qq,,71.86,17.45,-32.22,-23.03,43.80,24.50,-9.58,-34.41,41.93,54.55,-21.31,-22.23,73.70,27.01,-15.52,-28.12,57.77,25.45,-17.38,-30.87,52.83,14.28,-21.67,-28.22,58.95,14.70,-18.51,-28.96,51.75,9.26,-20.73,-29.44,43.53,7.45,-20.30,-24.77,51.04,7.85,-8.46,-15.27,47.48,9.84,-14.99,-16.11,33.78
IncomeCostOfSales_sq,,22.91,9.33,6.74,-6.96,30.30,12.80,-2.64,-23.36,39.04,15.38,-11.52,-27.15,41.16,14.88,-14.62,-9.36,16.85,9.80,-18.16,-13.09,15.86,2.44,-21.16,-8.06,30.41,4.15,-18.51,-0.86,24.12,4.73,-14.53,-15.33,24.30,7.45,-21.42,0.26,29.01,0.31,-8.46,-2.88,7.07,7.95,-13.40,10.76,7.66
