,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,55030000,95865000,105171000,59974000,58431000,98316000,108332000,57799000,96778000,143423000,156979000,76816000,104755000,159824000,171281000,86970000,106711000,165178000,175649000,78686000,105931000,158776000,176340000,90652000,104488000,172208000,179180000,94764000,107379000,181823000,197706000,89613000,109311000,191417000,180514000,92661000,111577000,171756000,171535000,91104000,112145000,177136000,169022000,91828000,124155000,178928000,178727000,93826000,134062000,159948000,181895000,91093000,118394000,181893000
IncomeCostOfSales,44426000,87186000,95576000,44024000,48516000,89500000,99400000,51715000,67118000,98678000,106155000,54351000,69788000,107404000,114489000,57943000,68747000,110051000,119202000,53956000,68629000,102113000,118553000,62681000,72420000,116575000,126501000,66054000,71729000,119810000,128884000,59297000,69790000,121260000,114419000,55264000,74661000,105955000,109270000,53672000,74133000,106076000,104510000,59942000,78056000,108355000,108689000,56774000,82569000,95306000,108923000,54785000,72374000,102481000
IncomeDistributionExpenses,8490000,12068000,9787000,7736000,10043000,15439000,10729000,7972000,13344000,15936000,18742000,8991000,15207000,23528000,20307000,8260000,15723000,24602000,12040000,13193000,13749000,25583000,13148000,13830000,12922000,22567000,19067000,16746000,13601000,25559000,25350000,15320000,13940000,34206000,27437000,16308000,14410000,31649000,22002000,14721000,12714000,31953000,22995000,34196000,21181000,41793000,33372000,20774000,20241000,32970000,31654000,22958000,18850000,31864000
IncomeAdministrativExpenses,6727000,7815000,6716000,7528000,8335000,7720000,8175000,8201000,8639000,9288000,9315000,9910000,9701000,10956000,8853000,12058000,11106000,11277000,12158000,12415000,12204000,12216000,12554000,13612000,13064000,12446000,13660000,13316000,13620000,13846000,13776000,16640000,15030000,14476000,14554000,15541000,14588000,13969000,13839000,15457000,14382000,14451000,13951000,-5571000,9348000,10163000,9615000,11246000,11138000,12211000,10476000,10566000,11929000,16520000
IncomeGrossProfit,2623000,15188000,20344000,5172000,4277000,15514000,20767000,5343000,7677000,19521000,22767000,3564000,10059000,17936000,27632000,8709000,11135000,19248000,32249000,-878000,11349000,18864000,32085000,529000,6082000,20620000,19952000,-1352000,8429000,22608000,29696000,-1644000,10551000,21475000,24104000,5548000,7918000,20183000,26424000,7254000,10916000,24656000,27566000,3261000,15570000,18617000,27051000,5032000,20114000,19461000,30842000,2784000,15241000,31028000
IncomeOtherOperatingIncome,220000,157000,256000,294000,419000,207000,136000,376000,108000,820000,633000,342000,256000,382000,872000,357000,242000,2021000,1089000,1336000,413000,1162000,1579000,-863000,1290000,91000,2082000,-2157000,705000,203000,217000,-477000,176000,558000,628000,-252000,1038000,-654000,154000,1044000,236000,702000,157000,578000,86000,390000,333000,197000,2165000,767000,239000,397000,201000,2560000
IncomeOtherOperatingCosts,415000,713000,211000,782000,298000,463000,699000,1766000,887000,571000,795000,1092000,692000,727000,750000,3672000,571000,3686000,-916000,1594000,809000,1167000,748000,168000,1271000,1039000,1573000,1889000,1070000,1458000,922000,-115000,408000,3209000,1148000,-808000,881000,2594000,2195000,-834000,296000,2151000,375000,59000,396000,1714000,543000,-40000,568000,2248000,418000,-365000,960000,863000
IncomeEBIT,2428000,14632000,20389000,4684000,4398000,15258000,20204000,3953000,6898000,19770000,22605000,2814000,9623000,17591000,27754000,5394000,10806000,17583000,34254000,-1136000,10953000,18859000,32916000,-502000,6101000,19672000,20461000,-5398000,8064000,21353000,28991000,-2006000,10319000,18824000,23584000,6104000,8075000,16935000,24383000,9132000,10856000,23207000,27348000,3780000,15260000,17293000,26841000,5269000,21711000,17980000,30663000,3546000,14482000,32725000
IncomeFinanceIncome,1427000,705000,-457000,18000,265000,309000,599000,-301000,114000,57000,130000,347000,206000,1290000,101000,-107000,189000,251000,121000,107000,69000,124000,116000,695000,1389000,-1022000,129000,501000,2026000,-1439000,852000,614000,209000,33000,130000,271000,421000,-193000,142000,683000,119000,171000,85000,151000,73000,711000,-242000,448000,55000,97000,119000,65000,49000,512000
IncomeFinanceCosts,3398000,2177000,-1307000,-342000,488000,992000,363000,1010000,1218000,1440000,1714000,2477000,1887000,767000,1311000,11269000,4324000,86000,2218000,1248000,970000,3296000,-989000,1681000,1246000,4761000,2658000,11063000,900000,2005000,1135000,510000,3081000,1354000,33000,385000,2002000,985000,4013000,4935000,6749000,774000,1581000,232000,1667000,-241000,669000,236000,3593000,-608000,583000,678000,1695000,-70000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,0,,,,-275000,,,,,,,,,,224000,-12000,173000,79000,-20000,41000,223000,129000,4000,60000,130000,0,106000,-184000,329000,457000,13160000
IncomeNetGrossProfit,21239000,5044000,4175000,14575000,20440000,2642000,5794000,18387000,21021000,684000,7942000,18114000,26544000,-5982000,6671000,17748000,32157000,-2277000,10052000,15687000,34021000,-1488000,6244000,13889000,17932000,-16235000,9190000,17909000,28708000,-1902000,7447000,17503000,23681000,5990000,6494000,15757000,20512000,5104000,4214000,22777000,25931000,3679000,13707000,18468000,26059000,5485000,18233000,18815000,30199000,3039000,12652000,33636000,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457000,13160000
IncomeBeforeTaxProfit,21239000,5044000,4175000,14575000,20440000,2642000,5794000,18387000,21021000,684000,7942000,18114000,26544000,-5982000,6671000,17748000,32157000,-2277000,10052000,15687000,34021000,-1488000,6244000,13889000,17932000,-16235000,9190000,17909000,28708000,-1902000,7447000,17503000,23681000,5990000,6494000,15757000,20512000,5104000,4214000,22777000,25931000,3679000,13707000,18468000,26059000,5485000,18233000,18815000,30199000,3039000,12652000,33636000,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285000,10974000
IncomeNetProfit,17027000,3617000,3253000,11528000,16618000,1645000,4182000,13821000,16833000,191000,6146000,13959000,21424000,-4903000,4649000,14537000,25478000,-2216000,7834000,12370000,27233000,79000,4685000,11789000,13811000,-11938000,7178000,16019000,24372000,-255000,6508000,15058000,19831000,5168000,5506000,13780000,17188000,4723000,3124000,20024000,21732000,3669000,11918000,15299000,21816000,4897000,15463000,15737000,25409000,83000,10528000,27209000,-146000,9942000
IncomeShareholderNetProfit,15278000,3048000,2569000,10440000,15056000,3536000,3958000,12920000,15964000,19000,6013000,12972000,20236000,-3374000,4408000,13842000,24621000,-2137000,7845000,11537000,26044000,115000,4826000,11347000,12560000,-11563000,6949000,14940000,23456000,128000,6301000,14377000,19083000,5322000,5582000,13512000,17175000,4780000,3014000,19806000,21421000,3750000,11799000,14978000,21372000,4943000,15311000,15461000,24958000,162000,10248000,26488000,,
BalanceNoncurrentAssets,107287000,112865000,117563000,118001000,120215000,123340000,129410000,134011000,140435000,143813000,147080000,149208000,154962000,158833000,157739000,160708000,170704000,167567000,167526000,169750000,165867000,166776000,176019000,179646000,183115000,184913000,189066000,188787000,186914000,178177000,177761000,179173000,175252000,167809000,170171000,170112000,168055000,167014000,173626000,172763000,179351000,180327000,184364000,189825000,182680000,201642000,226495000,783000,782000,1091000,895000,845000,1672000,1630000
BalanceIntangibleAssets,1619000,1639000,1533000,1737000,1508000,1394000,1635000,1336000,1160000,2390000,1961000,1557000,1423000,1220000,583000,1285000,1302000,1685000,1695000,1798000,1829000,1807000,1731000,1746000,1726000,1617000,1455000,1740000,1625000,1489000,1268000,1201000,1112000,1255000,1175000,1420000,1576000,1923000,1971000,4840000,102247000,107688000,113243000,112995000,113484000,115470000,120422000,125332000,132278000,132861000,138358000,138108000,144142000,147752000
