,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
IncomeRevenues,24223000,20465000,30901000,15467000,20751000,19193000,17361000,18083000,27016000,19922000,31128000,31166000,23069000,25162000,27396000,25872000
IncomeRevenues_yy,,,,,-14.33,-6.22,-43.82,16.91,30.19,3.80,79.30,72.35,-14.61,26.30,-11.99,-16.99
IncomeRevenues_sy,,,,,-3.82,17.85,-6.22,30.36,-10.58,-0.04,6.11,-2.78,6.54,21.20,7.18,-9.79
IncomeRevenues_qq,,-15.51,50.99,-49.95,34.16,-7.51,-9.55,4.16,49.40,-26.26,56.25,0.12,-25.98,9.07,8.88,-5.56
IncomeRevenues_sq,,-17.72,7.98,6.06,6.74,-1.50,-6.18,29.01,-20.04,6.24,-1.40,8.62,-10.67,3.75,2.38,5.63
IncomeCostOfSales,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,
IncomeGrossProfit,6640000,4956000,12364000,71000,4086000,4188000,3258000,3801000,11914000,3696000,11064000,13322000,5819000,6072000,7315000,4191000
IncomeGrossProfit_yy,,,,,-38.46,-15.50,-73.65,5253.52,191.58,-11.75,239.59,250.49,-51.16,64.29,-33.88,-68.54
IncomeGrossProfit_sy,,,,,14.00,-18.94,-16.84,118.73,-13.08,37.80,-2.43,1.98,28.37,28.50,-2.98,-36.12
IncomeGrossProfit_qq,,-25.36,149.48,-99.43,5654.93,2.50,-22.21,16.67,213.44,-68.98,199.35,20.41,-56.32,4.35,20.47,-42.71
IncomeGrossProfit_sq,,-25.80,22.10,-25.61,47.48,-16.94,15.40,16.67,-31.12,3.42,12.32,-8.18,-4.48,8.56,-0.36,-7.96
IncomeOtherOperatingIncome,39000,524000,-504000,560000,37000,128000,69000,134000,1000,38000,32000,65000,309000,78000,41000,190000
IncomeOtherOperatingIncome_yy,,,,,-5.13,-75.57,113.69,-76.07,-97.30,-70.31,-53.62,-51.49,30800.00,105.26,28.12,192.31
IncomeOtherOperatingIncome_sy,,,,,86.40,-43.72,18.59,136.78,-60.52,17.84,-28.83,-74.64,47.76,-20.88,40.38,86.24
IncomeOtherOperatingIncome_qq,,1243.59,-196.18,211.11,-93.39,245.95,-46.09,94.20,-99.25,3700.00,-15.79,103.12,375.38,-74.76,-47.44,363.41
IncomeOtherOperatingIncome_sq,,89.42,-55.10,-63.28,101.66,-24.02,84.09,206.18,-73.82,166.41,-7.40,37.08,23.53,9.33,50.63,89.34
IncomeOtherOperatingCosts,547000,78000,429000,525000,,229000,-18000,11000,74000,1000,417000,-97000,13000,72000,36000,35000
IncomeOtherOperatingCosts_yy,,,,,-100.00,193.59,-104.20,-97.90,,-99.56,2416.67,-981.82,-82.43,7100.00,-91.37,136.08
IncomeOtherOperatingCosts_sy,,,,,-63.03,9.35,-10.91,20.31,,-34.94,5.91,-39.82,9.33,166.64,-14.44,-43.21
IncomeOtherOperatingCosts_qq,,-85.74,450.00,22.38,-100.00,,-107.86,161.11,572.73,-98.65,41600.00,-123.26,113.40,453.85,-50.00,-2.78
IncomeOtherOperatingCosts_sq,,107.95,-55.09,16.29,-37.62,,-72.86,146.61,-65.77,96.63,-36.96,179.19,-28.80,131.86,-32.30,-33.75
IncomeEBIT,6132000,5402000,11431000,106000,4123000,4087000,3345000,3924000,11841000,3733000,10679000,13484000,6115000,6078000,7320000,4346000
IncomeEBIT_yy,,,,,-32.76,-24.34,-70.74,3601.89,187.19,-8.66,219.25,243.63,-48.36,62.82,-31.45,-67.77
IncomeEBIT_sy,,,,,17.56,-23.00,-12.42,136.50,-12.82,4.40,-1.91,-24.92,22.55,28.80,-0.86,3.80
IncomeEBIT_qq,,-11.90,111.61,-99.07,3789.62,-0.87,-18.16,17.31,201.76,-68.47,186.07,26.27,-54.65,-0.61,20.43,-40.63
IncomeEBIT_sq,,-27.54,40.43,-79.22,86.94,-15.00,6.48,9.70,-32.07,-5.65,16.23,-10.10,-2.81,-4.90,11.22,-7.08
IncomeFinanceIncome,114000,413000,-235000,399000,138000,129000,285000,290000,97000,305000,37000,78000,161000,144000,111000,60000
IncomeFinanceIncome_yy,,,,,21.05,-68.77,221.28,-27.32,-29.71,136.43,-87.02,-73.10,65.98,-52.79,200.00,-23.08
