,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1070000,2024000,3018000,2302000,1974000,2185000,2865000,2364000,2059000,-1625000,6553000,2367000,2368000,2660000,3101000,5007000,4919000,7456000,7595000,8751000,8399000,8841000,10318000,13467000,11391000,11273000,11609000,13860000,14350000,16961000,37253000,-1028000,17878000,19374000
IncomeCostOfSales,,,,,,,,,,,16251000,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,1397000,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1372000,-1483000,-445000,-1918000
IncomeGrossProfit,-2175000,-2069000,-1994000,-3994000,-2768000,-3732000,-2764000,-3591000,-2664000,-2798000,-2769000,-2827000,-2125000,-1391000,-1691000,-2214000,-2583000,-1873000,-1953000,-1838000,-1506000,-4576000,-4858000,-3001000,-4342000,-12892000,17117000,-24998000,-6315000,-8967000,,,,2289000
IncomeOtherOperatingIncome,,,3879000,,4934000,1734000,1707000,1902000,2143000,3109000,2694000,3148000,3268000,3582000,3704000,3751000,3777000,3816000,2087000,3783000,8744000,3973000,12491000,15858000,-16439000,26426000,5441000,7762000,,,,55000,,
IncomeOtherOperatingCosts,16000,,14000,63000,15000,10000,57000,-49000,1000,8000,378000,4351000,3144000,899000,909000,909000,583000,0,0,0,,,,,-2984000,,,-6369000,,-4344000,-1920000,-972000,-906000,-682000
IncomeEBIT,331000,568000,1749000,1586000,1368000,1121000,1879000,1446000,-2373000,-2563000,-1692000,2977000,64000,7566000,2966000,678000,1429000,-874000,-1205000,,,,7000,,,2352000,,260000,-20000,10000,3000,9000,14000,38000
IncomeFinanceIncome,-5000,86000,257000,300000,107000,143000,295000,156000,877000,-261000,359000,20000,104000,258000,-288000,538000,972000,,,,180000,,,52000,,171000,-7000,6000,11000,93000,125000,3000,6000,25000
IncomeFinanceCosts,186000,140000,-101000,13000,43000,115000,298000,-354000,125000,837000,529000,92000,591000,490000,-318000,,,,-241000,,,-368000,,-180000,-61000,-28000,-44000,29000,,,,,,
IncomeOtherIncome,,-653000,-363000,-818000,104000,107000,-476000,20787000,0,-1347000,-756000,-62000,-1233000,-1494000,474000,-677000,-2741000,-1659000,-1837000,-939000,-1993000,-996000,-957000,-737000,263000,603000,1738000,1647000,1439000,1281000,2086000,1575000,-2121000,-2522000
IncomeNetGrossProfit,-1112000,2416000,-66000,5930000,2645000,951000,74000,19961000,85000,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,-1347000,-756000,-62000,-1233000,-1494000,474000,-677000,-2741000,-1659000,-1837000,-939000,-1993000,-996000,-957000,-737000,263000,603000,1738000,1647000,1439000,1281000,2086000,1575000,-2121000,-2522000
IncomeBeforeTaxProfit,-1112000,2416000,-66000,5930000,2645000,951000,74000,19961000,85000,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,-281000,-590000,-197000,-905000,-1269000,421000,-677000,-2741000,-1659000,-1837000,-939000,-1993000,-996000,-957000,-756000,264000,582000,1726000,1673000,1869000,1276000,2056000,1582000,1319000,-2523000
IncomeNetProfit,-1199000,2668000,3739000,5396000,2884000,867000,-2415000,19894000,-3797000,-281000,-590000,-197000,-906000,-1269000,421000,-677000,-2741000,-1659000,-1837000,-940000,-1992000,-996000,-957000,-756000,264000,582000,1726000,1673000,1869000,1276000,2056000,1582000,1356000,-2339000
IncomeShareholderNetProfit,-1127000,2604000,3583000,5244000,2771000,921000,-2528000,19963000,-4034000,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,,,,7717000,,,7405000,,7055000,7254000,7075000,7180000,6972000,7067000,7374000,7390000,8367000,9494000,9357000,10166000,11475000,16718000,19282000,21650000,26977000,41452000,42608000,41096000,43556000,43701000,67174000,69877000,,
BalanceIntangibleAssets,,691000,,,311000,,134000,43000,2000,1000,1000,282000,288000,6000,286000,331000,329000,732000,1440000,2274000,3331000,4405000,4883000,6640000,5334000,1357000,1599000,2638000,2612000,3565000,,,,5424000
