,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,318790000,335629000,338056000,307621000,340085000,402497000,368465000,375597000,336092000,383027000,400712000,404971000,395005000,439673000,455639000,428038000,433161000,485537000,463322000,465781000,452473000,495445000,470988000,470461000,473256000,539904000,517237000,498266000,549502000,634222000,630153000,617485000
IncomeRevenues_yy,,,,,6.68,19.92,9.00,22.10,-1.17,-4.84,8.75,7.82,17.53,14.79,13.71,5.70,9.66,10.43,1.69,8.82,4.46,2.04,1.65,1.00,4.59,8.97,9.82,5.91,16.11,17.47,21.83,23.93
IncomeRevenues_sy,,,,,30.50,10.60,18.46,4.01,29.94,5.53,8.04,5.39,-5.64,7.96,-5.28,6.98,2.13,25.62,-1.58,13.69,26.72,-10.38,17.27,1.96,4.59,-8.65,1.91,-7.34,12.97,6.02,-0.82,5.69
IncomeRevenues_qq,,5.28,0.72,-9.00,10.55,18.35,-8.46,1.94,-10.52,13.96,4.62,1.06,-2.46,11.31,3.63,-6.06,1.20,12.09,-4.58,0.53,-2.86,9.50,-4.94,-0.11,0.59,14.08,-4.20,-3.67,10.28,15.42,-0.64,-2.01
IncomeRevenues_sq,,12.94,-11.75,5.88,22.48,-9.38,5.22,-0.88,11.13,3.22,-2.48,-7.32,6.69,13.75,-3.96,2.63,-4.16,18.52,-21.54,5.26,8.12,9.50,-15.41,0.26,-9.84,8.80,0.72,0.79,14.93,-9.51,-3.32,3.79
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,27020000,29240000,32058000,23662000,18368000,18486000,34632000,34508000,20925000,20794000,49732000,36813000,24580000,36261000,41103000,20752000,31249000,-13536000,29017000,32901000,15183000,22406000,23456000,12465000,43444000,33506000,36815000,24532000,28097000,22936000,13381000,14105000
IncomeGrossProfit_yy,,,,,-32.02,-36.78,8.03,45.84,13.92,12.48,43.60,6.68,17.47,74.38,-17.35,-43.63,27.13,-137.33,-29.41,58.55,-51.41,265.53,-19.16,-62.11,186.14,49.54,56.95,96.80,-35.32,-31.55,-63.65,-42.50
IncomeGrossProfit_sy,,,,,8.46,-86.56,-11.16,-7.58,-1.00,12.48,16.30,25.03,59.40,50.36,-8.25,-11.00,-21.30,24.54,-25.48,-34.62,-3.34,-60.40,19.83,-46.92,-48.21,-26.79,-63.24,-32.60,33.49,29.01,26.79,10.56
IncomeGrossProfit_qq,,8.22,9.64,-26.19,-22.37,0.64,87.34,-0.36,-39.36,-0.62,139.16,-25.98,-33.23,47.52,13.36,-49.51,50.58,-143.32,314.37,13.39,-53.85,47.57,4.69,-46.86,248.52,-22.88,9.88,-33.37,14.54,-18.37,-41.66,5.41
IncomeGrossProfit_sq,,220.16,-6.28,-10.66,23.70,-46.13,64.70,-34.83,25.94,-22.22,76.94,10.07,-9.78,-30.94,19.09,-11.84,-14.80,31.07,-16.68,26.13,-31.59,-70.49,34.88,-50.77,-4.84,-22.88,20.55,-13.37,5.67,-30.59,26.12,3.38
IncomeOtherOperatingIncome,3688000,200000,-864000,2289000,8530000,17400000,5098000,4122000,5406000,-3871000,4009000,7227000,-9945000,2241000,5997000,5461000,-12387000,39591000,11047000,-6170000,-8202000,6334000,13856000,6770000,-17508000,16035000,12603000,6349000,-2551000,16643000,26530000,14274000
IncomeOtherOperatingIncome_yy,,,,,131.30,8579.92,690.35,80.08,-36.63,-122.25,-21.36,75.32,-283.97,157.90,49.60,-24.43,-24.56,1666.39,84.20,-212.97,33.78,-84.00,25.43,209.73,-113.44,153.15,-9.05,-6.22,85.43,3.79,110.52,124.83
IncomeOtherOperatingIncome_sy,,,,,149.52,-43.87,-49.70,20.65,-25.88,-51.33,46.22,-40.52,-56.56,31.36,24.80,55.93,23.46,5.56,-15.78,-79.16,-50.79,6.53,-13.11,209.73,29.70,-1.40,101.42,-2.18,18.09,80.15,45.75,-31.52
