,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,42605000,54527000,70565000,83046000,60883000,101117000,107599000,122592000,102803000,119064000,120021000,132231000,108362000,111835000,110718000,108866000,81004000,80854000,87532000,86383000,63586000,77249000,90641000,100841000,76596000,94175000,110616000,114967000,83630000,90045000,86083000,106191000,72554000,81656000,107265000,121089000,102449000,124084000,154553000,147552000,123621000,132853000,152898000,166558000,147737000,162716000,174517000,182443000,163161000,165411000,186523000,204077000,193956000,198109000
IncomeCostOfSales,35582000,45605000,59553000,70576000,46607000,76988000,82409000,97880000,81128000,89574000,93882000,103174000,84353000,88160000,88407000,87030000,65112000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5806000,7357000,8679000,10699000
IncomeDistributionExpenses,8181000,11232000,11772000,16313000,12774000,15062000,14348000,15901000,14519000,14330000,15797000,17772000,11793000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,820000,1172000,1456000,1541000,1222000,1540000,1607000,1781000
IncomeAdministrativExpenses,1589000,1712000,1684000,1814000,1878000,2063000,2268000,2597000,1648000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,397000,393000,877000,230000,4873000,11357000,11811000,6618000,7312000,12716000,10107000,11342000
IncomeGrossProfit,7612000,7282000,4246000,1467000,2451000,1638000,2193000,4783000,1402000,531000,3356000,5332000,1734000,3090000,5033000,4269000,-1102000,-114000,375000,44000,-2863000,-2663000,-2158000,-1414000,-5006000,-4291000,-847000,-14931000,-279000,246000,1803000,-2224000,-387000,2606000,-187000,-4083000,-1766000,-2218000,1779000,-463000,3051000,2268000,2701000,5201000,6464000,7239000,247000,70000,-106000,585000,51000,221000,-336000,1992000
IncomeOtherOperatingIncome,80000,263000,-1597000,3568000,435000,1351000,385000,2075000,834000,239000,479000,624000,559000,810000,747000,1136000,764000,1161000,729000,969000,739000,766000,739000,829000,469000,1241000,681000,1008000,1458000,341000,370000,8411000,5522000,9000,168000,876000,344000,457000,171000,38000,198000,4238000,345000,1360000,1312000,-560000,216000,806000,769000,-1317000,101000,153000,208000,1433000
IncomeOtherOperatingCosts,173000,188000,240000,3193000,324000,688000,853000,3542000,610000,18000,385000,1152000,435000,416000,494000,560000,661000,464000,413000,712000,377000,466000,382000,521000,451000,618000,498000,2302000,1267000,1004000,704000,273000,180000,184000,1334000,-788000,202000,248000,141000,923000,186000,893000,2753000,4234000,6029000,8029000,4904000,10621000,10936000,8520000,7262000,12784000,9563000,11901000
IncomeEBIT,7519000,7357000,2409000,1842000,2562000,2301000,1725000,3316000,1626000,752000,3450000,4804000,1858000,3484000,5286000,4845000,-999000,583000,691000,301000,-2501000,-2363000,-1801000,-1106000,-4988000,-3668000,-664000,-16225000,-88000,-417000,1469000,5914000,4955000,2431000,-1353000,-2419000,-1624000,-2009000,1809000,-1348000,3063000,5613000,113000,80000,111000,90000,70000,341000,-162000,57000,270000,1006000,604000,600000
IncomeFinanceIncome,465000,534000,481000,1469000,675000,832000,321000,805000,941000,582000,341000,440000,518000,439000,440000,399000,580000,497000,527000,535000,300000,221000,200000,323000,42000,45000,52000,43000,69000,28000,46000,112000,123000,57000,59000,95000,116000,60000,-31000,12000,105000,88000,359000,522000,551000,461000,623000,756000,306000,467000,498000,198000,84000,1303000
IncomeFinanceCosts,760000,206000,276000,-3000,141000,253000,-269000,47000,56000,61000,-85000,12000,79000,-31000,211000,78000,154000,127000,35000,22000,60000,19000,26000,199000,39000,88000,170000,242000,205000,326000,301000,440000,257000,172000,310000,168000,327000,240000,337000,351000,260000,257000,,,,,0,,,-16000,7000,-7000,0,117000
IncomeOtherIncome,-247000,354000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2507000,3792000,5589000,7658000,4351000,10206000,10468000,8094000,7041000,13585000,10083000,11198000,7341000,7438000,2968000,3090000,3096000
IncomeNetGrossProfit,2880000,2315000,4074000,2511000,1273000,3876000,5232000,2297000,3954000,5515000,5166000,-573000,953000,1183000,814000,-2261000,-2161000,-1627000,-982000,-4985000,-3711000,-782000,-16424000,-224000,-715000,1214000,5586000,4821000,2316000,-1604000,-2492000,-1835000,-2189000,1441000,-1687000,2908000,5444000,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2507000,3792000,5589000,7658000,4351000,10206000,10468000,8094000,7041000,13585000,10083000,11198000,7341000,7438000,2968000,3090000,3096000
IncomeBeforeTaxProfit,2880000,2315000,4074000,2511000,1273000,3876000,5232000,2297000,3954000,5515000,5166000,-573000,953000,1183000,814000,-2261000,-2161000,-1627000,-982000,-4985000,-3711000,-782000,-16424000,-224000,-715000,1214000,5586000,4821000,2316000,-1604000,-2492000,-1835000,-2189000,1441000,-1687000,2908000,5444000,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2051000,3308000,3800000,6060000,3829000,8554000,8779000,5666000,5912000,11097000,8992000,7913000,6230000,5247000,1628000,1996000,2652000
IncomeNetProfit,1927000,1345000,3619000,1594000,1418000,3005000,4122000,1697000,3113000,4618000,4444000,-518000,855000,880000,511000,-1753000,-2138000,-1348000,-628000,-5377000,-1863000,-719000,-13869000,267000,-908000,988000,4591000,4454000,1022000,-1618000,-2184000,-1364000,-1946000,1025000,-1553000,2397000,4253000,2051000,3308000,3800000,6060000,3829000,8554000,8779000,5666000,5912000,11097000,8992000,7913000,6230000,5247000,1628000,1996000,2652000
IncomeShareholderNetProfit,1927000,1345000,3619000,1594000,1418000,3005000,4122000,1697000,3113000,4618000,4290000,-523000,766000,872000,483000,-1794000,-2160000,-1378000,-617000,-5377000,-1915000,-653000,-13703000,276000,-775000,964000,4526000,4459000,984000,-1613000,-2196000,-1425000,-1796000,1074000,-1543000,2406000,4224000,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,19856000,21481000,23209000,22544000,23808000,24177000,28560000,28847000,29267000,68711000,79739000,87896000,95908000,97706000,97272000,96979000,96037000,95633000,96751000,,116621000,110931000,109940000,113793000,113500000,113839000,113414000,114198000,113895000,63028000,66799000,77765000,69256000,88218000,92779000,100589000,99407000,104388000,107791000,108461000,110563000,111379000,109584000,110899000,109245000,129628000,102000,134000,146000,239000,204000,171000,131000,168000
BalanceIntangibleAssets,133000,174000,159000,127000,1227000,3378000,3757000,3540000,3758000,3954000,4639000,,24365000,19324000,19887000,24776000,24642000,24248000,23749000,23620000,23128000,24437000,24981000,24335000,24047000,24065000,24514000,25036000,24955000,25435000,26139000,27591000,27827000,27738000,27742000,27643000,27060000,25596000,19076000,20264000,21897000,21172000,21895000,22099000,26290000,26566000,26641000,66230000,77391000,85809000,92864000,92683000,91988000,92227000
BalanceProperty,91325000,90321000,90166000,,89357000,88524000,87394000,86538000,85673000,86103000,85646000,86105000,86634000,32470000,34822000,42229000,35184000,52159000,55145000,62735000,63535000,67776000,70153000,67922000,68961000,68629000,66216000,67719000,67644000,89872000,,,,,,,,,,,,,,,,181000,,,202000,181000,113000,,144000,87000
BalanceNoncurrentReceivables,113000,87000,90000,90000,90000,110000,110000,90000,90000,455000,452000,452000,454000,835000,835000,837000,835000,746000,1023000,1020000,997000,616000,554000,1114000,,,,,,,,,,,,,,,,,,,,0,,,,553000,,,553000,553000,137000,137000
BalanceNoncurrInvestments,137000,137000,137000,137000,137000,137000,895000,2194000,871000,3323000,4466000,3203000,2147000,2141000,2162000,3136000,3210000,3456000,3400000,3395000,3287000,2772000,678000,1083000,1166000,1133000,1709000,1907000,2139000,2113000,2493000,2307000,2189000,1960000,1636000,1645000,1527000,1010000,954000,1177000,1280000,,2202000,2443000,2409000,2255000,2958000,3261000,3792000,4226000,3886000,5894000,6011000,8552000
