,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,8684000,42697000,26421000,34901000,14704000,19725000,20010000,27175000,9515000,47378000,18647000,58577000,15286000,33064000,20627000,62476000,13480000,15204000,11443000,21776000,11863000,27373000,14734000,51866000,14725000,32467000,47909000,18369000,20858000,19652000,19834000,34287000,21682000,29403000,22235000,43790000,19427000,19760000,33330000,37419000,20952000,25298000,25668000,52139000,23248000,20283000,22346000,47160000,19752000,26840000,23391000,37914000,22046000,20483000
IncomeRevenues_yy,,,,,69.32,-53.80,-24.26,-22.14,-35.29,140.19,-6.81,115.55,60.65,-30.21,10.62,6.66,-11.81,-54.02,-44.52,-65.15,-12.00,80.04,28.76,138.18,24.13,18.61,225.16,-64.58,41.65,-39.47,-58.60,86.66,3.95,49.62,12.11,27.72,-10.40,-32.80,49.90,-14.55,7.85,28.03,-22.99,39.34,10.96,-19.82,-12.94,-9.55,-15.04,32.33,4.68,-19.61,11.61,-23.68
IncomeRevenues_sy,,,,,17.64,-5.10,6.63,-8.25,34.12,54.48,20.68,76.41,28.54,26.77,11.44,12.00,2.52,-7.36,-8.78,-12.53,-8.47,6.46,24.80,17.55,15.38,20.53,14.60,4.28,12.14,1.88,4.36,6.83,8.34,16.27,13.21,10.10,9.54,9.18,6.23,15.50,10.84,11.06,14.46,3.86,2.60,3.77,1.73,2.72,11.63,7.72,5.74,7.43,6.40,10.37
IncomeRevenues_qq,,391.67,-38.12,32.10,-57.87,34.15,1.44,35.81,-64.99,397.93,-60.64,214.14,-73.90,116.30,-37.61,202.88,-78.42,12.79,-24.74,90.30,-45.52,130.74,-46.17,252.02,-71.61,120.49,47.56,-61.66,13.55,-5.78,0.93,72.87,-36.76,35.61,-24.38,96.94,-55.64,1.71,68.67,12.27,-44.01,20.74,1.46,103.13,-55.41,-12.75,10.17,111.04,-58.12,35.88,-12.85,62.09,-41.85,-7.09
IncomeRevenues_sq,,11.60,-17.24,45.82,-48.90,21.28,-5.20,48.49,-28.59,24.70,-2.87,56.48,-25.78,15.66,-5.90,37.14,-37.29,0.27,-10.14,33.22,-23.46,13.87,7.53,38.81,-34.28,7.69,3.15,34.82,-22.04,6.95,0.93,30.83,-19.51,5.10,1.22,27.00,-17.79,10.82,-3.36,27.56,-15.10,6.98,1.80,12.94,-15.04,9.31,0.12,24.36,-15.70,3.81,-7.71,25.36,-21.32,8.38
IncomeCostOfSales,7817000,38948000,23220000,31093000,13267000,17469000,17719000,23151000,8122000,42750000,16610000,50464000,13175000,29135000,18774000,52443000,11900000,12442000,10277000,18557000,10818000,23201000,12842000,44335000,14116000,28775000,44816000,43113000,19823000,17759000,17913000,27911000,18850000,24662000,18170000,37198000,15044000,15339000,27131000,30393000,17880000,21307000,21166000,43302000,19404000,16362000,18439000,39345000,15199000,23016000,18979000,29500000,17862000,15991000
IncomeCostOfSales_yy,,,,,69.72,-55.15,-23.69,-25.54,-38.78,144.72,-6.26,117.98,62.21,-31.85,13.03,3.92,-9.68,-57.30,-45.26,-64.61,-9.09,86.47,24.96,138.91,30.49,24.02,248.98,-2.76,40.43,-38.28,-60.03,-35.26,-4.91,38.87,1.43,33.27,-20.19,-37.80,49.32,-18.29,18.85,38.91,-21.99,42.47,8.52,-23.21,-12.88,-9.14,-21.67,40.67,2.93,-25.02,17.52,-30.52
IncomeCostOfSales_sy,,,,,5.50,8.79,-1.91,-12.44,19.90,68.92,17.75,92.79,19.50,30.53,13.03,13.38,2.39,-10.42,-11.87,-12.92,-5.98,-1.76,18.01,17.01,7.93,8.31,5.36,0.54,11.90,0.76,7.29,-3.33,8.19,12.83,4.51,6.52,7.93,5.13,3.38,5.31,4.88,6.19,4.92,0.75,-6.31,1.94,-8.10,3.48,8.48,8.60,5.53,3.52,8.19,14.52
IncomeCostOfSales_qq,,398.25,-40.38,33.91,-57.33,31.67,1.43,30.66,-64.92,426.35,-61.15,203.82,-73.89,121.14,-35.56,179.34,-77.31,4.55,-17.40,80.57,-41.70,114.47,-44.65,245.23,-68.16,103.85,55.75,-3.80,-54.02,-10.41,0.87,55.81,-32.46,30.83,-26.32,104.72,-59.56,1.96,76.88,12.02,-41.17,19.17,-0.66,104.58,-55.19,-15.68,12.69,113.38,-61.37,51.43,-17.54,55.43,-39.45,-10.47
IncomeCostOfSales_sq,,2.04,11.22,33.91,-51.70,14.06,-0.82,22.23,-26.93,29.42,-2.54,43.90,-30.12,17.54,-9.08,32.78,-37.76,4.60,-15.34,36.62,-25.54,9.85,2.19,33.71,-37.27,5.70,7.28,24.82,-34.66,4.80,-0.51,28.34,-13.88,5.68,-2.85,31.92,-20.38,9.08,-4.66,25.87,-20.02,7.68,-0.54,21.38,-26.23,13.10,-3.26,30.97,-27.25,5.23,-0.23,23.45,-26.02,7.03
