,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4
IncomeRevenues,40966000,37691000,34909000,32140000,51709000,50691000,33649000,38484000
IncomeRevenues_yy,,,,,26.22,34.49,-3.61,19.74
IncomeRevenues_sy,,,,,11.86,8.45,0.04,18.10
IncomeRevenues_qq,,-8.00,-7.38,-7.93,60.88,-1.97,-33.62,14.37
IncomeRevenues_sq,,17.03,9.30,-22.73,2.10,22.88,12.36,-9.95
IncomeCostOfSales,5906000,,17125000,,8167000,,20670000,
IncomeCostOfSales_yy,,,,,38.28,,20.70,
IncomeCostOfSales_sy,,,,,10.06,,-0.94,
IncomeCostOfSales_qq,,-100.00,,-100.00,,-100.00,,-100.00
IncomeCostOfSales_sq,,7.90,,-38.52,,6.61,,-1.59
IncomeDistributionExpenses,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,
IncomeAdministrativExpenses,25480000,,,,29183000,,,
IncomeAdministrativExpenses_yy,,,,,14.53,,,
IncomeAdministrativExpenses_sy,,,,,14.53,,,
IncomeAdministrativExpenses_qq,,-100.00,,,,-100.00,,
IncomeAdministrativExpenses_sq,,2.26,,,,-25.05,,
IncomeGrossProfit,9581000,-3922000,92195000,-106285000,14359000,4310000,94958000,-94671000
IncomeGrossProfit_yy,,,,,49.88,209.89,3.00,10.93
IncomeGrossProfit_sy,,,,,-4.39,46.51,12.68,41.30
IncomeGrossProfit_qq,,-140.94,2450.81,-215.28,113.51,-69.99,2103.31,-199.70
IncomeGrossProfit_sq,,1.73,88.10,-165.02,86.60,14.08,101.64,-161.21
IncomeOtherOperatingIncome,,3674000,,11614000,,688000,,7968000
IncomeOtherOperatingIncome_yy,,,,,,-81.26,,-31.39
IncomeOtherOperatingIncome_sy,,,,,,61.21,,95.36
IncomeOtherOperatingIncome_qq,,,-100.00,,-100.00,,-100.00,
IncomeOtherOperatingIncome_sq,,,27.21,,-27.53,,151.67,
IncomeOtherOperatingCosts,7153000,-5607000,88540000,-93120000,8344000,-6821000,91782000,-91603000
IncomeOtherOperatingCosts_yy,,,,,16.65,-21.66,3.66,1.63
IncomeOtherOperatingCosts_sy,,,,,-31.69,-21.66,-20.48,81.30
IncomeOtherOperatingCosts_qq,,-178.39,1679.05,-205.17,108.96,-181.75,1445.50,-199.80
IncomeOtherOperatingCosts_sq,,-126.61,113.24,-64.03,-39.25,-37.34,-42.91,226.92
IncomeEBIT,2428000,5359000,-88000,-1551000,6015000,11820000,2498000,4900000
IncomeEBIT_yy,,,,,147.78,120.55,2929.83,416.01
IncomeEBIT_sy,,,,,86.60,64.74,135.02,33.32
IncomeEBIT_qq,,120.76,-101.65,-1656.51,487.93,96.50,-78.87,96.15
IncomeEBIT_sq,,155.47,10.04,-101.08,96.52,96.50,93.93,-138.61
IncomeFinanceIncome,9344000,8045000,6829000,41444000,5618000,3208000,1196000,11855000
IncomeFinanceIncome_yy,,,,,-39.88,-60.12,-82.49,-71.39
IncomeFinanceIncome_sy,,,,,43.48,-60.12,22.90,-48.06
IncomeFinanceIncome_qq,,-13.91,-15.11,506.85,-86.45,-42.89,-62.73,891.55
IncomeFinanceIncome_sq,,735.29,-15.11,506.85,-75.80,53.58,107.12,166.46
IncomeFinanceCosts,94000,402000,-257000,16787000,93000,547000,-226000,-4499000
IncomeFinanceCosts_yy,,,,,-1.52,36.08,12.00,-126.80
IncomeFinanceCosts_sy,,,,,-1.52,-6.06,81.62,-53.67
IncomeFinanceCosts_qq,,325.33,-163.94,6636.94,-99.45,487.72,-141.35,-1890.89
IncomeFinanceCosts_sq,,49.78,-56.02,110.38,-29.90,20.48,25.65,-43.93
IncomeOtherIncome,,,,,,,,
IncomeOtherIncome_yy,,,,,,,,
IncomeOtherIncome_sy,,,,,,,,
IncomeOtherIncome_qq,,,,,,,,
IncomeOtherIncome_sq,,,,,,,,
