,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,46072000,50749000,50752000,41563000,54024000,52393000,56373000,47518000,48930000,55699000,50485000,46133000,56549000,65677000,62574000,57910000,62645000,67091000,66794000,65649000,70574000,68631000,68279000,75158000,71193000,80117000,78619000,80229000,85776000,84214000,88080000,89471000,88337000,94047000
IncomeCostOfSales,31552000,33329000,33318000,28449000,35477000,34167000,36322000,31520000,32079000,36561000,34268000,31555000,37648000,42666000,40742000,38396000,40737000,43192000,42096000,42895000,46034000,44481000,44886000,50624000,46716000,52022000,51742000,52374000,54385000,53737000,57223000,57840000,55930000,56930000
IncomeDistributionExpenses,5788000,7481000,6611000,5224000,5780000,7373000,7249000,7061000,6723000,7164000,6836000,6758000,8218000,9914000,9628000,11503000,10705000,11540000,10316000,11240000,12585000,11543000,11984000,12073000,11775000,12623000,12975000,13649000,13466000,13758000,13643000,16013000,14711000,15603000
IncomeAdministrativExpenses,2497000,900000,2720000,3226000,3211000,2834000,2816000,2400000,3105000,2839000,2478000,3056000,2769000,3094000,2749000,3229000,2981000,2744000,3699000,3534000,3596000,3568000,3403000,4046000,4049000,4143000,4256000,4917000,4036000,4089000,4199000,5362000,3826000,4952000
IncomeGrossProfit,6235000,9039000,8103000,4664000,9556000,8019000,9986000,6537000,7023000,9135000,6903000,4764000,7914000,10003000,9455000,4782000,8222000,9615000,10683000,7980000,8359000,9039000,8006000,8415000,8653000,11329000,9646000,9289000,13889000,12630000,13015000,10256000,13870000,16562000
IncomeOtherOperatingIncome,244000,1832000,-1358000,-23000,635000,99000,913000,78000,256000,14000,140000,310000,738000,50000,66000,386000,124000,122000,50000,33000,119000,119000,462000,286000,229000,676000,1194000,726000,132000,584000,397000,737000,32000,943000
IncomeOtherOperatingCosts,983000,421000,-1289000,-21000,318000,250000,209000,-161000,1528000,-339000,905000,417000,184000,102000,224000,-107000,457000,238000,865000,1130000,1498000,10000,106000,576000,112000,3000,94000,287000,197000,93000,396000,150000,69000,303000
IncomeEBIT,5496000,10450000,8034000,4662000,9873000,7868000,10690000,6776000,5751000,9488000,6138000,4657000,8468000,9951000,9297000,5275000,7889000,9499000,9868000,6883000,6980000,9148000,8362000,8125000,8770000,12002000,10746000,9728000,13824000,13121000,13016000,10843000,13833000,17202000
IncomeFinanceIncome,6000,8000,35000,-22000,3000,4000,69000,14000,7000,10000,10000,10000,50000,49000,50000,47000,48000,50000,50000,48000,50000,56000,51000,50000,12000,20000,14000,11000,11000,12000,0,35000,5000,4000
IncomeFinanceCosts,809000,834000,679000,1067000,1320000,800000,1258000,666000,1042000,691000,794000,1105000,517000,269000,202000,99000,232000,205000,331000,308000,382000,223000,193000,117000,59000,14000,207000,221000,159000,63000,83000,161000,185000,114000
IncomeOtherIncome,-2000,54000,108000,78000,,,,,,,,,,,,,,,,,,,,,,,,,,,4691000,9678000,7498000,3651000
IncomeNetGrossProfit,8556000,7072000,9501000,6124000,4716000,8807000,5354000,3562000,8001000,9731000,9145000,5223000,7705000,9344000,9587000,6623000,6648000,8981000,8220000,8058000,8723000,12008000,10553000,9518000,13676000,13070000,12933000,10717000,13653000,17092000,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4691000,9678000,7498000,3651000
IncomeBeforeTaxProfit,8556000,7072000,9501000,6124000,4716000,8807000,5354000,3562000,8001000,9731000,9145000,5223000,7705000,9344000,9587000,6623000,6648000,8981000,8220000,8058000,8723000,12008000,10553000,9518000,13676000,13070000,12933000,10717000,13653000,17092000,-2105000,-520000,-991000,0
IncomeDiscontinuedProfit,375000,125000,0,-3000,,,,,,,,,,,,,,,,,,,,,,,,1836000,7951000,4231000,3664000,7385000,5648000,7588000
IncomeNetProfit,5006000,3594000,7026000,4254000,2769000,6416000,7751000,7357000,4142000,6150000,7571000,7684000,5244000,5140000,7127000,6475000,6653000,6943000,9726000,8646000,7540000,10959000,10582000,10504000,8261000,10862000,13703000,1836000,7951000,4231000,3664000,7385000,5648000,7588000
IncomeShareholderNetProfit,5006000,3594000,7026000,17643000,6415000,7611000,7291000,3967000,6227000,7431000,7638000,5244000,5140000,7127000,6475000,6653000,6943000,9726000,8646000,7540000,10959000,10582000,10504000,8261000,10862000,13703000,,,,,,,,
BalanceNoncurrentAssets,,,,18918000,20436000,19910000,19737000,19838000,20301000,24141000,23999000,24255000,24414000,25401000,26394000,26832000,27978000,23288000,24601000,25069000,26124000,26404000,28722000,27471000,27270000,26663000,26427000,26481000,27987000,27729000,27519000,28716000,,
BalanceIntangibleAssets,,355000,440000,384000,637000,609000,798000,898000,1171000,1252000,1503000,2142000,2295000,2421000,2524000,2553000,2755000,2851000,3110000,3426000,3438000,3391000,3300000,3424000,3294000,3177000,3103000,3382000,3270000,3217000,,,,15564000
BalanceProperty,16907000,16417000,16134000,16399000,16421000,16558000,17644000,17787000,17608000,17637000,18256000,18379000,19256000,18754000,19525000,20078000,20890000,21271000,21037000,21800000,21391000,21021000,20837000,20828000,22027000,21798000,21993000,22972000,,,,331000,346000,841000
BalanceNoncurrentReceivables,357000,349000,360000,3912000,3958000,4006000,4046000,4092000,4140000,4185000,4231000,356000,351000,352000,353000,341000,2353000,344000,338000,338000,344000,342000,350000,344000,344000,348000,,,,1596000,1531000,1561000,1868000,1424000
BalanceNoncurrInvestments,1622000,1479000,,,,,,,,,,,,,,,,,,,,,,,1072000,1212000,707000,741000,1057000,1100000,1294000,1226000,1210000,1257000
BalanceOtherNoncurrentAssets,1530000,1703000,1847000,1967000,1625000,1970000,1788000,1771000,1366000,1894000,1936000,2241000,1880000,1952000,2134000,2507000,2205000,1912000,2179000,,,,111390000,127708000,128990000,140506000,140436000,148316000,128954000,143953000,138629000,127367000,138386000,150894000
BalanceCurrentAssets,166095000,171112000,185050000,197257000,193364000,186950000,170024000,176230000,191314000,217947000,209600000,208587000,210688000,229988000,236253000,237511000,267109000,,,,74434000,77999000,79605000,96882000,95438000,96559000,93643000,93327000,79314000,79749000,91144000,94147000,105147000,111966000
BalanceInventory,122429000,119776000,126290000,123797000,112460000,110817000,117249000,147866000,142271000,132389000,140927000,157501000,162882000,160206000,172959000,,,,34776000,47784000,45468000,39893000,42268000,45851000,31098000,43773000,49798000,42360000,42221000,52839000,53973000,52851000,54845000,68982000
BalanceCurrentReceivables,61724000,59377000,54133000,59408000,66480000,64886000,59909000,68315000,61198000,63820000,64464000,70725000,77788000,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentInvestments,,,,,,,,,,,,,,,,,2180000,1925000,3917000,3731000,2730000,5906000,4213000,6853000,9517000,5258000,5021000,3908000,6975000,6295000,7776000,8499000,5350000,3776000
BalanceCash,3431000,6005000,7585000,5195000,7420000,7883000,8563000,8667000,8907000,6580000,16362000,,,,,,,,,,,,,,,,,,,,,,,
BalanceOtherCurrentAssets,,,,,,,,,,,,,,,82362000,88535000,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,212670000,236679000,148900000,160243000,160274000,168617000,153095000,167952000,162884000,151781000,163787000,177288000,192927000,199090000,208338000,221858000,218433000,213074000,196428000,204952000,218785000,245217000,236263000
BalanceTotalAssets,235014000,237169000,257975000,263982000,265030000,295825000,,,,80908000,88136000,46717000,85609000,89407000,97141000,104601000,111337000,108955000,115854000,119057000,125368000,118724000,130861000,136536000,143049000,150045000,156382000,163085000,169531000,151849000,159666000,168136000,177488000,187157000
BalanceCapital,168370000,175330000,186612000,166667000,,,,6557000,6557000,6557000,7484000,7484000,7502000,7521000,7521000,7540000,7540000,7540000,7540000,7554000,7554000,7815000,7815000,7815000,7833000,7833000,7833000,7833000,7833000,7833000,7833000,7833000,7833000,7833000
BalanceShareCapital,7833000,7504000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-29433000,-29433000
BalanceOwnShares,-29433000,,,,-751000,-908000,-1029000,24377000,24581000,25271000,25931000,26009000,26554000,26162000,26055000,26255000,26379000,30065000,29375000,29400000,29407000,29407000,29407000,29407000,29407000,29407000,29407000,29407000,59004000,58876000,29433000,29407000,29736000,
